stem	boards	size	ptsNoneOpened	youCompletion	topQCompletion	frontierCompletion	uncontestedPerGame
ATES	673	8.153	4247600	0.35572	0.37781	0.41476	1482.6
RATE	587	8.029	3227000	0.38104	0.44466	0.44429	1126.4
LATE	395	9.4304	2578600	0.42407	0.43583	0.48513	900.03
TING	196	15.638	2479200	0.42103	0.43095	0.46972	865.34
REST	712	5.4424	2253400	0.35125	0.34168	0.37305	786.53
TIES	458	4.8624	2047800	0.32437	0.29537	0.33715	714.76
RING	187	13.503	1961200	0.40897	0.36117	0.44781	684.54
INGS	166	13.572	1941800	0.37494	0.3762	0.40795	677.77
LING	131	14.84	1856800	0.33754	0.3391	0.36493	648.1
LINE	294	8.4048	1845200	0.46042	0.47097	0.48846	644.05
TINE	475	4.7642	1582000	0.41823	0.37744	0.45083	552.18
ONES	411	6.0681	1548600	0.3581	0.43762	0.42702	540.52
RINE	374	6.0348	1451200	0.43792	0.49861	0.47159	506.53
ARES	716	5.8883	1445400	0.54057	0.50104	0.60292	504.5
ARED	449	6.7661	1377800	0.37802	0.40194	0.43233	480.91
TIER	458	4.5044	1350000	0.40583	0.42439	0.42637	471.2
AINE	407	5.8993	1318800	0.4277	0.46301	0.46135	460.31
NITE	459	4.7277	1294400	0.50298	0.55764	0.53227	451.8
ENTS	405	5.6173	1283600	0.40936	0.34773	0.4454	448.03
STED	359	6.0864	1269400	0.36074	0.40931	0.41558	443.07
TONE	336	7.3125	1245800	0.59501	0.67213	0.63365	434.83
LITE	300	5.5133	1217800	0.42898	0.44444	0.45108	425.06
ORES	561	5.0196	1211600	0.51003	0.4461	0.55953	422.9
NIES	436	4.75	1195800	0.36092	0.35802	0.35736	417.38
SING	208	7.5337	1162200	0.45286	0.47426	0.49489	405.65
IDES	315	5.9175	1147800	0.32123	0.36119	0.383	400.63
ONER	403	5.7419	1136800	0.41197	0.47173	0.48659	396.79
RISE	463	5.2289	1123200	0.44283	0.4523	0.47172	392.04
LIES	305	4.941	1122600	0.37336	0.30172	0.38087	391.83
ANES	456	4.5702	1111400	0.38728	0.4196	0.44661	387.92
RAIN	350	6.2829	1105000	0.51843	0.51977	0.60073	385.69
ASTER	324	6.0926	1093600	0.47558	0.60179	0.56832	381.71
EARS	458	6.0983	1091600	0.51571	0.42998	0.55037	381.01
DING	118	10.186	1070800	0.36364	0.32161	0.41361	373.75
STAR	481	5.2973	1057400	0.609	0.56344	0.65255	369.08
RONE	327	5.9297	1047800	0.35511	0.53156	0.43914	365.72
TATE	222	7.1486	1028200	0.50081	0.56579	0.56536	358.88
IRES	541	4.2847	1017400	0.47709	0.44242	0.52581	355.11
DIES	251	4.8127	976600	0.32379	0.31111	0.34024	340.87
LIST	268	5.5112	963000	0.40127	0.41379	0.42964	336.13
ANTS	331	5.4381	947000	0.41595	0.40303	0.46939	330.54
ROSE	398	5	932200	0.43833	0.37546	0.45272	325.38
RITE	369	4.1924	923400	0.44268	0.42	0.47157	322.3
ERES	406	5.1108	922000	0.43557	0.42246	0.47115	321.82
TORS	319	4.5329	906000	0.43165	0.46341	0.43523	316.23
LIER	300	4.86	895800	0.40556	0.3622	0.42174	312.67
ALES	411	5.1825	876400	0.46267	0.4633	0.52116	305.9
OSES	227	6.3877	870200	0.3487	0.32781	0.39024	303.73
AINS	330	5.4273	843200	0.48476	0.40374	0.52952	294.31
TEST	339	5.0914	839800	0.4059	0.47291	0.43614	293.12
