word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
SERAI	5	800	927	289	0.013484	0.0032362	0.0034602	0.037037	0.050691	free	0.7474	0	0.017301	RAI		RAI	RAI	0.55354	44.39	43.448	False	True
TERAI	5	800	888	264	0.0078829	0.0022523	0.0037879	0.035294	0.033175	free	0.68939	0	0.011364	RAI		RAI	RAI	0.51143	37.422	36.942	False	True
EARST	5	800	827	222	0.013301	0.0024184	0.0045045	0.044304	0.066667	free	0.73874	0	0.17568	EARS	STARE,STEAR,RATES,TEARS,TARES	EARS	EARS	0.5477	33.673	35.325	False	True
SIREN	5	800	652	216	0.095092	0.046012	0.046296	0.13953	0.19048	free	0.81019	0	0.050926	REN	RINES	SIRE	REN	0.59919	33.347	30	False	True
TINEA	5	800	627	196	0.023923	0.0047847	0.005102	0.067227	0.061224	free	0.82143	0	0	TINE		TINE	TINE	0.60721	32.953	32.547	False	True
TERAIS	6	1400	424	117	0.012972	0.0023585	0.008547	0.047619	0.042105	free	0.77778	0	0.025641	RAI		RAIS	RAI	0.57702	32.501	35.651	False	True
IRATE	5	800	846	239	0.06974	0.040189	0.096234	0.12048	0.14	free	0.77824	0	0	RATE		RATE	RATE	0.57587	32.009	39.4	False	True
TERAS	5	800	1217	322	0.028348	0.018899	0.031056	0.036735	0.081395	free	0.50311	0	0.37578	RAS	STARE,STEAR,RATES,TEARS,TARES	RAS	RAS	0.37728	31.13	41.033	False	True
SITAR	5	800	719	211	0.031293	0.038943	0.028436	0.036496	0.030769	free	0.74882	0	0.099526	SIT	RAITS	SIT	SIT	0.5548	31.012	33.649	False	True
RETIA	5	800	815	237	0.033742	0.034356	0.021097	0.028369	0.04186	free	0.65823	0	0.025316	RET		RET	RET	0.48885	30.955	32.898	False	True
RESTO	5	800	866	266	0.073326	0.080831	0.078947	0.066225	0.10732	free	0.66541	0	0.14662	RES	TORES,ROTES,TORSE	REST	RES	0.49441	30.859	29.577	False	True
SERIN	5	800	864	265	0.089699	0.070602	0.10189	0.15341	0.18182	free	0.68679	0	0.045283	RIN	RINES	RIN	RIN	0.50964	30.172	34.401	False	True
TREST	5	800	755	202	0.031126	0.018543	0.014851	0.019737	0.050562	free	0.73762	0	0.009901	RES		REST	RES	0.54642	29.983	34.529	False	True
ERASE	5	800	868	243	0.077765	0.014977	0.0082305	0.23669	0.27805	free	0.60082	0	0.17284	RAS	EASER	RASE	RAS	0.44761	29.814	33.861	False	True
TINEAS	6	1400	308	94	0.024351	0.0097403	0.010638	0.084746	0.04	free	0.87234	0	0	TINE		TINE	TINE	0.64548	29.161	30.604	False	True
ESTRIN	6	1400	342	101	0.017544	0	0	0.061538	0.028169	free	0.79208	0	0.049505	RIN		TRIN	RIN	0.58729	28.985	28.893	False	True
SATIRE	6	1400	378	101	0.080688	0.07672	0.069307	0.1039	0.075472	free	0.88119	0	0.009901	TIRE		TIRE	TIRE	0.65185	28.751	31.999	False	True
SERAIS	6	1400	284	92	0.014085	0.0035211	0	0.039216	0.04918	free	0.8587	0	0	RAI	RAISES	RAIS	RAI	0.63562	28.575	25.817	False	True
TINAS	5	800	574	186	0.058362	0.045296	0.048387	0.10309	0.10323	free	0.77957	0.010753	0.091398	TIN	TAINS	TIN	TIN	0.58069	27.646	27.081	False	True
TARSI	5	800	564	173	0.0097518	0.010638	0.0057803	0.0095238	0.006993	free	0.78035	0	0.046243	TAR	RAITS	TARS	TAR	0.57753	27.619	26.122	False	True
SERAIL	6	1400	263	90	0.011407	0	0	0.021277	0.065574	free	0.84444	0	0.011111	RAI	SAILER,RAILES	RAIL	RAI	0.62528	27.499	24.578	False	True
RATEL	5	800	575	160	0.042609	0.012174	0.00625	0.11504	0.14074	free	0.8	0	0.0875	RATE	LATER	RATE	RATE	0.59191	26.165	29.713	False	True
SERINE	6	1400	303	88	0.042904	0.009901	0.011364	0.12162	0.12941	free	0.78409	0	0.034091	RINE		RINE	RINE	0.58156	24.52	25.995	False	True
NESTOR	6	1400	301	91	0.036545	0.046512	0.043956	0.022222	0.013889	free	0.8022	0	0.043956	TOR	TONERS,STONER	TOR	TOR	0.59462	24.487	22.71	False	True
SETON	5	800	592	181	0.013514	0.0033784	0.0055249	0.018018	0.038961	free	0.65746	0	0.17127	TON	TONES,STONE	TON	TON	0.48871	24.421	27.352	False	True
ASTARE	6	1400	297	75	0.0050505	0	0	0	0.014286	free	0.86667	0	0	STARE		STARE	STARE	0.64138	23.506	27.346	False	True
TSORES	6	1400	246	79	0.004065	0.004065	0.012658	0	0.017241	free	0.83544	0	0.050633	RES	TORSES	SORES	RES	0.61864	23.393	21.8	False	True
ARENA	5	800	487	155	0	0	0	0	0	free	0.72258	0	0	REN		ARE	REN	0.53548	23.176	23.421	False	False
