word	len	present	found	opportunity	pts	lc	beliefRaw	beliefWeighted	present_s7to10	found_s7to10	beliefWeighted_s7to10	present_train	found_train	beliefWeighted_train	present_test	found_test	beliefWeighted_test	present_q1	found_q1	beliefWeighted_q1	present_q4	found_q4	beliefWeighted_q4
AAH	3	290	0	220.29	100	3	0.003957	0.0038628	103	0	0.011071	77	0	0.014755	26	0	0.041585	67	0	0.017906	79	0	0.014676
AAHED	5	44	0	32.581	800	5	0.015649	0.015754	16	0	0.040359	14	0	0.046629	2	0	0.16658	10	0	0.076646	14	0	0.045247
AAHING	6	6	0	4.4857	1400	6	0.058512	0.073327	3	0	0.11972	3	0	0.12529							2	0	0.14119
AAHS	4	123	0	91.941	400	4	0.0087537	0.0087423	38	0	0.027308	30	0	0.034624	8	0	0.098366	33	0	0.037666	28	0	0.035984
AAL	3	444	2	335.86	100	3	0.0070619	0.0084587	141	1	0.016927	98	0	0.011565	43	1	0.054173	119	0	0.0099553	114	1	0.020936
AALII	5	11	0	6.4865	800	5	0.05038	0.065047	3	0	0.14247	3	0	0.14531				4	0	0.2046	2	0	0.15316
AALIIS	6	6	0	3.4155	1400	6	0.058512	0.088738										2	0	0.18792			
AALS	4	199	0	146.47	400	4	0.0054878	0.0055419	60	0	0.017176	41	0	0.024816	19	0	0.050908	53	0	0.023659	49	0	0.020745
AARGH	5	16	0	12.236	800	5	0.037702	0.038503	8	0	0.072204	6	0	0.091764	2	0	0.17162	1	0	0.24802	7	0	0.080329
AARRGH	6	3	0	2.4215	1400	6	0.084822	0.11026	2	0	0.14899	1	0	0.20197	1	0	0.22622				2	0	0.1532
AARRGHH	7	1	0	0.25862	1800	7	0.086662	0.22938	1	0	0.26963	1	0	0.29273							1	0	0.28119
AAS	3	611	3	469.85	100	3	0.0067702	0.0081761	199	0	0.0057947	136	0	0.0083951	63	0	0.018863	163	1	0.01579	149	0	0.0079106
ABA	3	138	8	103.63	100	3	0.064579	0.083735	46	2	0.078768	29	2	0.11839	17	0	0.06669	35	5	0.21487	40	1	0.060337
ABAC	4	44	0	31.253	400	4	0.022951	0.024468	19	0	0.053806	13	0	0.073724	6	0	0.12971	9	0	0.097901	17	0	0.060845
ABACI	5	17	0	12.109	800	5	0.035896	0.038852	10	0	0.06531	7	0	0.083459	3	0	0.16215	2	0	0.1865	10	0	0.066279
ABACK	5	8	0	5.2946	800	5	0.063113	0.075894	4	0	0.13892	2	0	0.19234	2	0	0.19919	1	0	0.22139	4	0	0.14105
ABACS	5	21	0	13.893	800	5	0.030122	0.03445	11	0	0.060045	7	0	0.081706	4	0	0.13898	5	0	0.11911	9	0	0.072379
ABACTOR	7	2	0	0	1800	7	0.07181	0.26419	1	0	0.30876	1	0	0.33664				1	0	0.33725	1	0	0.32186
ABACTORS	8	2	0	0	2200	7	0.07181	0.26419	1	0	0.30876	1	0	0.33664				1	0	0.33725	1	0	0.32186
ABACUS	6	4	0	2.471	1400	6	0.073766	0.10894	3	0	0.13437	2	0	0.15303	1	0	0.27946				1	0	0.24499
ABAFT	5	5	0	3.5834	800	5	0.084461	0.099782	1	0	0.19439	1	0	0.19837							1	0	0.19744
ABALONE	7	1	0	0	1800	7	0.086662	0.26419										1	0	0.33725			
ABAMP	5	5	0	3.9274	800	5	0.084461	0.093844	3	0	0.13005	2	0	0.16919	1	0	0.20842	1	0	0.23611	2	0	0.16098
ABAMPERE	8	1	0	0.25862	2200	7	0.086662	0.22938	1	0	0.26963	1	0	0.29273									
ABAMPERES	9	1	0	0.25862	2600	7	0.086662	0.22938	1	0	0.26963	1	0	0.29273									
ABAMPS	6	1	0	0.43333	1400	6	0.12113	0.21415															
ABAND	5	16	0	10.432	800	5	0.037702	0.044156	9	0	0.065791	6	0	0.089654	3	0	0.14571	3	0	0.17519	7	0	0.080761
ABANDON	7	2	0	1.5384	1800	7	0.07181	0.13886	2	0	0.16571	1	0	0.24327	1	0	0.24485				2	0	0.17302
ABANDONER	9	1	0	0.66176	2600	7	0.086662	0.19031	1	0	0.22515	1	0	0.24327							1	0	0.23493
ABANDONERS	10	1	0	0.66176	3000	7	0.086662	0.19031	1	0	0.22515	1	0	0.24327							1	0	0.23493
ABANDONS	8	2	0	1.5384	2200	7	0.07181	0.13886	2	0	0.16571	1	0	0.24327	1	0	0.24485				2	0	0.17302
ABANDS	6	5	0	2.904	1400	6	0.065259	0.098647	2	0	0.18233	1	0	0.29234	1	0	0.21011	2	0	0.1718	2	0	0.18733
ABAS	4	94	4	67.711	400	4	0.051849	0.068743	32	1	0.071703	19	1	0.11595	13	0	0.072929	28	3	0.17825	27	0	0.040239
ABASE	5	66	1	43.606	800	5	0.025034	0.033931	22	1	0.090584	14	1	0.13808	8	0	0.078798	21	0	0.039626	18	0	0.041219
ABASED	6	19	1	12.276	1400	6	0.069069	0.10405	7	1	0.23181	5	1	0.2829	2	0	0.20253	4	0	0.1409	6	0	0.093822
ABASER	6	40	0	23.885	1400	6	0.012959	0.017678	12	0	0.048831	8	0	0.07155	4	0	0.11946	12	0	0.071643	10	0	0.058517
ABASERS	7	6	0	2.6896	1800	7	0.042604	0.10248	4	0	0.13065	2	0	0.17937	2	0	0.24185	2	0	0.28351	3	0	0.17092
ABASES	6	16	0	9.5474	1400	6	0.028768	0.040259	5	0	0.10299	2	0	0.16648	3	0	0.1627	5	0	0.11003	5	0	0.10603
ABASH	5	23	0	15.761	800	5	0.02788	0.030797	8	0	0.072272	5	0	0.10632	3	0	0.13774	5	0	0.1152	7	0	0.081486
ABASHED	7	4	0	2.3284	1800	7	0.05348	0.11166	2	0	0.18054	2	0	0.19414				1	0	0.3141	2	0	0.18848
ABASHES	7	5	0	1.8243	1800	7	0.047427	0.12761										1	0	0.3141			
ABASING	7	6	0	1.8968	1800	7	0.042604	0.12504	3	0	0.20425	1	0	0.28338	2	0	0.26831	2	0	0.27289	3	0	0.21317
ABASK	5	7	0	5.0037	800	5	0.06892	0.079113	5	0	0.10946	3	0	0.15667	2	0	0.17493	1	0	0.22139	5	0	0.11111
ABATE	5	66	3	44.77	800	5	0.053659	0.075981	17	1	0.10706	12	1	0.15167	5	0	0.099551	18	2	0.19708	14	1	0.13007
ABATED	6	16	1	11.024	1400	6	0.079602	0.11431	4	0	0.10764	3	0	0.14158	1	0	0.21011	3	1	0.45828	4	0	0.11079
ABATER	6	46	2	30.439	1400	6	0.051657	0.076346	14	1	0.12228	11	1	0.15853	3	0	0.12966	11	1	0.20989	11	1	0.15449
ABATERS	7	21	1	12.118	1800	7	0.057138	0.10493	9	0	0.078745	6	0	0.10685	3	0	0.20613	5	1	0.3783	7	0	0.10615
ABATES	6	45	2	27.554	1400	6	0.052719	0.083879	11	0	0.052266	10	0	0.059481	1	0	0.22496	14	2	0.29548	8	0	0.071749
ABATING	7	4	0	2.3571	1800	7	0.05348	0.11087	1	0	0.23984				1	0	0.27523	1	0	0.26046	1	0	0.25022
ABATIS	6	21	0	11.593	1400	6	0.022938	0.034053	7	0	0.077753	4	0	0.1072	3	0	0.17076	5	0	0.12405	5	0	0.10962
ABATISES	8	3	0	0.81562	2200	7	0.061304	0.17869	1	0	0.23984				1	0	0.27523	1	0	0.3141	1	0	0.25022
ABATOR	6	13	0	8.3016	1400	6	0.033945	0.045285	3	0	0.1324	1	0	0.22547	2	0	0.17612	5	0	0.12372	3	0	0.1362
ABATORS	7	7	0	2.0217	1800	7	0.038672	0.12085	2	0	0.17911	1	0	0.28338	1	0	0.23841	4	0	0.2434	2	0	0.18699
ABATTIS	7	5	0	1.0096	1800	7	0.047427	0.16592	2	0	0.24408	2	0	0.26427				1	0	0.28351	1	0	0.25462
ABATTU	6	8	0	5.003	1400	6	0.048486	0.067648	3	0	0.11968	2	0	0.15911	1	0	0.21515	2	0	0.20834	1	0	0.19159
ABATURE	7	7	0	1.5402	1800	7	0.038672	0.13879	3	0	0.2062	2	0	0.31583	1	0	0.2528	2	0	0.33725	2	0	0.22475
ABATURES	8	4	0	0.76748	2200	7	0.05348	0.18217	1	0	0.29025	1	0	0.31583				2	0	0.33725			
ABB	3	67	10	51.947	100	3	0.15747	0.20065	21	3	0.20667	17	3	0.25022	4	0	0.16924	14	0	0.066229	16	3	0.25537
ABBA	4	12	1	8.5313	400	4	0.12676	0.1657	4	0	0.16599	4	0	0.1668				1	0	0.28154	3	0	0.19127
ABBACIES	8	2	0	1.3797	2200	7	0.07181	0.14601										1	0	0.19671			
ABBAS	5	9	0	5.5651	800	5	0.058209	0.073126	4	0	0.12273	4	0	0.12515				1	0	0.24991	3	0	0.15651
ABBE	4	32	2	21.821	400	4	0.084937	0.11625	7	1	0.25791	6	1	0.28236	1	0	0.26764	8	0	0.11116	6	1	0.28371
ABBED	5	7	0	4.4864	800	5	0.06892	0.085569	2	0	0.16818	1	0	0.21574	1	0	0.22857	2	0	0.20471	2	0	0.17079
ABBES	5	19	1	13.483	800	5	0.076483	0.10058	5	1	0.26782	5	1	0.26996				5	0	0.12118	4	1	0.32356
ABBESS	6	3	0	2.8324	1400	6	0.084822	0.10021	1	0	0.18202	1	0	0.19064				1	0	0.19236	1	0	0.18702
ABBEY	5	2	0	1.2772	800	5	0.12763	0.1733										1	0	0.24991			
ABBEYS	6	1	0	0.92735	1400	6	0.12113	0.17352										1	0	0.19163			
ABBOT	5	9	0	6.2094	800	5	0.058209	0.067283	3	0	0.14902	3	0	0.152				1	0	0.22409	2	0	0.1602
ABBOTS	6	4	0	3.3732	1400	6	0.073766	0.08948	1	0	0.18202	1	0	0.19064							1	0	0.18702
ABBS	4	21	1	15.03	400	4	0.082382	0.10422	5	0	0.13729	3	0	0.17125	2	0	0.22713	6	0	0.12889	4	0	0.16234
ABCEE	5	7	0	4.5732	800	5	0.06892	0.084414	2	0	0.16975	1	0	0.22596	1	0	0.22095	2	0	0.19595	2	0	0.17238
ABCEES	6	3	0	1.3433	1400	6	0.084822	0.14962	1	0	0.21841				1	0	0.25419				1	0	0.22421
ABDICABLE	9	1	0	0.60714	2600	7	0.086662	0.1948	1	0	0.2303				1	0	0.2666				1	0	0.24028
ABDICANT	8	1	0	0	2200	7	0.086662	0.26419	1	0	0.30876	1	0	0.33664							1	0	0.32186
ABDICANTS	9	1	0	0	2600	7	0.086662	0.26419	1	0	0.30876	1	0	0.33664							1	0	0.32186
ABDICATE	8	1	0	1	2200	7	0.086662	0.16651	1	0	0.19778				1	0	0.23604				1	0	0.20643
ABDICATES	9	1	0	1	2600	7	0.086662	0.16651	1	0	0.19778				1	0	0.23604				1	0	0.20643
ABDICATION	10	2	0	1	3000	7	0.07181	0.16651	1	0	0.19778				1	0	0.23604				1	0	0.20643
ABDICATIONS	11	1	0	1	3400	7	0.086662	0.16651	1	0	0.19778				1	0	0.23604				1	0	0.20643
ABDICATOR	9	1	0	0.53125	2600	7	0.086662	0.20142															
ABDOMEN	7	2	0	0.22368	1800	7	0.07181	0.23354										1	0	0.29			
ABDOMINA	8	3	0	0.67857	2200	7	0.061304	0.18896										1	0	0.27618			
ABDOMINAL	9	1	0	0.375	2600	7	0.086662	0.21655															
ABDOMINALS	10	1	0	0.375	3000	7	0.086662	0.21655															
ABDUCE	6	2	0	0.92946	1400	6	0.099777	0.17338	1	0	0.22127	1	0	0.23187				1	0	0.24219	1	0	0.22713
ABDUCED	7	1	0	1	1800	7	0.086662	0.16651	1	0	0.19778	1	0	0.21307							1	0	0.20643
ABDUCENT	8	1	0	1	2200	7	0.086662	0.16651	1	0	0.19778	1	0	0.21307							1	0	0.20643
ABDUCES	7	2	0	1.2125	1800	7	0.07181	0.15438	1	0	0.19778	1	0	0.21307				1	0	0.29205	1	0	0.20643
ABDUCT	6	4	0	2.1962	1400	6	0.073766	0.11667	3	0	0.14558	3	0	0.15241							3	0	0.14971
ABDUCTEE	8	1	0	0.53125	2200	7	0.086662	0.20142	1	0	0.23785	1	0	0.25735							1	0	0.24814
ABDUCTEES	9	1	0	0.53125	2600	7	0.086662	0.20142	1	0	0.23785	1	0	0.25735							1	0	0.24814
ABDUCTOR	8	1	0	0.86735	2200	7	0.086662	0.17509															
ABDUCTORES	10	1	0	0.86735	3000	7	0.086662	0.17509															
ABDUCTORS	9	1	0	0.86735	2600	7	0.086662	0.17509															
ABDUCTS	7	2	0	1.3986	1800	7	0.07181	0.14512	1	0	0.23785	1	0	0.25735							1	0	0.24814
ABEAM	5	29	0	19.32	800	5	0.022791	0.02562	10	0	0.06488	8	0	0.08173	2	0	0.16617	4	0	0.14913	6	0	0.095166
ABEARING	8	2	0	1.5662	2200	7	0.07181	0.13768	1	0	0.22218	1	0	0.23999				1	0	0.20626	1	0	0.23183
ABEARS	6	32	0	21.471	1400	6	0.015865	0.019522	9	0	0.05782	6	0	0.089932	3	0	0.1221	7	0	0.10073	9	0	0.05959
ABED	4	196	4	139.05	400	4	0.025499	0.034094	81	3	0.061425	59	1	0.040141	22	2	0.1536	34	1	0.075543	60	2	0.060642
ABEIGH	6	4	0	2.5033	1400	6	0.073766	0.1081	2	0	0.16504	1	0	0.23268	1	0	0.22483	1	0	0.20792	2	0	0.16965
ABELE	5	67	0	43.332	800	5	0.010571	0.012005	16	0	0.043336	12	0	0.054713	4	0	0.13415	16	0	0.049132	13	0	0.052328
ABELES	6	37	0	20.465	1400	6	0.013914	0.020408	6	0	0.090478	5	0	0.10548	1	0	0.24611	8	0	0.094128	6	0	0.093173
ABELIA	6	21	0	12.697	1400	6	0.022938	0.031436	11	0	0.053218	9	0	0.069606	2	0	0.15476	2	0	0.19945	10	0	0.058221
ABELIAN	7	6	0	2.3275	1800	7	0.042604	0.11169	4	0	0.13955	3	0	0.17307	1	0	0.27344				4	0	0.14575
ABELIAS	7	11	0	4.0244	1800	7	0.028245	0.078606	6	0	0.12536	5	0	0.17423	1	0	0.23604	2	0	0.26809	5	0	0.13809
ABER	4	338	6	233	400	4	0.02077	0.028985	120	1	0.020957	89	0	0.013106	31	1	0.077007	70	3	0.082114	92	1	0.027063
ABERRANCE	9	1	0	0.098837	2600	7	0.086662	0.24971	1	0	0.29253	1	0	0.31839							1	0	0.305
ABERRANCES	10	1	0	0.098837	3000	7	0.086662	0.24971	1	0	0.29253	1	0	0.31839							1	0	0.305
ABERRANT	8	1	0	0.098837	2200	7	0.086662	0.24971	1	0	0.29253	1	0	0.31839							1	0	0.305
ABERRANTS	9	1	0	0.098837	2600	7	0.086662	0.24971	1	0	0.29253	1	0	0.31839							1	0	0.305
ABERRATE	8	1	0	0.73913	2200	7	0.086662	0.18428															
ABERRATES	9	1	0	0.73913	2600	7	0.086662	0.18428															
ABERS	5	141	3	94.166	800	5	0.025879	0.036893	46	0	0.016097	31	0	0.023484	15	0	0.047495	32	2	0.12197	42	0	0.017896
ABET	4	267	8	188.13	400	4	0.033558	0.0463	92	6	0.09838	67	4	0.094434	25	2	0.13921	60	1	0.044912	73	5	0.1059
ABETS	5	146	2	99.087	800	5	0.018343	0.025188	50	2	0.06422	40	2	0.078833	10	0	0.067349	38	0	0.023075	40	2	0.079287
