source	grid	tier	metric	boards	mean	sd	p10	p25	p50	p75	p90
real_current	4x4	all	points	1787	237919.42	90327.23	136860.00	170050.00	224400.00	289050.00	362040.00
real_current	4x4	all	words	1787	348.18	93.17	238.00	280.00	340.00	403.50	476.40
real_current	4x4	all	words5plus	1787	159.87	63.83	88.00	112.00	150.00	198.00	246.40
real_current_fluxList	4x4	all	points	1787	237604.20	90294.49	136860.00	169900.00	223900.00	288850.00	361940.00
real_current_fluxList	4x4	all	words	1787	348.18	93.17	238.00	280.00	340.00	403.50	476.40
real_current_fluxList	4x4	all	words5plus	1787	159.87	63.83	88.00	112.00	150.00	198.00	246.40
real_current_mapTier	4x4	casual	points	62	93148.39	11691.34	75030.00	84275.00	96000.00	102600.00	105570.00
real_current_mapTier	4x4	casual	words	62	184.84	22.99	156.30	167.00	188.00	202.00	212.90
real_current_mapTier	4x4	casual	words5plus	62	56.76	9.06	42.20	51.25	58.00	63.00	67.90
real_current_mapTier	4x4	goodCasual	points	1620	229296.98	69925.00	143790.00	172400.00	220700.00	279550.00	328340.00
real_current_mapTier	4x4	goodCasual	words	1620	341.18	74.88	247.00	283.00	335.00	394.00	447.00
real_current_mapTier	4x4	goodCasual	words5plus	1620	153.99	49.92	93.00	114.00	148.00	189.00	225.10
real_current_mapTier	4x4	spam	points	105	456435.24	45474.75	407200.00	417400.00	449300.00	488200.00	519060.00
real_current_mapTier	4x4	spam	words	105	552.51	51.50	488.40	510.00	547.00	586.00	630.00
real_current_mapTier	4x4	spam	words5plus	105	311.61	31.95	277.00	287.00	305.00	332.00	360.60
real_current	5x5	all	points	1078	461838.68	141726.45	300710.00	358875.00	440850.00	537150.00	647900.00
real_current	5x5	all	words	1078	624.55	134.93	468.70	529.00	610.00	705.75	799.30
real_current	5x5	all	words5plus	1078	307.64	95.03	196.70	240.00	296.00	360.00	433.00
real_current_fluxList	5x5	all	points	1078	461149.35	141673.94	300040.00	358400.00	440600.00	535800.00	647600.00
real_current_fluxList	5x5	all	words	1078	624.55	134.93	468.70	529.00	610.00	705.75	799.30
real_current_fluxList	5x5	all	words5plus	1078	307.64	95.03	196.70	240.00	296.00	360.00	433.00
real_current_mapTier	5x5	casual	points	15	207280.00	21062.07	180600.00	199050.00	215600.00	221750.00	227640.00
real_current_mapTier	5x5	casual	words	15	350.73	31.67	299.40	350.50	358.00	370.00	379.00
real_current_mapTier	5x5	casual	words5plus	15	133.80	13.59	118.40	125.50	135.00	143.50	147.40
real_current_mapTier	5x5	goodCasual	points	1063	465430.76	139414.01	304720.00	361550.00	445400.00	540050.00	647980.00
real_current_mapTier	5x5	goodCasual	words	1063	628.42	131.82	475.40	531.00	611.00	707.00	800.80
real_current_mapTier	5x5	goodCasual	words5plus	1063	310.10	93.39	202.20	241.00	298.00	361.00	434.60
real_all	4x4	all	points	6811	255527.72	95800.04	137600.00	182500.00	245500.00	319100.00	385100.00
real_all	4x4	all	words	6811	364.92	100.28	238.00	290.00	360.00	433.00	499.00
