word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
STARE	343	174.3	185	5	800	1267	669	768	274400	1.3944e+05	0.52802	0.60616	79200	AERST	13	STAR
TARES	328	156.98	164	5	800	1335	685	728	262400	1.2559e+05	0.51311	0.54532	34400	AERST	13	TARE
ASTER	250	134.69	155	5	800	1184	219	322	200000	1.0775e+05	0.18497	0.27196	82400	AERST	13	
STORE	244	125.69	144	5	800	752	292	410	195200	1.0055e+05	0.3883	0.54521	94400	EORST	7	TORE
NITER	233	125.05	140	5	800	930	379	429	186400	1.0004e+05	0.40753	0.46129	40000	EINRT	5	NITE
TARE	500	244.46	247	4	400	2169	1150	1180	200000	97782	0.5302	0.54403	12000	AERT	4	TAR
NITES	232	121.18	131	5	800	969	385	418	185600	96942	0.39732	0.43137	26400	EINST	8	NITE
RATES	239	119.62	119	5	800	1241	788	752	191200	95698	0.63497	0.60596	-28800	AERST	13	RATE
STARES	129	65.594	75	6	1400	456	245	293	180600	91832	0.53728	0.64254	67200	AERSST	7	STARE
TASER	218	113.63	131	5	800	1110	548	476	174400	90906	0.49369	0.42883	-57600	AERST	13	TASE
STIRE	220	111.94	122	5	800	885	343	389	176000	89555	0.38757	0.43955	36800	EIRST	7	STIR
NITERS	118	63.374	71	6	1400	451	195	222	165200	88724	0.43237	0.49224	37800	EINRST	10	NITER
STEAR	213	108.37	115	5	800	1120	571	549	170400	86700	0.50982	0.49018	-17600	AERST	13	TEAR
RITES	204	103.18	108	5	800	864	427	436	163200	82543	0.49421	0.50463	7200	EIRST	7	RITE
SATE	398	203.98	210	4	400	1922	731	730	159200	81593	0.38033	0.37981	-400	AEST	10	SAT
STAR	401	203.65	215	4	400	1781	962	1003	160400	81458	0.54015	0.56317	16400	ARST	6	TAR
REST	398	202.12	192	4	400	2466	1068	860	159200	80846	0.43309	0.34874	-83200	ERST	4	RES
INTER	172	100.68	116	5	800	767	257	286	137600	80546	0.33507	0.37288	23200	EINRT	5	
NITE	384	200.04	215	4	400	1539	664	754	153600	80017	0.43145	0.48993	36000	EINT	3	NIT
RATE	390	199.68	202	4	400	2043	1311	1267	156000	79871	0.6417	0.62017	-17600	AERT	4	RAT
INTERS	94	56.283	67	6	1400	375	118	147	131600	78796	0.31467	0.392	40600	EINRST	10	INTER
TIRES	191	97.917	102	5	800	958	525	506	152800	78334	0.54802	0.52818	-15200	EIRST	7	TIRE
TORES	190	97.66	110	5	800	851	460	473	152000	78128	0.54054	0.55582	10400	EORST	7	TORE
STORES	103	54.578	67	6	1400	275	95	160	144200	76409	0.34545	0.58182	91000	EORSST	9	STORE
TINES	178	93.402	97	5	800	967	596	552	142400	74722	0.61634	0.57084	-35200	EINST	8	TINE
STARED	102	53.027	64	6	1400	411	206	231	142800	74237	0.50122	0.56204	35000	ADERST	6	STARE
SEAR	369	180.45	187	4	400	1983	973	908	147600	72178	0.49067	0.45789	-26000	AERS	7	SEA
TEAR	357	179.34	199	4	400	1909	1086	988	142800	71737	0.56888	0.51755	-39200	AERT	4	TEA
RENTS	171	89.56	96	5	800	756	361	375	136800	71648	0.47751	0.49603	11200	ENRST	4	RENT
TASE	347	176.98	186	4	400	1805	917	784	138800	70792	0.50803	0.43435	-53200	AEST	10	TAS
NOTER	169	88.314	100	5	800	570	254	316	135200	70651	0.44561	0.55439	49600	ENORT	5	NOTE
STANE	180	88.302	99	5	800	753	259	301	144000	70642	0.34396	0.39973	33600	AENST	6	TANE
SEAT	350	176.48	177	4	400	1899	888	787	140000	70593	0.46761	0.41443	-40400	AEST	10	SEA
NOTES	171	87.827	99	5	800	592	252	298	136800	70262	0.42568	0.50338	36800	ENOST	6	NOTE
STERE	168	86.288	92	5	800	790	133	216	134400	69031	0.16835	0.27342	66400	EERST	9	ERE
LARES	176	86.216	95	5	800	752	416	394	140800	68973	0.55319	0.52394	-17600	AELRS	9	LARE
ORATES	83	49.23	56	6	1400	443	83	106	116200	68922	0.18736	0.23928	32200	AEORST	4	ORATE
TASTER	93	49.219	63	6	1400	351	170	208	130200	68906	0.48433	0.59259	53200	AERSTT	7	TASTE
RATER	163	85.66	97	5	800	699	376	380	130400	68528	0.53791	0.54363	3200	AERRT	4	RATE
EATERS	87	48.818	62	6	1400	411	187	195	121800	68346	0.45499	0.47445	11200	AEERST	9	EATER
SATES	165	84.137	82	5	800	763	241	266	132000	67309	0.31586	0.34862	20000	AESST	6	SATE
RASTER	90	47.305	62	6	1400	357	165	170	126000	66228	0.46218	0.47619	7000	AERRST	8	ASTER
SIRES	159	82.676	83	5	800	577	226	278	127200	66141	0.39168	0.4818	41600	EIRSS	3	SIRE
RASE	334	164.49	179	4	400	1834	793	669	133600	65795	0.43239	0.36478	-49600	AERS	7	RAS
TEARS	161	81.513	86	5	800	906	553	482	128800	65211	0.61038	0.53201	-56800	AERST	13	TEAR
EASTER	85	46.548	59	6	1400	400	185	174	119000	65167	0.4625	0.435	-15400	AEERST	9	ASTER
STONE	156	81.449	102	5	800	547	283	353	124800	65159	0.51737	0.64534	56000	ENOST	6	TONE
