word	len	present	found	opportunity	pts	lc	beliefRaw	beliefWeighted	present_s7to10	found_s7to10	beliefWeighted_s7to10	present_train	found_train	beliefWeighted_train	present_test	found_test	beliefWeighted_test	present_q1	found_q1	beliefWeighted_q1	present_q4	found_q4	beliefWeighted_q4
AAH	3	257	0	190.66	100	3	0.0042843	0.0039902	65	0	0.017153	49	0	0.022939	16	0	0.063601	55	0	0.018066	69	0	0.016092
AAHED	5	28	0	19.375	800	5	0.02076	0.021339	4	0	0.1195	4	0	0.12346				8	0	0.069626	4	0	0.11919
AAHING	6	11	0	6.9533	1400	6	0.03008	0.037429	6	0	0.087307	5	0	0.096487	1	0	0.39449	1	0	0.17206	6	0	0.086663
AAHS	4	116	0	84.096	400	4	0.0084165	0.007954	23	0	0.038383	18	0	0.051519	5	0	0.11864	31	0	0.030202	24	0	0.037036
AAL	3	372	5	271.1	100	3	0.016288	0.021138	90	1	0.026056	60	1	0.039259	30	0	0.035493	92	1	0.027256	97	1	0.024152
AALII	5	16	0	10.862	800	5	0.03399	0.036187	5	0	0.095403	5	0	0.098655				2	0	0.18742	7	0	0.079584
AALIIS	6	9	0	6.2253	1400	6	0.03544	0.041173	2	0	0.12885	2	0	0.14108				1	0	0.23952	4	0	0.080769
AALS	4	178	3	125.75	400	4	0.022042	0.02887	46	0	0.02029	30	0	0.032008	16	0	0.05353	39	1	0.063895	50	0	0.018795
AARGH	5	12	0	8.4249	800	5	0.043157	0.045185	4	0	0.11018	4	0	0.11387				3	0	0.14042	4	0	0.10989
AAS	3	531	5	392.53	100	3	0.011443	0.014628	114	3	0.042966	76	3	0.064805	38	0	0.028606	134	0	0.0075727	127	4	0.048474
ABA	3	117	7	88.626	100	3	0.067352	0.085939	34	2	0.10008	24	2	0.13776	10	0	0.092777	28	3	0.16656	38	2	0.090913
ABAC	4	29	0	21.901	400	4	0.030691	0.028793	9	0	0.084352	7	0	0.10485	2	0	0.21385	3	0	0.16364	9	0	0.084532
ABACI	5	12	0	7.4757	800	5	0.043157	0.050032	3	0	0.12634	3	0	0.13048				3	0	0.15673	3	0	0.126
ABACK	5	7	0	4.8203	800	5	0.065107	0.07148	3	0	0.12136	2	0	0.16045	1	0	0.23133	1	0	0.29782	3	0	0.12104
