source	grid	tier	metric	boards	mean	sd	p10	p25	p50	p75	p90
real_current	4x4	all	points	1029	234114.29	87791.41	134380.00	168200.00	221600.00	287400.00	351000.00
real_current	4x4	all	words	1029	344.42	91.62	236.00	279.00	335.00	399.00	467.40
real_current	4x4	all	words5plus	1029	157.63	62.35	86.00	111.00	148.00	195.00	241.20
real_current_fluxList	4x4	all	points	1029	233799.42	87785.87	134260.00	168200.00	221300.00	286800.00	349900.00
real_current_fluxList	4x4	all	words	1029	344.42	91.62	236.00	279.00	335.00	399.00	467.40
real_current_fluxList	4x4	all	words5plus	1029	157.63	62.35	86.00	111.00	148.00	195.00	241.20
real_current_mapTier	4x4	casual	points	32	93021.88	9591.30	81430.00	85800.00	92600.00	101425.00	105660.00
real_current_mapTier	4x4	casual	words	32	187.19	21.63	164.20	167.00	185.50	204.25	214.80
real_current_mapTier	4x4	casual	words5plus	32	55.44	7.78	44.30	50.50	55.50	62.00	65.90
real_current_mapTier	4x4	goodCasual	points	970	231642.89	74773.90	142470.00	170825.00	221900.00	283575.00	340340.00
real_current_mapTier	4x4	goodCasual	words	970	342.81	79.36	243.00	282.25	335.50	393.00	453.10
real_current_mapTier	4x4	goodCasual	words5plus	970	156.06	53.43	91.90	113.25	148.00	191.00	231.10
real_current_mapTier	4x4	spam	points	27	490122.22	58361.76	440660.00	450000.00	478400.00	498600.00	532080.00
real_current_mapTier	4x4	spam	words	27	588.48	64.40	513.60	544.00	584.00	609.00	664.40
real_current_mapTier	4x4	spam	words5plus	27	334.93	40.41	301.00	312.00	321.00	347.50	369.20
real_current	5x5	all	points	692	459148.12	133077.14	307530.00	363175.00	439000.00	527125.00	643620.00
real_current	5x5	all	words	692	620.58	124.70	474.10	533.75	611.00	695.25	779.00
real_current	5x5	all	words5plus	692	306.03	89.26	204.00	244.00	292.00	355.00	430.00
real_current_fluxList	5x5	all	points	692	458457.51	133024.15	307030.00	362500.00	438400.00	526925.00	642260.00
real_current_fluxList	5x5	all	words	692	620.58	124.70	474.10	533.75	611.00	695.25	779.00
real_current_fluxList	5x5	all	words5plus	692	306.03	89.26	204.00	244.00	292.00	355.00	430.00
real_current_mapTier	5x5	casual	points	5	195780.00	11741.79	185660.00	187700.00	188600.00	202700.00	210440.00
real_current_mapTier	5x5	casual	words	5	346.20	21.10	321.80	338.00	347.00	365.00	368.00
real_current_mapTier	5x5	casual	words5plus	5	127.20	10.87	117.00	120.00	122.00	134.00	140.60
real_current_mapTier	5x5	goodCasual	points	687	461064.92	131639.34	309400.00	364750.00	440100.00	527800.00	644020.00
real_current_mapTier	5x5	goodCasual	words	687	622.58	122.91	476.20	535.00	611.00	696.00	779.00
real_current_mapTier	5x5	goodCasual	words5plus	687	307.33	88.26	205.00	245.00	292.00	355.50	430.40
real_all	4x4	all	points	5562	260274.45	95054.23	140930.00	187800.00	251300.00	328575.00	388300.00
real_all	4x4	all	words	5562	370.38	100.78	239.00	295.00	366.00	443.00	504.00
real_all	4x4	all	words5plus	5562	175.77	68.19	90.00	123.00	169.00	225.00	267.00
real_all_fluxList	4x4	all	points	5562	259954.69	95029.64	140900.00	187600.00	250900.00	328400.00	387980.00
real_all_fluxList	4x4	all	words	5562	370.38	100.78	239.00	295.00	366.00	443.00	504.00
real_all_fluxList	4x4	all	words5plus	5562	175.77	68.19	90.00	123.00	169.00	225.00	267.00
real_all_mapTier	4x4	casual	points	162	91243.83	12885.77	73190.00	84675.00	94450.00	101000.00	105660.00
real_all_mapTier	4x4	casual	words	162	183.91	25.02	152.10	166.00	188.50	203.00	215.00
real_all_mapTier	4x4	casual	words5plus	162	54.50	10.02	40.00	49.00	55.00	62.00	67.00
real_all_mapTier	4x4	goodCasual	points	5185	256419.05	81764.34	149040.00	190600.00	249800.00	320800.00	370360.00
real_all_mapTier	4x4	goodCasual	words	5185	367.46	88.47	250.00	299.00	365.00	435.00	487.00
real_all_mapTier	4x4	goodCasual	words5plus	5185	173.13	59.00	95.00	126.00	168.00	220.00	256.00
real_all_mapTier	4x4	spam	points	215	480614.88	44186.92	439100.00	447800.00	468900.00	502500.00	536460.00
real_all_mapTier	4x4	spam	words	215	581.34	50.68	523.40	544.00	575.00	610.50	644.20
real_all_mapTier	4x4	spam	words5plus	215	330.71	31.86	299.00	309.00	322.00	346.50	372.20
real_all	5x5	all	points	1571	433513.11	161856.27	249300.00	325550.00	416700.00	523250.00	649800.00
real_all	5x5	all	words	1571	592.33	156.89	405.00	491.00	586.00	689.50	786.00
real_all	5x5	all	words5plus	1571	288.25	109.92	160.00	214.00	278.00	352.50	434.00
real_all_fluxList	5x5	all	points	1571	432847.29	161740.31	249200.00	324500.00	416600.00	522700.00	649700.00
real_all_fluxList	5x5	all	words	1571	592.33	156.89	405.00	491.00	586.00	689.50	786.00
real_all_fluxList	5x5	all	words5plus	1571	288.25	109.92	160.00	214.00	278.00	352.50	434.00
real_all_mapTier	5x5	casual	points	113	161392.92	41714.55	102020.00	133800.00	164300.00	199100.00	209760.00
real_all_mapTier	5x5	casual	words	113	302.84	62.07	222.80	262.00	302.00	349.00	376.00
real_all_mapTier	5x5	casual	words5plus	113	100.68	29.31	61.00	80.00	102.00	125.00	136.80
real_all_mapTier	5x5	goodCasual	points	1458	454603.36	148017.23	288250.00	343400.00	429000.00	531250.00	661260.00
real_all_mapTier	5x5	goodCasual	words	1458	614.77	138.65	448.70	512.00	601.00	696.00	791.60
real_all_mapTier	5x5	goodCasual	words5plus	1458	302.79	100.07	189.00	227.25	287.00	358.00	441.00
sim_v3_mix203050	4x4	all	points	20000	240928.27	101339.80	125500.00	164500.00	220400.00	303300.00	380100.00
sim_v3_mix203050	4x4	all	words	20000	348.86	104.72	224.00	271.00	333.00	418.00	494.00
sim_v3_mix203050	4x4	all	words5plus	20000	161.87	71.62	79.00	108.00	148.00	207.00	261.00
sim_v3	4x4	casual	points	6000	180552.10	72663.05	100600.00	126400.00	168200.00	219700.00	281020.00
sim_v3	4x4	casual	words	6000	285.67	80.51	191.00	228.00	276.00	332.00	395.00
sim_v3	4x4	casual	words5plus	6000	118.97	51.86	61.00	80.00	110.00	147.00	191.00
sim_v3	4x4	goodCasual	points	6000	228515.05	75042.01	144690.00	174900.00	215200.00	270100.00	330800.00
sim_v3	4x4	goodCasual	words	6000	338.74	79.55	246.00	282.00	329.00	387.00	446.10
sim_v3	4x4	goodCasual	words5plus	6000	153.33	53.27	93.00	115.00	144.00	184.00	226.00
sim_v3	4x4	spam	points	6000	366827.70	81756.57	273900.00	310000.00	355900.00	414400.00	474810.00
sim_v3	4x4	spam	words	6000	474.20	80.12	380.00	420.00	467.00	522.00	581.00
sim_v3	4x4	spam	words5plus	6000	250.66	56.35	186.00	212.00	244.00	284.00	325.00
sim_v1_mix203050	4x4	all	points	20000	269156.16	105594.00	150000.00	191200.00	246000.00	338400.00	422510.00
sim_v1_mix203050	4x4	all	words	20000	361.40	106.70	236.00	283.00	345.00	432.00	514.00
sim_v1_mix203050	4x4	all	words5plus	20000	181.77	73.70	98.00	128.00	166.00	230.00	289.00
sim_v1	4x4	casual	points	6000	193009.67	67800.00	117500.00	145100.00	182100.00	229800.00	284000.00
sim_v1	4x4	casual	words	6000	285.73	75.34	199.00	232.00	276.00	329.00	388.00
sim_v1	4x4	casual	words5plus	6000	128.61	48.32	74.00	94.00	121.00	155.00	194.00
sim_v1	4x4	goodCasual	points	6000	252487.75	68139.76	173090.00	203900.00	243800.00	290425.00	342320.00
sim_v1	4x4	goodCasual	words	6000	347.71	72.32	261.00	297.00	340.00	390.00	443.00
sim_v1	4x4	goodCasual	words5plus	6000	170.70	48.19	114.90	137.00	165.00	198.00	235.00
sim_v1	4x4	spam	points	6000	423099.62	66002.16	346290.00	377075.00	415500.00	461300.00	512330.00
sim_v1	4x4	spam	words	6000	508.46	69.21	424.00	461.00	503.00	551.00	601.00
sim_v1	4x4	spam	words5plus	6000	288.40	45.82	234.00	256.00	283.00	315.00	350.00
sim_v2_mix203050	4x4	all	points	20000	217821.32	100769.67	105700.00	142600.00	194600.00	285500.00	366100.00
sim_v2_mix203050	4x4	all	words	20000	313.94	106.74	190.00	235.00	296.00	385.00	468.00
sim_v2_mix203050	4x4	all	words5plus	20000	144.65	71.15	65.00	91.00	128.00	192.00	250.00
sim_v2	4x4	casual	points	6000	145876.62	63067.91	76200.00	100700.00	135650.00	179500.00	227300.00
sim_v2	4x4	casual	words	6000	237.97	74.57	151.00	185.00	229.00	281.00	336.10
sim_v2	4x4	casual	words5plus	6000	93.89	45.02	44.00	61.00	86.00	118.00	152.00
sim_v2	4x4	goodCasual	points	6000	200248.58	64218.24	127490.00	154900.00	191600.00	235225.00	285930.00
sim_v2	4x4	goodCasual	words	6000	299.29	72.21	213.00	248.00	293.00	343.00	392.10
sim_v2	4x4	goodCasual	words5plus	6000	132.52	46.00	80.00	100.00	126.00	158.00	194.00
sim_v2	4x4	spam	points	6000	365585.13	63356.54	292790.00	321600.00	357300.00	400025.00	446700.00
sim_v2	4x4	spam	words	6000	461.69	67.20	382.00	415.00	456.00	500.00	550.00
sim_v2	4x4	spam	words5plus	6000	248.19	44.45	197.00	218.00	243.00	273.00	306.00
sim_v3_mix203050	5x5	all	points	20000	458924.36	159716.30	261700.00	345000.00	447000.00	558100.00	667800.00
sim_v3_mix203050	5x5	all	words	20000	616.89	152.84	424.00	509.00	613.00	717.00	813.00
sim_v3_mix203050	5x5	all	words5plus	20000	304.88	108.18	170.00	227.00	299.00	372.00	446.00
sim_v3	5x5	casual	points	6000	340179.23	128084.77	195400.00	247500.00	320850.00	410600.00	511970.00
sim_v3	5x5	casual	words	6000	499.97	130.26	346.00	407.00	486.00	579.00	673.00
sim_v3	5x5	casual	words5plus	6000	223.10	88.08	123.00	159.75	210.00	274.00	344.00
sim_v3	5x5	goodCasual	points	6000	468343.82	127453.64	320590.00	375475.00	450200.00	542100.00	635930.00
sim_v3	5x5	goodCasual	words	6000	628.97	120.10	484.00	543.00	617.00	704.00	785.10
sim_v3	5x5	goodCasual	words5plus	6000	312.00	85.98	211.00	249.00	300.00	363.00	426.00
sim_v3	5x5	spam	points	6000	612643.65	132159.15	462700.00	514575.00	591050.00	687825.00	793810.00
sim_v3	5x5	spam	words	6000	760.02	116.70	623.00	676.00	745.00	827.00	920.00
sim_v3	5x5	spam	words5plus	6000	409.14	86.69	310.00	345.00	395.00	458.00	526.00
sim_v1_mix203050	5x5	all	points	20000	555080.40	183887.58	317080.00	424800.00	546000.00	679000.00	792210.00
sim_v1_mix203050	5x5	all	words	20000	659.89	165.34	446.00	545.00	656.00	772.00	874.00
sim_v1_mix203050	5x5	all	words5plus	20000	368.41	122.26	209.00	281.00	365.00	452.00	527.00
sim_v1	5x5	casual	points	6000	398762.62	144227.55	239190.00	295375.00	376500.00	476225.00	586510.00
sim_v1	5x5	casual	words	6000	521.21	136.37	361.00	426.00	505.00	602.00	701.00
sim_v1	5x5	casual	words5plus	6000	264.19	97.45	155.00	195.00	250.00	317.00	392.10
sim_v1	5x5	goodCasual	points	6000	568649.05	135147.50	411780.00	472300.00	551900.00	646000.00	748660.00
sim_v1	5x5	goodCasual	words	6000	674.35	122.89	526.00	589.00	663.00	748.00	835.00
sim_v1	5x5	goodCasual	words5plus	6000	378.39	89.98	273.00	315.00	369.00	430.00	499.10
sim_v1	5x5	spam	points	6000	752021.50	124995.43	612000.00	662800.00	733800.00	819750.00	917500.00
sim_v1	5x5	spam	words	6000	826.47	113.02	692.90	749.00	814.00	890.00	976.00
sim_v1	5x5	spam	words5plus	6000	497.33	81.55	404.90	440.00	487.00	542.00	606.00
sim_v2_mix203050	5x5	all	points	20000	394747.72	163293.82	188180.00	277700.00	381300.00	503200.00	611800.00
sim_v2_mix203050	5x5	all	words	20000	524.87	159.15	318.00	413.00	519.00	634.00	732.00
sim_v2_mix203050	5x5	all	words5plus	20000	258.89	110.93	117.00	179.00	251.00	333.00	405.00
sim_v2	5x5	casual	points	6000	258035.67	122358.39	122990.00	169800.00	235300.00	323000.00	420760.00
sim_v2	5x5	casual	words	6000	391.13	129.14	239.90	297.75	373.00	469.00	562.10
sim_v2	5x5	casual	words5plus	6000	165.72	84.23	73.00	105.00	150.00	212.00	278.00
sim_v2	5x5	goodCasual	points	6000	404892.33	120772.75	270600.00	320800.00	385300.00	470500.00	562310.00
sim_v2	5x5	goodCasual	words	6000	539.10	117.42	400.00	457.00	526.00	608.00	692.00
sim_v2	5x5	goodCasual	words5plus	6000	266.63	82.37	174.00	209.00	255.00	312.00	375.00
