word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
ASTER	246	121.76	143	5	800	986	260	349	196800	97406	0.26369	0.35396	71200	AERST	13	
RATES	263	121.16	122	5	800	1069	619	687	210400	96930	0.57905	0.64266	54400	AERST	13	RATE
ESTER	223	114.59	135	5	800	776	5	226	178400	91674	0.0064433	0.29124	1.768e+05	EERST	9	EST
TARES	216	96.16	97	5	800	1072	646	593	172800	76928	0.60261	0.55317	-42400	AERST	13	TARE
RATED	191	91.181	92	5	800	531	136	265	152800	72945	0.25612	0.49906	1.032e+05	ADERT	6	RATE
LATER	179	83.277	88	5	800	635	246	317	143200	66621	0.3874	0.49921	56800	AELRT	6	LATE
ESTERS	85	44.248	61	6	1400	248	1	85	119000	61947	0.0040323	0.34274	1.176e+05	EERSST	6	ESTER
NATES	162	77.185	73	5	800	798	24	168	129600	61748	0.030075	0.21053	1.152e+05	AENST	6	ATES
TEARS	173	76.515	75	5	800	736	403	426	138400	61212	0.54755	0.5788	18400	AERST	13	TEAR
SANER	167	75.505	73	5	800	564	13	175	133600	60404	0.02305	0.31028	1.296e+05	AENRS	6	SANE
TRIES	155	74.579	88	5	800	635	121	211	124000	59663	0.19055	0.33228	72000	EIRST	7	TRIE
TIRES	166	73.78	74	5	800	783	442	416	132800	59024	0.5645	0.53129	-20800	EIRST	7	TIRE
STARE	156	73.681	82	5	800	974	676	602	124800	58945	0.69405	0.61807	-59200	AERST	13	STAR
NITES	153	73.647	90	5	800	768	372	349	122400	58918	0.48438	0.45443	-18400	EINST	8	NITE
ASTERS	88	41.874	55	6	1400	330	93	122	123200	58624	0.28182	0.3697	40600	AERSST	7	ASTER
TASER	161	71.874	73	5	800	895	465	393	128800	57500	0.51955	0.43911	-57600	AERST	13	TASE
TARE	323	143.33	134	4	400	1737	1036	908	129200	57332	0.59643	0.52274	-51200	AERT	4	TAR
ORATES	79	40.794	46	6	1400	396	135	125	110600	57112	0.34091	0.31566	-14000	AEORST	4	ORATE
REST	298	139.56	140	4	400	1944	1013	778	119200	55823	0.52109	0.40021	-94000	ERST	4	RES
TINES	144	68.648	82	5	800	714	443	425	115200	54918	0.62045	0.59524	-14400	EINST	8	TINE
ROTES	142	67.117	63	5	800	645	361	361	113600	53693	0.55969	0.55969	0	EORST	7	ROTE
TEAR	318	133.86	125	4	400	1537	793	793	127200	53542	0.51594	0.51594	0	AERT	4	TEA
RASE	293	133.16	129	4	400	1419	533	530	117200	53264	0.37562	0.3735	-1200	AERS	7	RAS
ELATER	77	37.573	47	6	1400	232	54	107	107800	52603	0.23276	0.46121	74200	AEELRT	2	ELATE
ORATE	129	64.38	71	5	800	646	216	198	103200	51504	0.33437	0.3065	-14400	AEORT	3	RATE
ATONES	71	36.672	44	6	1400	209	46	96	99400	51341	0.2201	0.45933	70000	AENOST	2	ATONE
TIERS	141	64.028	59	5	800	675	212	219	112800	51223	0.31407	0.32444	5600	EIRST	7	TIER
SATES	136	63.985	71	5	800	632	239	256	108800	51188	0.37816	0.40506	13600	AESST	6	SATE
ELATES	73	36.292	43	6	1400	233	60	107	102200	50809	0.25751	0.45923	65800	AEELST	4	ELATE
SATE	297	126.66	120	4	400	1575	654	585	118800	50664	0.41524	0.37143	-27600	AEST	10	SAT
RETS	272	126.19	125	4	400	2056	546	457	108800	50476	0.26556	0.22228	-35600	ERST	4	RET
STARED	78	35.877	41	6	1400	295	162	180	109200	50228	0.54915	0.61017	25200	ADERST	6	STARE
TARED	134	62.343	62	5	800	574	128	183	107200	49875	0.223	0.31882	44000	ADERT	6	TARE
STARES	72	35.448	41	6	1400	387	260	236	100800	49627	0.67183	0.60982	-33600	AERSST	7	STARE
RATS	275	123.52	105	4	400	1395	404	445	110000	49409	0.28961	0.319	16400	ARST	6	RAT
DEAREST	56	27.297	29	7	1800	109	1	56	100800	49135	0.0091743	0.51376	99000	ADEERST	8	DEARES
TALES	126	60.603	67	5	800	523	268	289	100800	48483	0.51243	0.55258	16800	AELST	12	TALE
HATES	131	60.492	60	5	800	444	214	266	104800	48393	0.48198	0.5991	41600	AEHST	6	HATE
RESIN	126	60.361	65	5	800	673	99	167	100800	48289	0.1471	0.24814	54400	EINRS	7	RES
NEARS	134	59.736	50	5	800	549	177	206	107200	47789	0.3224	0.37523	23200	AENRS	6	NEAR
RATE	262	119.43	122	4	400	1688	1158	1020	104800	47774	0.68602	0.60427	-55200	AERT	4	RAT
RATINE	68	34.022	39	6	1400	319	49	93	95200	47630	0.15361	0.29154	61600	AEINRT	3	TINE
STEAR	129	59.251	57	5	800	910	600	459	103200	47401	0.65934	0.5044	-1.128e+05	AERST	13	TEAR
TORES	130	59.024	55	5	800	699	451	401	104000	47219	0.64521	0.57368	-40000	EORST	7	TORE
RITES	136	58.564	62	5	800	751	446	384	108800	46851	0.59387	0.51132	-49600	EIRST	7	RITE
LITES	124	57.831	62	5	800	473	247	288	99200	46265	0.5222	0.60888	32800	EILST	7	LITE
EATER	120	57.598	60	5	800	636	329	298	96000	46078	0.5173	0.46855	-24800	AEERT	3	EAT
SEAT	262	115.09	109	4	400	1557	746	642	104800	46037	0.47913	0.41233	-41600	AEST	10	SEA
TIES	260	114.71	115	4	400	1401	373	385	104000	45883	0.26624	0.2748	4800	EIST	3	TIE
LASER	122	56.725	56	5	800	539	275	275	97600	45380	0.5102	0.5102	0	AELRS	9	LASE
STALER	70	32.079	44	6	1400	262	118	127	98000	44910	0.45038	0.48473	12600	AELRST	12	STALE
TANE	256	112.24	107	4	400	1131	309	382	102400	44898	0.27321	0.33775	29200	AENT	4	TAN
STIRE	120	56.019	59	5	800	751	442	353	96000	44815	0.58855	0.47004	-71200	EIRST	7	STIR
TEARER	63	31.829	41	6	1400	124	7	67	88200	44561	0.056452	0.54032	84000	AEERRT	3	TEAR
DATES	123	55.548	66	5	800	426	194	244	98400	44438	0.4554	0.57277	40000	ADEST	7	DATE
LATE	250	110.77	108	4	400	1049	594	641	100000	44307	0.56625	0.61106	18800	AELT	6	LAT
RETAIN	65	31.541	34	6	1400	329	147	142	91000	44158	0.44681	0.43161	-7000	AEINRT	3	TAIN
