word	presences	finds
LES	2446	0
ISNA	946	0
AESIR	615	0
NAOI	477	0
ISNAE	448	0
ABO	409	0
NELIS	394	0
OSTIA	390	0
OTIC	387	0
HORI	385	0
ATRIA	360	0
NGAI	340	0
AERY	329	0
ISTLE	323	0
TAIG	320	0
AITU	310	0
EDHS	294	0
OHED	292	0
ARIOT	292	0
NOAH	284	0
ILIA	284	0
EISEL	280	0
OLEO	278	0
NEROL	275	0
ETUI	271	0
CIAO	259	0
URAO	256	0
ESTOC	256	0
NAIRA	253	0
EEW	248	0
YID	238	0
LOTSA	235	0
ERICA	235	0
UTERI	232	0
ULAN	230	0
NIGER	227	0
ANSAE	224	0
SEHRI	223	0
EYRA	218	0
ELHI	217	0
ODIST	211	0
ARECA	209	0
INERM	207	0
ARISTA	206	0
SEARAT	204	0
HORIS	197	0
EIDOS	197	0
USNEA	194	0
EHED	188	0
REIRD	187	0
NADIR	187	0
URAEI	186	0
TAHRS	185	0
ATMA	182	0
SIROC	180	0
LESES	179	0
SENITI	178	0
AHENT	176	0
DANIO	174	0
NIDAL	174	0
SNASTE	173	0
NEREIS	173	0
ERHU	172	0
ODSO	172	0
NARIC	171	0
ARISTO	171	0
SIEUR	169	0
SEPIA	169	0
AHINT	169	0
NIDOR	169	0
ATUA	168	0
INARM	166	0
TEDY	165	0
NGATI	164	0
BINT	164	0
EREV	163	0
AARTI	162	0
TREIF	161	0
AUREI	160	0
ABOS	160	0
AORIST	160	0
EPHA	156	0
LITAI	155	0
ASPIE	155	0
ATOCS	153	0
NETOP	153	0
OONTS	152	0
EPRIS	152	0
AUA	150	0
AMRIT	149	0
ISBA	149	0
ISSEI	149	0
TERATA	148	0
EDDO	147	0
TELIC	145	0
ISATIN	145	0
URIC	145	0
EUOI	144	0
RANSEL	143	0
IGAD	142	0
ANOAS	139	0
TAENIA	138	0
KERO	137	0
OSCAR	137	0
MAERL	137	0
ANLAS	135	0
NEGRO	133	0
ORACH	132	0
ALDEA	132	0
AINGA	132	0
DOSAI	131	0
RISTRA	131	0
SNEATH	131	0
SACRA	131	0
ETHNE	130	0
