month	mean	lo	hi	n	block
2025-11	1004.17	1000.91	1006.82	630	eloAtStart
2025-12	1199.97	1197.98	1201.83	2546	eloAtStart
2026-01	1521.09	1512.06	1531.24	889	eloAtStart
2026-02	1700.71	1698.08	1703.36	2014	eloAtStart
2026-03	1717.53	1681.42	1751.61	15	eloAtStart
2026-05	1531.23	1526.06	1536.02	57	eloAtStart
2026-06	1465.53	1461.25	1469.98	404	eloAtStart
2026-07	1534.57	1531.74	1537.15	1354	eloAtStart
2026-08	1635.99	1624.87	1646.72	236	eloAtStart
2026-09	1495.29	1491.91	1498.83	889	eloAtStart
2025-11	1013.86	1003.13	1025.24	630	oppElo
2025-12	1192.25	1186.14	1197.69	2546	oppElo
2026-01	1526.09	1512.14	1540.22	889	oppElo
2026-02	1696.15	1688.94	1702.3	2014	oppElo
2026-03	1732.34	1653.3	1802.65	15	oppElo
2026-05	1494.45	1461.11	1526.95	56	oppElo
2026-06	1459.49	1447.11	1474.19	404	oppElo
2026-07	1518.83	1511.68	1526.38	1354	oppElo
2026-08	1624.91	1606.67	1645.48	236	oppElo
2026-09	1482.19	1471.1	1491.7	889	oppElo
2025-11	276621	268746	283706	630	potential
2025-12	277180	273398	280460	2546	potential
2026-01	307698	295517	319350	889	potential
2026-02	302536	295620	310573	2014	potential
2026-03	260400	207843	314570	15	potential
2026-05	274614	241310	310042	57	potential
2026-06	312920	296387	328503	404	potential
2026-07	321849	313475	330127	1354	potential
2026-08	324492	305658	344812	236	potential
2026-09	324780	315736	335165	889	potential
