bucket	mean	lo	hi	n	kind	block
2025-11	37472.2	36723.2	38285.8	630	raw	yourScore
2025-12	45406.5	44960.6	45830.3	2546	raw	yourScore
2026-01	44776.2	43892.8	45770.2	889	raw	yourScore
2026-02	49527	48851.9	50111.8	2014	raw	yourScore
2026-03	45020	39704.7	50615.2	15	raw	yourScore
2026-05	44036.8	40583.4	47453.3	57	raw	yourScore
2026-06	49104.5	47785.3	50222.4	404	raw	yourScore
2026-07	53250.2	52459.1	54040.3	1354	raw	yourScore
2026-08	57258.5	55280	59024	236	raw	yourScore
2026-09	53573.3	52644.5	54627.2	889	raw	yourScore
2025-11	36832.6	36195.7	37466.6	630	controlled	yourScore_ctl
2025-12	44738.5	44404.1	45056.7	2546	controlled	yourScore_ctl
2026-01	46306.3	45693.4	46911.5	889	controlled	yourScore_ctl
2026-02	50649.4	50238.7	51055.4	2014	controlled	yourScore_ctl
2026-03	49412.5	45300.6	54123.4	15	controlled	yourScore_ctl
2026-05	47521	45151.2	49625.9	57	controlled	yourScore_ctl
2026-06	49257.5	48317.2	50100.5	404	controlled	yourScore_ctl
2026-07	52581.9	52013	53165.5	1354	controlled	yourScore_ctl
2026-08	56330	54850.2	57795	236	controlled	yourScore_ctl
2026-09	52764.3	52145.2	53444.7	889	controlled	yourScore_ctl
2025-11	38325.6	37364.2	39258.1	630	raw	oppScore
2025-12	45129	44616.8	45654	2546	raw	oppScore
2026-01	44535.2	43426.7	45587.3	889	raw	oppScore
2026-02	49584.9	48919.5	50251.1	2014	raw	oppScore
2026-03	46126.7	39369	53163.6	15	raw	oppScore
2026-05	41971.9	38410.1	45694.7	57	raw	oppScore
2026-06	48020.3	46534.5	49467.3	404	raw	oppScore
2026-07	52328.5	51429	53227.4	1354	raw	oppScore
2026-08	56007.2	53980.7	58068.3	236	raw	oppScore
2026-09	52810.3	51833.4	53812.9	889	raw	oppScore
2025-11	37610.8	36748.6	38562.3	630	controlled	oppScore_ctl
2025-12	44384.5	43953	44828.8	2546	controlled	oppScore_ctl
2026-01	46140.4	45332.5	46950.1	889	controlled	oppScore_ctl
2026-02	50771.3	50297.3	51274.9	2014	controlled	oppScore_ctl
2026-03	50676	45469.1	55212.1	15	controlled	oppScore_ctl
2026-05	45606.1	42772.3	48441.1	57	controlled	oppScore_ctl
2026-06	48215.2	47033.6	49353.1	404	controlled	oppScore_ctl
2026-07	51671.4	51044.1	52331.1	1354	controlled	oppScore_ctl
2026-08	55075.5	53492	56396.6	236	controlled	oppScore_ctl
2026-09	52005.9	51150.1	52700.7	889	controlled	oppScore_ctl
2025-11	71.5971	70.6441	72.4037	628	raw	nWords
2025-12	82.9422	82.444	83.4873	2544	raw	nWords
2026-01	84.0811	83.0547	85.0951	888	raw	nWords
2026-02	92.6221	91.9576	93.2567	2011	raw	nWords
2026-03	87.8667	81.6636	94.6195	15	raw	nWords
2026-05	83.9123	80.2477	87.9191	57	raw	nWords
2026-06	89.4505	87.9676	90.8445	404	raw	nWords
2026-07	95.5462	94.7143	96.3645	1353	raw	nWords
2026-08	102.919	100.73	104.88	234	raw	nWords
2026-09	96.081	95.1913	97.0347	889	raw	nWords
2025-11	73.0051	72.2153	73.7604	628	controlled	nWords_ctl
2025-12	84.3197	83.9059	84.7038	2544	controlled	nWords_ctl
2026-01	84.3163	83.5277	85.0619	888	controlled	nWords_ctl
2026-02	92.4896	91.9874	93.0073	2011	controlled	nWords_ctl
2026-03	89.8536	82.7834	96.8152	15	controlled	nWords_ctl
2026-05	85.596	82.8446	88.4614	57	controlled	nWords_ctl
2026-06	88.5409	87.4333	89.7241	404	controlled	nWords_ctl
2026-07	94.017	93.4349	94.7129	1353	controlled	nWords_ctl
2026-08	101.04	99.3851	102.598	234	controlled	nWords_ctl
2026-09	94.3031	93.5369	95.1467	889	controlled	nWords_ctl
2025-11	0.499206	0.46299	0.534727	630	raw	S
2025-12	0.515122	0.495262	0.535632	2546	raw	S
2026-01	0.491564	0.457587	0.522936	889	raw	S
2026-02	0.513158	0.490583	0.535833	2014	raw	S
2026-03	0.466667	0.230556	0.777976	15	raw	S
2026-05	0.578947	0.450956	0.706951	57	raw	S
2026-06	0.517327	0.471009	0.563262	404	raw	S
2026-07	0.535451	0.512414	0.566226	1354	raw	S
2026-08	0.525424	0.453203	0.590621	236	raw	S
2026-09	0.526434	0.495976	0.559538	889	raw	S
2025-11	0.552986	0.514329	0.586308	614	controlled	S_ctl
2025-12	0.511341	0.49596	0.528378	2518	controlled	S_ctl
2026-01	0.495104	0.46633	0.525555	879	controlled	S_ctl
2026-02	0.512486	0.493049	0.534221	2001	controlled	S_ctl
2026-03	0.511768	0.186419	0.82346	15	controlled	S_ctl
2026-05	0.507186	0.362398	0.638134	52	controlled	S_ctl
2026-06	0.500434	0.455957	0.545295	387	controlled	S_ctl
2026-07	0.517717	0.495838	0.539349	1322	controlled	S_ctl
2026-08	0.508042	0.453673	0.564258	231	controlled	S_ctl
2026-09	0.513995	0.484188	0.541626	874	controlled	S_ctl
