bucket	mean	lo	hi	n	kind	block
1	44104.4	43685.7	44474.1	3397	raw	yourScore
2	44242.8	43294.1	45309.8	778	raw	yourScore
3	49609.8	48956.6	50329.5	1914	raw	yourScore
4	48900	36466.7	60903	5	raw	yourScore
6	44454.7	41400.6	47575.6	75	raw	yourScore
7	49192.4	47829.9	50610.3	394	raw	yourScore
8	53869	53124.1	54635.5	1520	raw	yourScore
9	54279	50382.9	58307	62	raw	yourScore
10	53573.3	52627.7	54587.8	889	raw	yourScore
1	43524.7	43229.1	43806.8	3397	controlled	yourScore_ctl
2	45874.1	45259.9	46524.9	778	controlled	yourScore_ctl
3	50798.1	50376.5	51255.4	1914	controlled	yourScore_ctl
4	50558.3	41180.8	64063	5	controlled	yourScore_ctl
6	48062.1	46308.2	50023	75	controlled	yourScore_ctl
7	49150.7	48322.5	49992.9	394	controlled	yourScore_ctl
8	53146.7	52539.7	53716.4	1520	controlled	yourScore_ctl
9	53960.2	50457.7	56851.2	62	controlled	yourScore_ctl
10	52764.3	51993	53498.9	889	controlled	yourScore_ctl
1	43992.1	43545.4	44404.8	3397	raw	oppScore
2	44130.3	43085.6	45258.2	778	raw	oppScore
3	49732.9	49077.8	50399.8	1914	raw	oppScore
4	45560	29681.7	58822	5	raw	oppScore
6	42126.7	38663	45387.8	75	raw	oppScore
7	48191.6	46749.5	49820.6	394	raw	oppScore
8	52967.4	52065.7	53722	1520	raw	oppScore
9	51703.2	48499.3	54963.1	62	raw	oppScore
10	52810.3	51809.8	53935.5	889	raw	oppScore
1	43340.3	42951.9	43743.1	3397	controlled	oppScore_ctl
2	45860.3	45053.6	46730.3	778	controlled	oppScore_ctl
3	50986	50462.1	51479.2	1914	controlled	oppScore_ctl
4	47354.7	33783.5	55796.9	5	controlled	oppScore_ctl
6	45878.4	43449	48662.9	75	controlled	oppScore_ctl
7	48187.8	46968.5	49400.3	394	controlled	oppScore_ctl
8	52253.5	51626.4	52936.3	1520	controlled	oppScore_ctl
9	51406.2	48624.1	54023.7	62	controlled	oppScore_ctl
10	52005.9	51125.9	52850.4	889	controlled	oppScore_ctl
1	80.949	80.5246	81.3853	3393	raw	nWords
2	84.9125	83.7763	85.9426	777	raw	nWords
3	92.6923	92.0625	93.371	1911	raw	nWords
4	88.2	71.4958	110.333	5	raw	nWords
6	84.6133	80.9651	88.0821	75	raw	nWords
7	89.5305	88.1035	90.9636	394	raw	nWords
8	96.5751	95.8129	97.3333	1518	raw	nWords
9	99.2787	95.8079	102.981	61	raw	nWords
10	96.081	94.9765	97.039	889	raw	nWords
1	82.4004	81.9859	82.8159	3393	controlled	nWords_ctl
2	84.1673	83.2888	84.9618	777	controlled	nWords_ctl
3	92.7038	92.2031	93.2704	1911	controlled	nWords_ctl
4	86.7984	68.1386	109.344	5	controlled	nWords_ctl
6	86.6415	83.7728	89.111	75	controlled	nWords_ctl
7	88.4203	87.1975	89.5812	394	controlled	nWords_ctl
8	94.9974	94.3242	95.5953	1518	controlled	nWords_ctl
9	97.64	94.2856	100.471	61	controlled	nWords_ctl
10	94.3031	93.4799	95.1889	889	controlled	nWords_ctl
1	0.510156	0.493441	0.528225	3397	raw	S
2	0.497429	0.459363	0.529339	778	raw	S
3	0.512278	0.491217	0.531239	1914	raw	S
4	0.6	0	1	5	raw	S
6	0.546667	0.437406	0.655773	75	raw	S
7	0.522843	0.47099	0.573291	394	raw	S
8	0.533553	0.50356	0.558184	1520	raw	S
9	0.532258	0.403838	0.666667	62	raw	S
10	0.526434	0.49487	0.55454	889	raw	S
1	0.525671	0.511846	0.540104	3352	controlled	S_ctl
2	0.461766	0.428144	0.495879	766	controlled	S_ctl
3	0.512511	0.490569	0.533244	1904	controlled	S_ctl
4	0.773322	-0.138541	1.59708	5	controlled	S_ctl
6	0.495175	0.388409	0.602438	70	controlled	S_ctl
7	0.501468	0.45865	0.544237	377	controlled	S_ctl
8	0.513758	0.490515	0.53655	1486	controlled	S_ctl
9	0.587482	0.462932	0.705507	59	controlled	S_ctl
10	0.513995	0.485016	0.544068	874	controlled	S_ctl
