month	3	4	5	6	7	finds
2025-11	0.314325	0.35616	0.207704	0.0908302	0.030981	44963
2025-12	0.294021	0.351522	0.223744	0.0965427	0.0341698	211005
2026-01	0.304859	0.357066	0.214119	0.0915836	0.0323717	74664
2026-02	0.300645	0.355868	0.22028	0.0924338	0.0307737	186263
2026-03	0.310319	0.358118	0.228376	0.0796662	0.0235205	1318
2026-05	0.31382	0.354171	0.216182	0.0819569	0.03387	4783
2026-06	0.294538	0.350185	0.224584	0.0955781	0.0351154	36138
2026-07	0.290577	0.344555	0.227842	0.10125	0.0357767	129274
2026-08	0.285097	0.343562	0.233899	0.104057	0.0333845	24083
2026-09	0.291596	0.346516	0.224466	0.0998993	0.0375222	85416
