decile	mean	lo	hi	n	clusters	block	pos
0	3.92697	3.91903	3.93438	82899	9023	decile_player	
1	4.08614	4.07818	4.09559	78476	9023	decile_player	
2	4.15409	4.14471	4.16366	79348	9023	decile_player	
3	4.21612	4.20651	4.22657	78434	9023	decile_player	
4	4.25686	4.24754	4.26702	77530	9023	decile_player	
5	4.28435	4.27427	4.29436	80235	9023	decile_player	
6	4.30732	4.29777	4.31833	79345	9023	decile_player	
7	4.32967	4.3167	4.34117	78437	9023	decile_player	
8	4.336	4.32446	4.34668	79387	9023	decile_player	
9	4.34855	4.33877	4.35908	83816	9023	decile_player	
0	4.22174	4.21184	4.23187	76801	8991	decile_opponent	
1	4.34971	4.3388	4.35928	72309	8987	decile_opponent	
2	4.36255	4.35261	4.37478	73120	8987	decile_opponent	
3	4.36132	4.34961	4.37279	72403	8988	decile_opponent	
4	4.36022	4.34876	4.37155	71351	8985	decile_opponent	
5	4.34332	4.33234	4.35545	74111	8987	decile_opponent	
6	4.3302	4.31776	4.34067	73270	8989	decile_opponent	
7	4.32263	4.31136	4.33411	72253	8986	decile_opponent	
8	4.31602	4.3043	4.3278	73176	8988	decile_opponent	
9	4.30544	4.29422	4.31683	77736	8990	decile_opponent	
0	4.42998	4.40531	4.45824	13117	1347	decile_strong	
1	4.56469	4.53871	4.59511	12460	1347	decile_strong	
2	4.58012	4.55147	4.61087	12587	1347	decile_strong	
3	4.60428	4.57635	4.63444	12481	1347	decile_strong	
4	4.59118	4.55735	4.62292	12306	1347	decile_strong	
5	4.58228	4.55443	4.61293	12719	1347	decile_strong	
6	4.55548	4.526	4.58963	12618	1347	decile_strong	
7	4.54161	4.51036	4.57104	12450	1347	decile_strong	
8	4.52513	4.49625	4.55524	12597	1347	decile_strong	
9	4.48618	4.45562	4.51735	13275	1347	decile_strong	
0	4.11805	4.09538	4.14476	11368	1442	decile_weak	
1	4.2593	4.23186	4.28451	10617	1438	decile_weak	
2	4.27744	4.24824	4.30311	10752	1438	decile_weak	
3	4.29068	4.26509	4.31524	10620	1439	decile_weak	
4	4.29463	4.26561	4.32584	10474	1436	decile_weak	
5	4.27507	4.2505	4.30532	10928	1438	decile_weak	
6	4.2483	4.22346	4.27791	10761	1440	decile_weak	
7	4.23494	4.21048	4.26059	10611	1437	decile_weak	
8	4.26408	4.23498	4.28828	10758	1439	decile_weak	
9	4.24698	4.22052	4.27422	11499	1441	decile_weak	
0	4.28234	4.27397	4.29185	71913	7125	decile_peer	
1	4.32982	4.31888	4.3399	68385	7124	decile_peer	
2	4.30229	4.29033	4.313	69082	7124	decile_peer	
3	4.29789	4.28777	4.30956	68395	7124	decile_peer	
4	4.28857	4.27785	4.30055	67654	7124	decile_peer	
5	4.25719	4.24566	4.26816	69808	7125	decile_peer	
6	4.23218	4.21903	4.24494	69089	7124	decile_peer	
7	4.20935	4.19835	4.22059	68388	7124	decile_peer	
8	4.18873	4.17658	4.20212	69079	7124	decile_peer	
9	4.15812	4.14744	4.16964	72678	7125	decile_peer	
	3.6888	3.67505	3.70398	9023	9023	pos_player	0
	3.68957	3.67399	3.70642	9023	9023	pos_player	1
	3.98293	3.9632	4.00167	9023	9023	pos_player	2
	3.94193	3.92453	3.95986	9023	9023	pos_player	3
	3.96974	3.94919	3.98859	9023	9023	pos_player	4
	3.96919	3.9509	3.98931	9023	9023	pos_player	5
	3.98293	3.96134	4.00204	9023	9023	pos_player	6
	3.98592	3.96599	4.00476	9023	9023	pos_player	7
	4.02117	4.00561	4.0404	9023	9023	pos_player	8
	4.03026	4.00847	4.04871	9023	9023	pos_player	9
	4.04289	4.02386	4.06324	9023	9023	pos_player	10
	4.04865	4.0309	4.06736	9023	9023	pos_player	11
	4.0624	4.04015	4.08125	9023	9023	pos_player	12
	4.07514	4.05425	4.09442	9023	9023	pos_player	13
	4.0983	4.07965	4.12165	9023	9023	pos_player	14
	4.09952	4.0783	4.11925	9023	9023	pos_player	15
	4.09055	4.06926	4.10866	9023	9023	pos_player	16
	4.11083	4.09239	4.1288	9023	9023	pos_player	17
	4.13	4.10958	4.15051	9023	9023	pos_player	18
	4.13133	4.1105	4.15525	9023	9023	pos_player	19
	4.14097	4.11974	4.16318	9023	9023	pos_player	20
	4.1392	4.11605	4.16128	9023	9023	pos_player	21
	4.13986	4.11702	4.15903	9023	9023	pos_player	22
	4.15475	4.13625	4.17495	9021	9021	pos_player	23
	4.16617	4.14569	4.18902	9021	9021	pos_player	24
	3.86175	3.84458	3.88013	8991	8991	pos_opponent	0
	4.07809	4.05994	4.09617	8990	8990	pos_opponent	1
	4.23929	4.21759	4.26246	8989	8989	pos_opponent	2
	4.27879	4.25881	4.29904	8989	8989	pos_opponent	3
	4.29662	4.27593	4.31918	8988	8988	pos_opponent	4
	4.32577	4.30486	4.34565	8988	8988	pos_opponent	5
	4.31813	4.29936	4.3414	8987	8987	pos_opponent	6
	4.33819	4.31642	4.36191	8986	8986	pos_opponent	7
	4.34031	4.31932	4.36135	8986	8986	pos_opponent	8
	4.35007	4.32917	4.37166	8984	8984	pos_opponent	9
	4.37464	4.35101	4.3968	8982	8982	pos_opponent	10
	4.36718	4.34344	4.38932	8982	8982	pos_opponent	11
	4.33155	4.30909	4.35411	8982	8982	pos_opponent	12
	4.36106	4.3397	4.38417	8979	8979	pos_opponent	13
	4.37454	4.35301	4.39685	8979	8979	pos_opponent	14
	4.3754	4.3557	4.39853	8977	8977	pos_opponent	15
	4.36649	4.34317	4.38772	8977	8977	pos_opponent	16
	4.34017	4.3153	4.36412	8975	8975	pos_opponent	17
	4.35766	4.33259	4.38054	8975	8975	pos_opponent	18
	4.37943	4.35548	4.40241	8974	8974	pos_opponent	19
	4.36781	4.34671	4.39079	8972	8972	pos_opponent	20
	4.36919	4.34634	4.39272	8971	8971	pos_opponent	21
	4.37107	4.35055	4.39328	8966	8966	pos_opponent	22
	4.36538	4.34231	4.38635	8966	8966	pos_opponent	23
	4.36642	4.34489	4.38884	8965	8965	pos_opponent	24
	4.09725	4.04013	4.15549	1347	1347	pos_strong	0
	4.2435	4.18418	4.29693	1347	1347	pos_strong	1
	4.4588	4.39318	4.5158	1347	1347	pos_strong	2
	4.47513	4.41787	4.53567	1347	1347	pos_strong	3
	4.51745	4.45149	4.57921	1347	1347	pos_strong	4
	4.56422	4.49854	4.62574	1347	1347	pos_strong	5
	4.52116	4.45964	4.57797	1347	1347	pos_strong	6
	4.54788	4.48778	4.61053	1347	1347	pos_strong	7
	4.52858	4.4702	4.58264	1347	1347	pos_strong	8
	4.55828	4.4891	4.61474	1347	1347	pos_strong	9
	4.64514	4.57866	4.70843	1347	1347	pos_strong	10
	4.63029	4.56387	4.6943	1347	1347	pos_strong	11
	4.58649	4.52318	4.64639	1347	1347	pos_strong	12
	4.57387	4.51543	4.63463	1347	1347	pos_strong	13
	4.63623	4.5681	4.69763	1347	1347	pos_strong	14
	4.60505	4.53835	4.6734	1347	1347	pos_strong	15
	4.59169	4.52396	4.65364	1347	1347	pos_strong	16
	4.55605	4.4955	4.62151	1347	1347	pos_strong	17
	4.64959	4.5857	4.71232	1347	1347	pos_strong	18
	4.62509	4.56211	4.68125	1347	1347	pos_strong	19
	4.58649	4.52516	4.64946	1347	1347	pos_strong	20
	4.60653	4.54826	4.66742	1347	1347	pos_strong	21
	4.58723	4.52685	4.65106	1347	1347	pos_strong	22
	4.56867	4.50715	4.62246	1347	1347	pos_strong	23
	4.62361	4.56389	4.68765	1347	1347	pos_strong	24
	3.71775	3.67672	3.75726	1442	1442	pos_weak	0
	3.97779	3.93377	4.02311	1441	1441	pos_weak	1
	4.14861	4.10232	4.19714	1440	1440	pos_weak	2
	4.23056	4.18085	4.28274	1440	1440	pos_weak	3
	4.23419	4.18471	4.28636	1439	1439	pos_weak	4
	4.2328	4.17892	4.28291	1439	1439	pos_weak	5
	4.23366	4.18162	4.28405	1438	1438	pos_weak	6
	4.25261	4.19712	4.30742	1437	1437	pos_weak	7
	4.29923	4.24815	4.35376	1437	1437	pos_weak	8
	4.30453	4.25082	4.35973	1435	1435	pos_weak	9
	4.26639	4.21528	4.32457	1434	1434	pos_weak	10
	4.26918	4.21043	4.32578	1434	1434	pos_weak	11
	4.22734	4.17365	4.2861	1434	1434	pos_weak	12
	4.28492	4.22967	4.34426	1432	1432	pos_weak	13
	4.31285	4.25958	4.37016	1432	1432	pos_weak	14
	4.2986	4.23772	4.34958	1430	1430	pos_weak	15
	4.27902	4.22077	4.32998	1430	1430	pos_weak	16
	4.2556	4.19653	4.31657	1428	1428	pos_weak	17
	4.29902	4.24751	4.3544	1428	1428	pos_weak	18
	4.30322	4.24461	4.35645	1428	1428	pos_weak	19
	4.31793	4.27121	4.3751	1428	1428	pos_weak	20
	4.2698	4.21247	4.33944	1427	1427	pos_weak	21
	4.3111	4.2512	4.36727	1424	1424	pos_weak	22
	4.31601	4.25114	4.37436	1424	1424	pos_weak	23
	4.27458	4.22365	4.32768	1424	1424	pos_weak	24
	4.18779	4.16717	4.20657	7125	7125	pos_peer	0
	3.8706	3.84939	3.89049	7125	7125	pos_peer	1
	4.28575	4.26152	4.31223	7125	7125	pos_peer	2
	4.42687	4.39872	4.45032	7124	7124	pos_peer	3
	4.32524	4.3027	4.35322	7124	7124	pos_peer	4
	4.34138	4.31791	4.36862	7124	7124	pos_peer	5
	4.33408	4.30828	4.35695	7124	7124	pos_peer	6
	4.30783	4.28043	4.33278	7124	7124	pos_peer	7
	4.32622	4.3019	4.3488	7124	7124	pos_peer	8
	4.3265	4.30208	4.3514	7124	7124	pos_peer	9
	4.3345	4.31034	4.35906	7124	7124	pos_peer	10
	4.32608	4.30192	4.35163	7124	7124	pos_peer	11
	4.32285	4.29684	4.34634	7124	7124	pos_peer	12
	4.33212	4.30738	4.35979	7124	7124	pos_peer	13
	4.31794	4.29582	4.34182	7124	7124	pos_peer	14
	4.32748	4.30261	4.35251	7124	7124	pos_peer	15
	4.31878	4.2931	4.34511	7124	7124	pos_peer	16
	4.32482	4.29992	4.34747	7124	7124	pos_peer	17
	4.31738	4.29248	4.34443	7124	7124	pos_peer	18
	4.30633	4.28076	4.33074	7123	7123	pos_peer	19
	4.30394	4.27807	4.32749	7123	7123	pos_peer	20
	4.29973	4.27513	4.32381	7123	7123	pos_peer	21
	4.3009	4.27881	4.32826	7122	7122	pos_peer	22
	4.31943	4.2915	4.34459	7122	7122	pos_peer	23
	4.31003	4.28467	4.3357	7122	7122	pos_peer	24
