pos	mean	lo	hi	n	clusters	block
0	3.67686	3.66041	3.69413	6805	6805	4x4_player
1	3.70595	3.68882	3.72533	6805	6805	4x4_player
2	3.98648	3.96822	4.00805	6805	6805	4x4_player
3	3.94592	3.92322	3.96628	6805	6805	4x4_player
4	3.98046	3.95815	4.00207	6805	6805	4x4_player
5	3.98237	3.95941	4.00147	6805	6805	4x4_player
6	3.99427	3.97427	4.01793	6805	6805	4x4_player
7	3.99148	3.97017	4.01155	6805	6805	4x4_player
8	4.03527	4.01344	4.05593	6805	6805	4x4_player
9	4.04364	4.02124	4.06511	6805	6805	4x4_player
10	4.04438	4.02032	4.06849	6805	6805	4x4_player
11	4.05364	4.02898	4.07346	6805	6805	4x4_player
12	4.05746	4.03506	4.08003	6805	6805	4x4_player
13	4.082	4.0598	4.10202	6805	6805	4x4_player
14	4.10977	4.08611	4.13206	6805	6805	4x4_player
15	4.09949	4.07675	4.12354	6805	6805	4x4_player
16	4.08846	4.06648	4.1105	6805	6805	4x4_player
17	4.11447	4.0902	4.13703	6805	6805	4x4_player
18	4.13402	4.10986	4.15611	6805	6805	4x4_player
19	4.13108	4.10759	4.15538	6805	6805	4x4_player
20	4.14254	4.11964	4.16823	6805	6805	4x4_player
21	4.14313	4.11693	4.16503	6805	6805	4x4_player
22	4.15856	4.13604	4.18305	6805	6805	4x4_player
23	4.16564	4.13932	4.19428	6804	6804	4x4_player
24	4.17534	4.15262	4.19904	6804	6804	4x4_player
0	3.87281	3.85102	3.89526	6777	6777	4x4_opponent
1	4.08323	4.06261	4.10625	6776	6776	4x4_opponent
2	4.24827	4.22504	4.27312	6775	6775	4x4_opponent
3	4.27956	4.25412	4.30202	6775	6775	4x4_opponent
4	4.29318	4.26694	4.31703	6774	6774	4x4_opponent
5	4.32152	4.29522	4.34534	6774	6774	4x4_opponent
6	4.31832	4.29282	4.34315	6773	6773	4x4_opponent
7	4.32954	4.30484	4.35409	6773	6773	4x4_opponent
8	4.32615	4.29974	4.35124	6773	6773	4x4_opponent
9	4.33373	4.30993	4.3604	6772	6772	4x4_opponent
10	4.3707	4.34492	4.39687	6771	6771	4x4_opponent
11	4.35401	4.32847	4.3789	6771	6771	4x4_opponent
12	4.32462	4.30034	4.35343	6771	6771	4x4_opponent
13	4.35225	4.32455	4.37823	6768	6768	4x4_opponent
14	4.36525	4.33952	4.39141	6768	6768	4x4_opponent
15	4.38487	4.361	4.40848	6766	6766	4x4_opponent
16	4.3522	4.32726	4.37858	6766	6766	4x4_opponent
17	4.32363	4.29904	4.34781	6764	6764	4x4_opponent
18	4.34713	4.31979	4.37268	6764	6764	4x4_opponent
19	4.36827	4.3431	4.39286	6764	6764	4x4_opponent
20	4.36838	4.34494	4.39527	6762	6762	4x4_opponent
21	4.35143	4.32579	4.38115	6761	6761	4x4_opponent
22	4.37073	4.34555	4.39944	6757	6757	4x4_opponent
23	4.34927	4.32204	4.37366	6757	6757	4x4_opponent
24	4.36205	4.33546	4.38804	6756	6756	4x4_opponent
0	4.08041	4.01554	4.1455	970	970	4x4_strong
1	4.25361	4.18929	4.30883	970	970	4x4_strong
2	4.47732	4.40767	4.55307	970	970	4x4_strong
3	4.4701	4.40087	4.53751	970	970	4x4_strong
