pos	mean	lo	hi	n	clusters	block
0	3.48983	3.46761	3.51189	3393	3393	1_player
1	3.71883	3.69278	3.74526	3393	3393	1_player
2	3.95756	3.92774	3.98563	3393	3393	1_player
3	3.92485	3.89451	3.95609	3393	3393	1_player
4	3.95962	3.93272	3.99135	3393	3393	1_player
5	3.95461	3.92624	3.98358	3393	3393	1_player
6	3.97436	3.94759	4.0062	3393	3393	1_player
7	3.98526	3.95136	4.01614	3393	3393	1_player
8	4.00589	3.97878	4.03893	3393	3393	1_player
9	4.04126	4.01259	4.07366	3393	3393	1_player
10	4.04863	4.01156	4.07743	3393	3393	1_player
11	4.04126	4.0104	4.07377	3393	3393	1_player
12	4.05335	4.02069	4.08488	3393	3393	1_player
13	4.08075	4.04884	4.10978	3393	3393	1_player
14	4.1117	4.07741	4.14749	3393	3393	1_player
15	4.0837	4.05324	4.11569	3393	3393	1_player
16	4.09136	4.05897	4.1196	3393	3393	1_player
17	4.10787	4.07737	4.14299	3393	3393	1_player
18	4.14176	4.10708	4.17865	3393	3393	1_player
19	4.12054	4.08449	4.15404	3393	3393	1_player
20	4.15473	4.12014	4.19123	3393	3393	1_player
21	4.15326	4.11795	4.18903	3393	3393	1_player
22	4.15738	4.12324	4.19368	3393	3393	1_player
23	4.18568	4.15301	4.21934	3393	3393	1_player
24	4.1733	4.13802	4.20703	3393	3393	1_player
0	3.77732	3.74823	3.80409	3377	3377	1_opponent
1	4.06013	4.03158	4.08692	3376	3376	1_opponent
2	4.22038	4.18564	4.2555	3376	3376	1_opponent
3	4.24822	4.2124	4.28453	3376	3376	1_opponent
4	4.24348	4.21083	4.27837	3376	3376	1_opponent
5	4.30213	4.25992	4.33794	3376	3376	1_opponent
6	4.30726	4.27147	4.34255	3375	3375	1_opponent
7	4.29837	4.26342	4.33579	3375	3375	1_opponent
8	4.29985	4.26194	4.33817	3375	3375	1_opponent
9	4.30963	4.27475	4.34033	3375	3375	1_opponent
10	4.34519	4.3107	4.38423	3375	3375	1_opponent
11	4.32474	4.28519	4.36414	3375	3375	1_opponent
12	4.31674	4.27988	4.35229	3375	3375	1_opponent
13	4.34094	4.30492	4.37595	3373	3373	1_opponent
14	4.34747	4.31369	4.38803	3373	3373	1_opponent
15	4.37544	4.33593	4.40872	3372	3372	1_opponent
16	4.34698	4.31042	4.38362	3372	3372	1_opponent
17	4.29131	4.2546	4.32837	3371	3371	1_opponent
18	4.3367	4.29866	4.37205	3371	3371	1_opponent
19	4.36577	4.32695	4.40408	3371	3371	1_opponent
20	4.36221	4.32632	4.40194	3371	3371	1_opponent
21	4.33966	4.30633	4.38107	3371	3371	1_opponent
22	4.36706	4.32825	4.40799	3370	3370	1_opponent
23	4.34659	4.313	4.38472	3370	3370	1_opponent
24	4.36509	4.32741	4.40727	3369	3369	1_opponent
0	3.97328	3.88074	4.05012	524	524	1_strong
1	4.20992	4.12473	4.29226	524	524	1_strong
2	4.42557	4.33962	4.52061	524	524	1_strong
3	4.45229	4.3535	4.54106	524	524	1_strong
4	4.4542	4.32878	4.56793	524	524	1_strong
5	4.50573	4.41157	4.59477	524	524	1_strong
6	4.5687	4.46977	4.66795	524	524	1_strong
7	4.54008	4.44547	4.63949	524	524	1_strong
8	4.49427	4.39474	4.59442	524	524	1_strong
9	4.54389	4.43786	4.64444	524	524	1_strong
10	4.62595	4.52777	4.71435	524	524	1_strong
11	4.56489	4.47057	4.67944	524	524	1_strong
12	4.50573	4.39728	4.60502	524	524	1_strong
13	4.56298	4.45834	4.66997	524	524	1_strong
14	4.62405	4.52145	4.71909	524	524	1_strong
15	4.60878	4.50902	4.72034	524	524	1_strong
16	4.57252	4.47078	4.66785	524	524	1_strong
17	4.53244	4.43068	4.6379	524	524	1_strong
18	4.60305	4.50998	4.7004	524	524	1_strong
19	4.60496	4.51503	4.70082	524	524	1_strong
20	4.58779	4.47254	4.69442	524	524	1_strong
21	4.61832	4.51499	4.72549	524	524	1_strong
22	4.63359	4.53115	4.7329	524	524	1_strong
23	4.58206	4.46482	4.67447	524	524	1_strong
24	4.6355	4.52877	4.72768	524	524	1_strong
0	3.59846	3.5539	3.6387	777	777	2_player
1	3.62934	3.57875	3.68206	777	777	2_player
2	3.9601	3.90919	4.01816	777	777	2_player
3	3.87516	3.82156	3.9382	777	777	2_player
4	3.87001	3.80601	3.93089	777	777	2_player
5	3.93694	3.8779	3.99058	777	777	2_player
6	3.90476	3.84704	3.9627	777	777	2_player
7	3.92535	3.86597	3.98847	777	777	2_player
8	3.94852	3.88645	4.00903	777	777	2_player
9	3.98069	3.91654	4.04161	777	777	2_player
10	3.95109	3.88264	4.0216	777	777	2_player
11	3.98713	3.9334	4.04899	777	777	2_player
12	4	3.93875	4.06251	777	777	2_player
13	3.99099	3.926	4.06003	777	777	2_player
14	4.10425	4.03614	4.17203	777	777	2_player
15	4.08623	4.02222	4.15505	777	777	2_player
16	4.05534	3.99001	4.12393	777	777	2_player
17	4.07336	4.00552	4.14515	777	777	2_player
18	4.04762	3.97998	4.11559	777	777	2_player
19	4.07336	3.99997	4.15204	777	777	2_player
20	4.08752	4.01699	4.15428	777	777	2_player
21	4.0592	3.99387	4.1248	777	777	2_player
22	4.01416	3.94497	4.07511	777	777	2_player
23	4.06572	3.99859	4.13152	776	776	2_player
24	4.03866	3.96984	4.10151	776	776	2_player
0	3.75484	3.68941	3.81171	775	775	2_opponent
1	4.08516	4.01728	4.1478	775	775	2_opponent
2	4.20645	4.13352	4.27448	775	775	2_opponent
3	4.20387	4.13107	4.27243	775	775	2_opponent
4	4.27778	4.20733	4.34621	774	774	2_opponent
5	4.24031	4.16571	4.30884	774	774	2_opponent
6	4.24935	4.18225	4.3191	774	774	2_opponent
7	4.34367	4.27578	4.41983	774	774	2_opponent
8	4.24031	4.16731	4.30573	774	774	2_opponent
9	4.26615	4.19671	4.34092	774	774	2_opponent
10	4.26132	4.19316	4.33634	773	773	2_opponent
11	4.38422	4.31094	4.45994	773	773	2_opponent
12	4.24709	4.1804	4.32219	773	773	2_opponent
13	4.29107	4.21658	4.36344	773	773	2_opponent
14	4.28461	4.21034	4.35637	773	773	2_opponent
15	4.22639	4.15384	4.29506	773	773	2_opponent
16	4.28849	4.21221	4.35428	773	773	2_opponent
17	4.3053	4.22696	4.38382	773	773	2_opponent
18	4.31048	4.25092	4.39135	773	773	2_opponent
19	4.28756	4.21193	4.36739	772	772	2_opponent
20	4.24611	4.16984	4.32083	772	772	2_opponent
21	4.31218	4.24134	4.395	772	772	2_opponent
22	4.3035	4.2266	4.3712	771	771	2_opponent
23	4.29442	4.21738	4.37299	771	771	2_opponent
24	4.31777	4.25156	4.39605	771	771	2_opponent
0	4.00952	3.83858	4.19217	105	105	2_strong
1	4.31429	4.07762	4.51739	105	105	2_strong
2	4.55238	4.34928	4.74148	105	105	2_strong
3	4.46667	4.27628	4.6591	105	105	2_strong
4	4.40952	4.15553	4.6638	105	105	2_strong
5	4.51429	4.30186	4.72554	105	105	2_strong
6	4.3619	4.1495	4.56411	105	105	2_strong
7	4.71429	4.46217	4.94557	105	105	2_strong
8	4.4381	4.23141	4.68643	105	105	2_strong
9	4.35238	4.13122	4.55206	105	105	2_strong
10	4.5619	4.29824	4.77499	105	105	2_strong
11	4.78095	4.53495	5.01962	105	105	2_strong
12	4.49524	4.30348	4.712	105	105	2_strong
13	4.53333	4.30906	4.7569	105	105	2_strong
14	4.66667	4.40653	4.94809	105	105	2_strong
15	4.6	4.37156	4.8696	105	105	2_strong
16	4.6381	4.40585	4.86368	105	105	2_strong
17	4.49524	4.2746	4.69578	105	105	2_strong
18	4.60952	4.38677	4.81747	105	105	2_strong
19	4.53333	4.33615	4.72316	105	105	2_strong
20	4.57143	4.35291	4.79808	105	105	2_strong
21	4.6	4.35395	4.8485	105	105	2_strong
22	4.59048	4.37497	4.83502	105	105	2_strong
23	4.70476	4.47305	4.94899	105	105	2_strong
24	4.69524	4.43864	4.91932	105	105	2_strong
0	3.76714	3.73215	3.79909	1911	1911	3_player
1	3.663	3.62945	3.70168	1911	1911	3_player
2	3.96965	3.93238	4.01095	1911	1911	3_player
3	3.93616	3.89436	3.97686	1911	1911	3_player
4	3.95029	3.90577	3.99367	1911	1911	3_player
5	3.97227	3.93272	4.00887	1911	1911	3_player
6	3.97436	3.93631	4.01429	1911	1911	3_player
7	3.98325	3.94323	4.02568	1911	1911	3_player
8	4.03192	3.99485	4.07259	1911	1911	3_player
9	4.01884	3.97794	4.05775	1911	1911	3_player
10	4.0089	3.96944	4.05213	1911	1911	3_player
11	4.06593	4.02419	4.10796	1911	1911	3_player
12	4.05024	4.00849	4.09132	1911	1911	3_player
13	4.07274	4.03666	4.11241	1911	1911	3_player
14	4.07326	4.03744	4.11366	1911	1911	3_player
15	4.10675	4.06209	4.15632	1911	1911	3_player
16	4.08425	4.0437	4.12534	1911	1911	3_player
17	4.07012	4.02981	4.10971	1911	1911	3_player
18	4.07064	4.03241	4.11768	1911	1911	3_player
19	4.12664	4.08236	4.1672	1911	1911	3_player
20	4.14443	4.09855	4.18756	1911	1911	3_player
21	4.09995	4.05436	4.14717	1911	1911	3_player
22	4.09838	4.05823	4.14522	1911	1911	3_player
23	4.15123	4.10628	4.19332	1911	1911	3_player
24	4.16117	4.11769	4.20734	1911	1911	3_player
0	3.98532	3.94754	4.02925	1908	1908	3_opponent
1	4.12159	4.08008	4.16377	1908	1908	3_opponent
2	4.29088	4.24292	4.33932	1908	1908	3_opponent
3	4.31499	4.26992	4.3575	1908	1908	3_opponent
4	4.37107	4.32181	4.41293	1908	1908	3_opponent
5	4.39099	4.34162	4.44179	1908	1908	3_opponent
6	4.36845	4.32201	4.42171	1908	1908	3_opponent
7	4.37998	4.33399	4.42695	1908	1908	3_opponent
8	4.4109	4.35865	4.46251	1908	1908	3_opponent
9	4.42235	4.37229	4.46965	1906	1906	3_opponent
10	4.42625	4.38161	4.4785	1905	1905	3_opponent
11	4.41627	4.3703	4.46688	1905	1905	3_opponent
12	4.36903	4.3228	4.42035	1905	1905	3_opponent
13	4.39968	4.34823	4.45388	1904	1904	3_opponent
14	4.42647	4.38042	4.47352	1904	1904	3_opponent
15	4.42332	4.37471	4.46878	1904	1904	3_opponent
16	4.40809	4.35704	4.45621	1904	1904	3_opponent
17	4.4041	4.35504	4.45419	1903	1903	3_opponent
