pos	mean	lo	hi	n	clusters	block
0	3.66234	3.51699	3.82353	77	77	casual_player
1	3.61039	3.4177	3.82578	77	77	casual_player
2	3.77922	3.63371	3.9325	77	77	casual_player
3	3.5974	3.45713	3.74715	77	77	casual_player
4	3.87013	3.71795	4.03036	77	77	casual_player
5	3.71429	3.56624	3.88753	77	77	casual_player
6	3.77922	3.62291	3.93761	77	77	casual_player
7	3.55844	3.37329	3.75336	77	77	casual_player
8	3.93506	3.75375	4.09091	77	77	casual_player
9	3.8961	3.6965	4.08274	77	77	casual_player
10	3.79221	3.63508	3.97774	77	77	casual_player
11	3.83117	3.67596	4.01257	77	77	casual_player
12	3.77922	3.59252	3.97565	77	77	casual_player
13	3.76623	3.59994	3.91505	77	77	casual_player
14	3.85714	3.65881	4.07238	77	77	casual_player
15	3.98701	3.74594	4.18302	77	77	casual_player
16	3.75325	3.58331	3.92	77	77	casual_player
17	3.77922	3.59736	3.9702	77	77	casual_player
18	3.93506	3.70765	4.13584	77	77	casual_player
19	3.8961	3.68563	4.09893	77	77	casual_player
20	4.02597	3.79729	4.25844	77	77	casual_player
21	4.09091	3.87179	4.31434	77	77	casual_player
22	3.83117	3.64853	4.02747	77	77	casual_player
23	3.75325	3.5808	3.93857	77	77	casual_player
24	3.98701	3.7794	4.20253	77	77	casual_player
0	3.83117	3.63158	4.03089	77	77	casual_opponent
1	3.87013	3.68114	4.08436	77	77	casual_opponent
2	3.97368	3.81243	4.1559	76	76	casual_opponent
3	3.88158	3.68529	4.10635	76	76	casual_opponent
4	4.03947	3.87341	4.25384	76	76	casual_opponent
5	4.14474	3.93881	4.37671	76	76	casual_opponent
6	4.02632	3.85685	4.20271	76	76	casual_opponent
7	4.03947	3.80743	4.26094	76	76	casual_opponent
8	3.97368	3.79099	4.16251	76	76	casual_opponent
9	3.86842	3.68461	4.07915	76	76	casual_opponent
10	3.93421	3.71996	4.14286	76	76	casual_opponent
11	3.89474	3.70661	4.08752	76	76	casual_opponent
12	3.89474	3.70832	4.08019	76	76	casual_opponent
13	3.84211	3.65663	4.03001	76	76	casual_opponent
14	4.17105	3.9721	4.39437	76	76	casual_opponent
15	4.05333	3.8571	4.26164	75	75	casual_opponent
16	4.12	3.93093	4.30882	75	75	casual_opponent
17	3.90667	3.71084	4.11791	75	75	casual_opponent
18	4.04	3.82535	4.26747	75	75	casual_opponent
19	4.04	3.86072	4.20633	75	75	casual_opponent
20	3.90667	3.69495	4.16667	75	75	casual_opponent
21	4.04	3.85332	4.23302	75	75	casual_opponent
22	3.93333	3.72833	4.15395	75	75	casual_opponent
23	3.98667	3.81792	4.1645	75	75	casual_opponent
