mean	lo	hi	n	N	block	share	count	losses	ci
1849.26	1791.66	1911.48	2861	10	forgone				
2984.55	2903.13	3077.82	2861	15	forgone				
3837.56	3733.66	3950.12	2861	20	forgone				
4606.34	4492.9	4724.58	2861	25	forgone				
747.771	691.701	802.25	2861	10	weakProfile				
1158.8	1078.78	1231.42	2861	15	weakProfile				
1428.66	1325.72	1531.14	2861	20	weakProfile				
1727.9	1610.38	1849.17	2861	25	weakProfile				
-4.28784	-58.868	51.9637	2861	10	selfPlacebo				
-10.3801	-86.1198	60.6244	2861	15	selfPlacebo				
-7.01678	-99.3535	95.9576	2861	20	selfPlacebo				
-4.93097	-119.91	111.178	2861	25	selfPlacebo				
				10	lossesFlipped	0.175504	235	1339	[np.float64(0.1544195492087577), np.float64(0.19895263738713947)]
				15	lossesFlipped	0.264376	354	1339	[np.float64(0.23945565762544666), np.float64(0.2858167119758861)]
				20	lossesFlipped	0.333831	447	1339	[np.float64(0.3100946273878605), np.float64(0.361019788399582)]
				25	lossesFlipped	0.385362	516	1339	[np.float64(0.36084846782749797), np.float64(0.41248451768657496)]
