pos	mean	lo	hi	n	clusters	block	decile
0	1	1	1	9023	9023	pos_player	
1	0.331265	0.322957	0.341023	9023	9023	pos_player	
2	0.356201	0.345333	0.365072	9023	9023	pos_player	
3	0.287598	0.278458	0.297995	9023	9023	pos_player	
4	0.289704	0.281429	0.298454	9023	9023	pos_player	
5	0.263992	0.253547	0.272907	9023	9023	pos_player	
6	0.280616	0.271679	0.290191	9023	9023	pos_player	
7	0.273967	0.265496	0.282782	9023	9023	pos_player	
8	0.276405	0.268215	0.284951	9023	9023	pos_player	
9	0.271196	0.262626	0.281132	9023	9023	pos_player	
10	0.268979	0.2608	0.277819	9023	9023	pos_player	
11	0.279175	0.271242	0.28849	9023	9023	pos_player	
12	0.27574	0.265837	0.284535	9023	9023	pos_player	
13	0.273302	0.263473	0.282352	9023	9023	pos_player	
14	0.266984	0.257036	0.276646	9023	9023	pos_player	
15	0.271417	0.261325	0.280827	9023	9023	pos_player	
16	0.269866	0.260863	0.279228	9023	9023	pos_player	
17	0.274964	0.266023	0.28499	9023	9023	pos_player	
18	0.258229	0.250027	0.266474	9023	9023	pos_player	
19	0.272526	0.263332	0.28196	9023	9023	pos_player	
20	0.269201	0.261072	0.278459	9023	9023	pos_player	
21	0.275186	0.266788	0.284221	9023	9023	pos_player	
22	0.271639	0.262294	0.279763	9023	9023	pos_player	
23	0.275247	0.266222	0.285017	9021	9021	pos_player	
24	0.271699	0.260315	0.280435	9021	9021	pos_player	
25	0.271699	0.261863	0.28111	9021	9021	pos_player	
26	0.275468	0.267298	0.28399	9021	9021	pos_player	
27	0.275357	0.265422	0.284431	9021	9021	pos_player	
28	0.266711	0.2581	0.275745	9021	9021	pos_player	
29	0.269593	0.26074	0.277794	9021	9021	pos_player	
30	0.269704	0.260668	0.278853	9021	9021	pos_player	
31	0.273473	0.264116	0.281361	9021	9021	pos_player	
32	0.285556	0.27661	0.294703	9021	9021	pos_player	
33	0.273695	0.26566	0.282746	9021	9021	pos_player	
34	0.274914	0.265308	0.282884	9021	9021	pos_player	
35	0.272949	0.263972	0.281882	9020	9020	pos_player	
36	0.285588	0.275855	0.296379	9020	9020	pos_player	
37	0.282705	0.273328	0.291885	9020	9020	pos_player	
38	0.281596	0.272274	0.291666	9020	9020	pos_player	
39	0.281375	0.272037	0.290219	9020	9020	pos_player	
40	0.282799	0.273742	0.292157	9017	9017	pos_player	
41	0.287252	0.278398	0.296161	9013	9013	pos_player	
42	0.280484	0.271887	0.289934	9013	9013	pos_player	
43	0.288124	0.27843	0.297282	9010	9010	pos_player	
44	0.29144	0.282975	0.30085	9007	9007	pos_player	
45	0.295601	0.287947	0.304914	9002	9002	pos_player	
46	0.292718	0.283228	0.301492	8995	8995	pos_player	
47	0.293359	0.284067	0.302758	8989	8989	pos_player	
48	0.29343	0.284043	0.303468	8980	8980	pos_player	
49	0.285428	0.276201	0.295407	8969	8969	pos_player	
50	0.293132	0.284759	0.302449	8955	8955	pos_player	
51	0.294124	0.284368	0.302364	8935	8935	pos_player	
52	0.291928	0.283342	0.300748	8920	8920	pos_player	
53	0.285474	0.276245	0.294909	8901	8901	pos_player	
54	0.294051	0.28509	0.30351	8876	8876	pos_player	
55	0.300836	0.291579	0.309794	8852	8852	pos_player	
56	0.291099	0.2809	0.300058	8808	8808	pos_player	
57	0.296237	0.286513	0.305735	8770	8770	pos_player	
58	0.303082	0.293688	0.313081	8727	8727	pos_player	
59	0.287657	0.279172	0.296671	8677	8677	pos_player	
60	0.302841	0.293189	0.311498	8625	8625	pos_player	
61	0.300784	0.291666	0.309454	8551	8551	pos_player	
62	0.2912	0.280587	0.300167	8489	8489	pos_player	
63	0.294502	0.284105	0.303979	8421	8421	pos_player	
64	0.296146	0.287058	0.305783	8354	8354	pos_player	
