group	from	to	p
player	3	3	0.201362
player	3	4	0.442915
player	3	5	0.244101
player	3	6	0.0851444
player	3	7+	0.0264778
player	4	3	0.510236
player	4	4	0.195171
player	4	5	0.204416
player	4	6	0.0702917
player	4	7+	0.0198851
player	5	3	0.171219
player	5	4	0.551052
player	5	5	0.148981
player	5	6	0.102656
player	5	7+	0.0260916
player	6	3	0.14829
player	6	4	0.226044
player	6	5	0.429616
player	6	6	0.118098
player	6	7+	0.0779521
player	7+	3	0.113333
player	7+	4	0.17678
player	7+	5	0.150417
player	7+	6	0.383561
player	7+	7+	0.175909
strong	3	3	0.172411
strong	3	4	0.398805
strong	3	5	0.260787
strong	3	6	0.124624
strong	3	7+	0.0433718
strong	4	3	0.385172
strong	4	4	0.190419
strong	4	5	0.291572
strong	4	6	0.101178
strong	4	7+	0.0316587
strong	5	3	0.134698
strong	5	4	0.465368
strong	5	5	0.180855
strong	5	6	0.174359
strong	5	7+	0.0447198
strong	6	3	0.113415
strong	6	4	0.195061
strong	6	5	0.429283
strong	6	6	0.143202
strong	6	7+	0.11904
strong	7+	3	0.0994805
strong	7+	4	0.156623
strong	7+	5	0.145844
strong	7+	6	0.384675
strong	7+	7+	0.213377
peer	3	3	0.170662
peer	3	4	0.384251
peer	3	5	0.301859
peer	3	6	0.113454
peer	3	7+	0.0297747
peer	4	3	0.55694
peer	4	4	0.17047
peer	4	5	0.17791
peer	4	6	0.075351
peer	4	7+	0.0193291
peer	5	3	0.119728
peer	5	4	0.640532
peer	5	5	0.12601
peer	5	6	0.087193
peer	5	7+	0.0265359
peer	6	3	0.111515
peer	6	4	0.221487
peer	6	5	0.528253
peer	6	6	0.0840253
peer	6	7+	0.0547195
peer	7+	3	0.0778317
peer	7+	4	0.161798
peer	7+	5	0.17068
peer	7+	6	0.431462
peer	7+	7+	0.158227
