pos	mean	lo	hi	n	clusters	block
0	0.229803	0.22872	0.230699	6805	6805	4x4_player
1	0.286931	0.285839	0.288056	6805	6805	4x4_player
2	0.341449	0.340245	0.342811	6805	6805	4x4_player
3	0.379647	0.378036	0.381311	6805	6805	4x4_player
4	0.412711	0.411117	0.41472	6805	6805	4x4_player
5	0.439199	0.437351	0.441224	6805	6805	4x4_player
6	0.46396	0.462158	0.465876	6805	6805	4x4_player
7	0.486214	0.484296	0.48836	6805	6805	4x4_player
8	0.506852	0.504957	0.509024	6805	6805	4x4_player
9	0.525873	0.523965	0.52807	6805	6805	4x4_player
10	0.543966	0.541766	0.546388	6805	6805	4x4_player
11	0.561168	0.558907	0.563718	6805	6805	4x4_player
12	0.576497	0.574168	0.578998	6805	6805	4x4_player
13	0.591725	0.589374	0.594101	6805	6805	4x4_player
14	0.606218	0.603785	0.608639	6805	6805	4x4_player
15	0.620242	0.61782	0.622786	6805	6805	4x4_player
16	0.633404	0.631023	0.636125	6805	6805	4x4_player
17	0.646051	0.643595	0.648619	6805	6805	4x4_player
18	0.65799	0.655614	0.660467	6805	6805	4x4_player
19	0.669003	0.666583	0.671603	6805	6805	4x4_player
20	0.680088	0.677649	0.682612	6805	6805	4x4_player
21	0.691082	0.688775	0.69374	6805	6805	4x4_player
22	0.700983	0.698734	0.703592	6805	6805	4x4_player
23	0.710437	0.708172	0.712973	6804	6804	4x4_player
24	0.720064	0.717539	0.722753	6804	6804	4x4_player
25	0.728928	0.726541	0.731493	6804	6804	4x4_player
26	0.737664	0.735076	0.740314	6804	6804	4x4_player
27	0.74594	0.743444	0.748409	6804	6804	4x4_player
28	0.754428	0.751989	0.757067	6804	6804	4x4_player
29	0.762658	0.760046	0.765362	6804	6804	4x4_player
30	0.77019	0.767575	0.772826	6804	6804	4x4_player
31	0.777686	0.775186	0.780227	6804	6804	4x4_player
32	0.785191	0.782692	0.787832	6804	6804	4x4_player
33	0.792438	0.790016	0.795107	6804	6804	4x4_player
34	0.798776	0.796198	0.801249	6804	6804	4x4_player
35	0.805279	0.802835	0.807896	6803	6803	4x4_player
36	0.811811	0.809351	0.814465	6803	6803	4x4_player
37	0.817939	0.81545	0.820601	6803	6803	4x4_player
38	0.823938	0.821561	0.826393	6803	6803	4x4_player
39	0.82957	0.827272	0.831978	6803	6803	4x4_player
40	0.834504	0.832275	0.836968	6800	6800	4x4_player
41	0.839695	0.837397	0.842139	6798	6798	4x4_player
42	0.844908	0.842558	0.847343	6798	6798	4x4_player
43	0.849752	0.847428	0.852208	6795	6795	4x4_player
44	0.854654	0.852396	0.856993	6792	6792	4x4_player
45	0.859189	0.856851	0.861446	6787	6787	4x4_player
46	0.863377	0.86113	0.865726	6781	6781	4x4_player
47	0.867752	0.865488	0.869954	6778	6778	4x4_player
48	0.871621	0.869408	0.873862	6770	6770	4x4_player
49	0.875129	0.872999	0.877354	6759	6759	4x4_player
50	0.87878	0.876684	0.881056	6746	6746	4x4_player
51	0.882487	0.8804	0.884742	6728	6728	4x4_player
52	0.885977	0.883877	0.888317	6713	6713	4x4_player
53	0.888753	0.886738	0.890997	6694	6694	4x4_player
54	0.892065	0.890234	0.894273	6673	6673	4x4_player
55	0.895248	0.893328	0.897397	6652	6652	4x4_player
56	0.898192	0.896439	0.900193	6608	6608	4x4_player
57	0.900985	0.899331	0.903046	6571	6571	4x4_player
58	0.903483	0.901752	0.905592	6528	6528	4x4_player
59	0.905965	0.90427	0.908041	6479	6479	4x4_player
0	0.24205	0.240805	0.243445	6777	6777	4x4_opponent
1	0.312306	0.310707	0.313761	6776	6776	4x4_opponent
2	0.3706	0.369077	0.372221	6775	6775	4x4_opponent
3	0.414788	0.412885	0.416602	6775	6775	4x4_opponent
4	0.450841	0.448728	0.452764	6774	6774	4x4_opponent
5	0.481316	0.479018	0.483421	6774	6774	4x4_opponent
6	0.508277	0.505902	0.510475	6773	6773	4x4_opponent
7	0.532196	0.529795	0.534348	6773	6773	4x4_opponent
8	0.553263	0.550706	0.55552	6773	6773	4x4_opponent
9	0.573418	0.570824	0.5761	6772	6772	4x4_opponent
10	0.591936	0.589418	0.594643	6771	6771	4x4_opponent
11	0.608727	0.605968	0.611346	6771	6771	4x4_opponent
12	0.624077	0.621364	0.626642	6771	6771	4x4_opponent
13	0.638002	0.635251	0.640607	6768	6768	4x4_opponent
14	0.652685	0.649929	0.655448	6768	6768	4x4_opponent
