grid	cell	row	col	playerUse	opponentUse	availability	playerOverAvailability
4x4	0	0	0	0.0263595	0.0268629	0.0281918	0.935005
4x4	1	0	1	0.0580021	0.0583622	0.0564835	1.02688
4x4	2	0	2	0.0579715	0.0580623	0.0563069	1.02956
4x4	3	0	3	0.0266304	0.0273047	0.028219	0.943705
4x4	4	1	0	0.0559182	0.0565426	0.0563389	0.992533
4x4	5	1	1	0.117281	0.116809	0.109614	1.06995
4x4	6	1	2	0.116695	0.116407	0.109746	1.06332
4x4	7	1	3	0.0557105	0.0554579	0.0562271	0.990812
4x4	8	2	0	0.0538992	0.0545841	0.0561434	0.960026
4x4	9	2	1	0.112943	0.112751	0.109828	1.02837
4x4	10	2	2	0.1121	0.11087	0.109208	1.02648
4x4	11	2	3	0.0530444	0.0530828	0.0559074	0.94879
4x4	12	3	0	0.0248627	0.0250494	0.0280901	0.885106
4x4	13	3	1	0.052593	0.0523378	0.0561761	0.936217
4x4	14	3	2	0.0522472	0.0518231	0.0558507	0.935479
4x4	15	3	3	0.0237423	0.0236935	0.0276702	0.858049
5x5	0	0	0	0.00947073	0.0104645	0.0120478	0.786097
5x5	1	0	1	0.0251472	0.0260233	0.0265937	0.945605
5x5	2	0	2	0.0323062	0.0331625	0.0321452	1.00501
5x5	3	0	3	0.0259028	0.0266722	0.0266555	0.971761
5x5	4	0	4	0.0104644	0.0109135	0.0121302	0.862678
5x5	5	1	0	0.0240355	0.024342	0.0261117	0.920489
5x5	6	1	1	0.0622231	0.0623638	0.0593286	1.04879
5x5	7	1	2	0.0789391	0.0791713	0.0729793	1.08167
5x5	8	1	3	0.0618093	0.0616669	0.058781	1.05152
5x5	9	1	4	0.0249288	0.0248564	0.0261492	0.953328
5x5	10	2	0	0.0310635	0.031003	0.0323384	0.960577
5x5	11	2	1	0.0770347	0.077428	0.0726294	1.06065
5x5	12	2	2	0.0984211	0.0983827	0.0896743	1.09754
5x5	13	2	3	0.0756774	0.0747634	0.0715422	1.0578
5x5	14	2	4	0.0300818	0.0296198	0.0312585	0.962356
5x5	15	3	0	0.0242627	0.0242473	0.0261792	0.926792
5x5	16	3	1	0.0595423	0.0596196	0.0594189	1.00208
5x5	17	3	2	0.0743637	0.0739566	0.0721482	1.03071
5x5	18	3	3	0.0575593	0.0565878	0.0582774	0.987677
5x5	19	3	4	0.0231554	0.0224817	0.025527	0.907094
5x5	20	4	0	0.00994683	0.00981793	0.0123653	0.804416
5x5	21	4	1	0.0237342	0.023727	0.0266467	0.890698
5x5	22	4	2	0.0286568	0.0282284	0.0318003	0.901149
5x5	23	4	3	0.0221246	0.0215651	0.025433	0.869916
5x5	24	4	4	0.0091486	0.00893517	0.0118389	0.772756
