q	mean	lo	hi	n	clusters	block
0	0.0439745	0.0424017	0.0457158	85868	8569	player
1	0.0662855	0.0640233	0.0683624	85871	8693	player
2	0.0829568	0.0805365	0.0853222	85876	8788	player
3	0.103829	0.101045	0.106137	85862	8804	player
4	0.117407	0.114592	0.120063	85915	8834	player
5	0.135373	0.132541	0.138751	85815	8747	player
6	0.149889	0.146929	0.153157	85877	8473	player
7	0.164136	0.16016	0.168169	85868	7591	player
8	0.158045	0.15416	0.162375	85944	5525	player
9	0.182754	0.178596	0.187228	85782	2621	player
0	0.0713179	0.0687056	0.074145	85855	8568	opponent
1	0.089736	0.0871851	0.0921283	85863	8692	opponent
2	0.101428	0.0991871	0.103876	85864	8787	opponent
3	0.115209	0.112193	0.118034	85853	8803	opponent
4	0.124831	0.121821	0.127714	85908	8833	opponent
5	0.140009	0.137165	0.143079	85809	8746	opponent
6	0.151087	0.147462	0.154413	85871	8472	opponent
7	0.159221	0.155451	0.162597	85868	7591	opponent
8	0.152297	0.147982	0.156564	85944	5525	opponent
9	0.166853	0.162585	0.171622	85782	2621	opponent
