b	mean	lo	hi	n	clusters	block
0	1.7311	1.71795	1.74322	17023	6343	travel_player
5	1.85845	1.84583	1.87129	20843	6825	travel_player
10	1.91274	1.90094	1.92457	21385	6914	travel_player
15	1.93234	1.91918	1.94484	21979	7034	travel_player
20	1.95988	1.94728	1.97276	22468	7092	travel_player
25	1.98082	1.97013	1.99414	22935	7195	travel_player
30	2.0021	1.98954	2.01409	23247	7268	travel_player
35	2.00986	1.99625	2.02262	23486	7351	travel_player
40	2.02342	2.01058	2.03642	24043	7452	travel_player
45	2.032	2.02025	2.04435	24038	7464	travel_player
50	2.02992	2.01757	2.04291	24070	7491	travel_player
55	2.0322	2.01985	2.04655	23819	7403	travel_player
0	1.87632	1.86075	1.89314	16489	6271	travel_opponent
5	1.97175	1.95805	1.98728	21504	6925	travel_opponent
10	1.99314	1.97883	2.00707	22043	7012	travel_opponent
15	2.00512	1.99087	2.01897	22217	7079	travel_opponent
20	2.01159	1.99857	2.02791	22653	7179	travel_opponent
25	2.0097	1.9973	2.02258	23067	7345	travel_opponent
30	2.02043	2.00673	2.03434	23230	7284	travel_opponent
35	2.02947	2.01463	2.04351	23569	7362	travel_opponent
40	2.01669	2.00294	2.03122	23434	7346	travel_opponent
45	2.01175	1.99664	2.02756	23299	7280	travel_opponent
50	2.00968	1.99446	2.02346	22896	7145	travel_opponent
55	2.01281	1.99896	2.02674	22411	6941	travel_opponent
0	0.449191	0.44466	0.454044	17023	6343	centroidDist_player
5	0.435251	0.431428	0.439303	20843	6825	centroidDist_player
10	0.44344	0.439075	0.447988	21385	6914	centroidDist_player
15	0.458014	0.453933	0.462727	21979	7034	centroidDist_player
20	0.471798	0.467381	0.476491	22468	7092	centroidDist_player
25	0.482095	0.477598	0.486335	22935	7195	centroidDist_player
30	0.494912	0.490461	0.499386	23247	7268	centroidDist_player
35	0.509478	0.504836	0.513978	23486	7351	centroidDist_player
40	0.515736	0.510752	0.520339	24043	7452	centroidDist_player
45	0.527761	0.522804	0.532789	24038	7464	centroidDist_player
50	0.53355	0.528506	0.538585	24070	7491	centroidDist_player
55	0.541495	0.535842	0.547366	23819	7403	centroidDist_player
0	0.46301	0.45707	0.468058	16489	6271	centroidDist_opponent
5	0.464159	0.460134	0.468569	21504	6925	centroidDist_opponent
10	0.4744	0.469511	0.478929	22043	7012	centroidDist_opponent
15	0.485982	0.481177	0.490807	22217	7079	centroidDist_opponent
20	0.492073	0.487331	0.496695	22653	7179	centroidDist_opponent
25	0.507871	0.502394	0.513063	23067	7345	centroidDist_opponent
30	0.515658	0.509971	0.521157	23230	7284	centroidDist_opponent
35	0.51605	0.511115	0.520772	23569	7362	centroidDist_opponent
40	0.523552	0.518806	0.529411	23434	7346	centroidDist_opponent
45	0.530768	0.525391	0.535495	23299	7280	centroidDist_opponent
50	0.52657	0.520713	0.531013	22896	7145	centroidDist_opponent
55	0.527391	0.521802	0.532739	22411	6941	centroidDist_opponent
