word	len	present	found	opp	beliefRaw	beliefWeighted
AAH	3	103	0	81.583	0.0112309	0.0110532
AAHED	5	16	0	12.6944	0.0383715	0.0394338
AAHS	4	38	0	29.5969	0.0264453	0.0272773
AAL	3	141	1	111.332	0.0151822	0.0169523
AALS	4	60	0	48.5492	0.0174646	0.0172141
AAS	3	199	0	156.958	0.00592167	0.00582664
ABA	3	46	2	34.4597	0.0639561	0.0793577
ABAC	4	19	0	13.8386	0.0475717	0.0530761
ABACI	5	10	0	6.94703	0.0552445	0.0648828
ABACS	5	11	0	7.641	0.0514722	0.0601923
ABAS	4	32	1	23.5047	0.057945	0.0715724
ABASE	5	22	1	15.0935	0.0683882	0.0925295
ABASER	6	12	0	8.40414	0.0393462	0.0493934
ABATE	5	17	1	12.3898	0.0849513	0.109965
ABATER	6	14	1	10.0443	0.092356	0.127516
ABATES	6	11	0	7.77537	0.0420824	0.0526645
ABB	3	21	3	16.5668	0.167605	0.206633
ABEAM	5	10	0	6.97784	0.0552445	0.0646591
ABED	4	81	3	61.47	0.048161	0.0604161
ABELE	5	16	0	11.5785	0.0383715	0.0426843
ABELIA	6	11	0	7.5116	0.0420824	0.0541694
ABER	4	120	1	89.0674	0.0170809	0.0205062
ABERS	5	46	0	34.3389	0.0151838	0.0159191
ABET	4	92	6	68.4277	0.0736843	0.0966215
ABETS	5	50	2	37.1976	0.051334	0.0658343
ABHOR	5	13	0	8.51296	0.0452874	0.0551801
ABID	4	59	2	44.5672	0.0490945	0.0608635
ABIDE	5	36	1	24.7177	0.0442378	0.0591469
ABIDER	6	22	0	14.7928	0.0238433	0.0302824
ABIDES	6	17	0	9.90106	0.029693	0.0430304
ABIES	5	40	2	27.8103	0.0630957	0.0865943
ABLATE	6	15	1	9.41981	0.0873312	0.134666
ABLE	4	91	45	67.0474	0.481622	0.656708
ABLED	5	27	8	19.388	0.285654	0.401836
ABLER	5	52	15	36.5112	0.283114	0.404936
ABLES	5	50	29	36.5793	0.554645	0.7675
ABLEST	6	24	1	12.9451	0.0586247	0.102291
ABLET	5	41	19	29.3146	0.442466	0.626025
ABLETS	6	21	9	12.8374	0.393977	0.652635
ABLINS	6	11	0	5.07996	0.0420824	0.0735431
ABLY	4	19	1	15.0786	0.0896176	0.105261
ABODE	5	17	1	12.6835	0.0849513	0.10776
ABOIL	5	12	1	8.98406	0.112101	0.14419
ABOON	5	11	0	8.48953	0.0514722	0.0553039
ABORD	5	18	8	12.8318	0.404431	0.579956
ABORDS	6	12	6	6.73018	0.429465	0.769308
ABORE	5	37	5	26.3064	0.141563	0.19734
ABORNE	6	12	1	4.74237	0.104366	0.232151
ABORT	5	32	16	22.6665	0.470022	0.673208
ABORTS	6	13	9	6.84854	0.586397	1
ABREAST	7	13	0	3.84227	0.0318572	0.0972316
ABRI	4	81	2	59.6463	0.0365038	0.046172
ABRIM	5	14	0	8.63507	0.0427208	0.0545441
ABRIN	5	36	2	23.5134	0.0694619	0.101202
ABRINS	6	16	1	9.02154	0.0828249	0.139659
ABRIS	5	42	0	27.4682	0.0165144	0.0196359
ABS	3	147	2	116.087	0.0211985	0.0247087
ABSENT	6	13	0	8.40324	0.0369441	0.0493978
ABUNE	5	10	0	7.09133	0.0552445	0.0638482
ABUSE	5	18	0	12.4487	0.0348259	0.0401062
ABUSER	6	10	0	6.23403	0.0452275	0.0628712
ABUT	4	22	0	17.474	0.0422432	0.0435695
ABY	3	40	0	29.7431	0.0272845	0.0288539
ABYE	4	12	0	8.04247	0.0674127	0.0813898
ABYS	4	12	0	9.02407	0.0674127	0.0746461
ACAI	4	55	1	42.8402	0.0356523	0.0412659
