word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
ERASES	6	52	0	31.5488	1400	6	0.0109271	0.0150301	52	14	0.269231	8.25226e-08	0.00162801	19600	RASES	branch miss	field
INNERS	6	35	0	25.3229	1400	6	0.0157671	0.0184905	35	12	0.342857	4.15043e-07	0.00330226	16800	INNER	branch miss	field
TRACERS	7	11	0	4.76711	1800	7	0.036264	0.0831307	11	7	0.636364	1.47008e-05	0.041431	12600	TRACER	branch miss	field
TEEND	5	65	0	45.6203	800	5	0.0109811	0.0121445	65	13	0.2	5.02168e-07	0.00330226	10400	TEEN	branch miss	field
CHINA	5	45	0	29.8632	800	5	0.015496	0.0181581	45	12	0.266667	8.68089e-07	0.00380625	9600	CHIN	branch miss	field
SERAC	5	154	0	115.126	800	5	0.00478162	0.00493509	154	11	0.0714286	1.1055e-05	0.0363488	8800	SERA	branch miss	field
LAREE	5	70	0	47.3298	800	5	0.0102356	0.0117233	70	10	0.142857	2.05932e-05	0.0451404	8000	LARE	branch miss	field
NEAP	4	108	0	79.0548	400	4	0.0100318	0.0108005	108	13	0.12037	9.64681e-07	0.00380625	5200		true gap	field
IMP	3	67	0	52.6923	100	3	0.0169195	0.0168447	67	10	0.149254	1.97972e-05	0.0451404	1000		true gap	field
SERACS	6	43	0	27.3578	1400	6	0.0130475	0.0171964	5	3	0.6	7.73713e-18	3.69951e-14	36120	SERA	branch miss	strong
IRONED	6	44	0	26.1523	1400	6	0.0127721	0.0179402	11	6	0.545455	8.57832e-16	1.36724e-12	33600	IRON	branch miss	strong
EPATER	6	29	0	18.8097	1400	6	0.0186888	0.0243569	5	4	0.8	5.36871e-21	5.1341e-17	32480	PATER	branch miss	strong
ATTONES	7	20	0	8.10852	1800	7	0.0223509	0.054549	6	5	0.833333	2.73511e-16	6.53897e-13	30000	ATTONE	branch miss	strong
INNERS	6	35	0	25.3229	1400	6	0.0157671	0.0184905	7	4	0.571429	1.32073e-13	1.40334e-10	28000	INNER	branch miss	strong
SIREES	6	41	0	23.8256	1400	6	0.0136355	0.0195743	7	3	0.428571	1.08503e-10	6.9174e-08	24600	SIRE	branch miss	strong
RELAND	6	33	0	22.9729	1400	6	0.0166339	0.0202502	8	4	0.5	1.16415e-10	6.958e-08	23100	ELAN	branch miss	strong
SERAC	5	154	0	115.126	800	5	0.00478162	0.00493509	27	5	0.185185	2.00943e-14	2.74517e-11	22814.8	SERA	branch miss	strong
TEEND	5	65	0	45.6203	800	5	0.0109811	0.0121445	14	6	0.428571	1.59414e-16	5.08159e-13	22285.7	TEEN	branch miss	strong
NONETS	6	34	0	22.3317	1400	6	0.0161889	0.0207901	7	3	0.428571	5.45389e-09	2.37071e-06	20400	NONE	branch miss	strong
RESIGN	6	42	0	25.4869	1400	6	0.013335	0.018379	9	3	0.333333	4.01945e-08	1.42363e-05	19600	SIGN	branch miss	strong
CHINA	5	45	0	29.8632	800	5	0.015496	0.0181581	13	7	0.538462	7.75096e-16	1.36724e-12	19384.6	CHIN	branch miss	strong
CADRE	5	59	0	41.8367	800	5	0.0120329	0.0131937	5	2	0.4	8.14561e-14	9.73706e-11	18880	CAD	branch miss	strong
ETATS	5	131	0	94.0212	800	5	0.00559841	0.00602026	17	3	0.176471	8.99423e-12	6.23968e-09	18494.1	TATS	branch miss	strong
ARENES	6	65	0	41.2432	1400	6	0.0088497	0.0116385	10	2	0.2	5.02168e-07	0.000126375	18200	ENES	branch miss	strong
RHONES	6	37	0	21.569	1400	6	0.0149862	0.0214709	9	3	0.333333	3.05227e-07	9.0395e-05	17266.7	HONES	branch miss	strong
IRADES	6	60	0	32.8017	1400	6	0.00954784	0.0144845	10	2	0.2	1.5325e-06	0.000348935	16800	RADE	branch miss	strong
ESTRIN	6	101	0	60.9845	1400	6	0.00579749	0.0079743	17	2	0.117647	3.23501e-06	0.000619423	16635.3	TRIN	branch miss	strong
AMIDE	5	55	0	36.2469	800	5	0.0128536	0.0151241	8	3	0.375	5.93473e-12	5.15944e-09	16500	AMI	branch miss	strong
ARTEL	5	122	0	81.0214	800	5	0.00599943	0.0069634	18	3	0.166667	2.1872e-10	1.23036e-07	16266.7	ART	branch miss	strong
NORTHS	6	29	0	16.7569	1400	6	0.0186888	0.0270632	5	2	0.4	3.68457e-07	9.78764e-05	16240	NOR	branch miss	strong
RESPOT	6	29	0	18.3153	1400	6	0.0186888	0.024958	5	2	0.4	3.68457e-07	9.78764e-05	16240	SPOT	branch miss	strong
TESLA	5	167	0	121.482	800	5	0.00441735	0.00468098	25	3	0.12	5.35311e-10	2.84399e-07	16032	TES	branch miss	strong
RESIST	6	51	0	33.03	1400	6	0.011128	0.0143894	9	2	0.222222	2.71414e-06	0.000576785	15866.7	SIST	branch miss	strong
NETHER	6	30	0	18.0417	1400	6	0.0181289	0.0253036	8	3	0.375	7.52316e-07	0.000184472	15750	ETHER	branch miss	strong
LAREES	6	43	0	27.3313	1400	6	0.0130475	0.0172121	8	2	0.25	4.24262e-06	0.000757619	15050	LARE	branch miss	strong
SILENT	6	59	0	29.2344	1400	6	0.0097009	0.0161538	11	2	0.181818	7.21339e-06	0.00116918	15018.2	SILE	branch miss	strong
IRONER	6	42	0	26.0937	1400	6	0.013335	0.017978	8	2	0.25	5.65683e-06	0.000949057	14700	IRON	branch miss	strong
ERASES	6	52	0	31.5488	1400	6	0.0109271	0.0150301	10	2	0.2	9.13439e-06	0.00138654	14560	RASES	branch miss	strong
HEREIN	6	38	0	23.1351	1400	6	0.014624	0.0201181	11	3	0.272727	5.55261e-06	0.000948208	14509.1	HERE	branch miss	strong
RHONE	5	59	0	40.2263	800	5	0.0120329	0.0136974	10	3	0.3	7.25746e-10	3.65279e-07	14160	HONE	branch miss	strong
RECOAT	6	35	0	19.606	1400	6	0.0157671	0.0234474	7	2	0.285714	7.68279e-06	0.00120443	14000	COAT	branch miss	strong
HEMES	5	29	0	21.3003	800	5	0.0230909	0.0248431	5	3	0.6	2.8823e-12	2.75635e-09	13920	HEM	branch miss	strong
BATON	5	30	0	19.6075	800	5	0.0224046	0.026793	7	4	0.571429	9.13475e-12	6.23968e-09	13714.3	BAT	branch miss	strong
OCHERS	6	24	0	15.9197	1400	6	0.0221016	0.0283477	5	2	0.4	4.73838e-06	0.000823875	13440	CHER	branch miss	strong
INANEST	7	22	0	7.12376	1800	7	0.020595	0.0606995	6	2	0.333333	0.000133657	0.0133142	13200	NANE	branch miss	strong
STERANE	7	51	0	19.3345	1800	7	0.0096278	0.0253115	7	1	0.142857	0.000385224	0.0323149	13114.3		true gap	strong
SEREIN	6	77	0	46.9928	1400	6	0.00752852	0.0102648	17	2	0.117647	6.52319e-05	0.00751581	12682.4	SERE	branch miss	strong
TENON	5	62	0	41.732	800	5	0.011483	0.0132253	12	3	0.25	1.7939e-08	6.86203e-06	12400	TEN	branch miss	strong
ITHER	5	104	0	72.3643	800	5	0.00700264	0.0077745	21	3	0.142857	1.09027e-07	3.47542e-05	11885.7	THE	branch miss	strong
ETAMINS	7	23	0	8.68407	1800	7	0.0198166	0.0514991	7	2	0.285714	0.000435567	0.0356011	11828.6	TAMIN	branch miss	strong
SERRAN	6	38	0	24.453	1400	6	0.014624	0.019105	9	2	0.222222	7.12049e-05	0.00810634	11822.2	SERRA	branch miss	strong
LINEAR	6	59	0	33.1256	1400	6	0.0097009	0.0143499	7	1	0.142857	0.000112238	0.0116666	11800	LINE	branch miss	strong
SERIAL	6	84	0	49.5085	1400	6	0.00692541	0.0097607	10	1	0.1	0.000143341	0.0141317	11760	RIAL	branch miss	strong
LAITH	5	51	0	33.7966	800	5	0.0137945	0.0161605	7	2	0.285714	3.52753e-08	1.29745e-05	11657.1	AIT	branch miss	strong
SLARTS	6	29	0	15.9832	1400	6	0.0186888	0.0282461	7	2	0.285714	5.78478e-05	0.00700251	11600	ARTS	branch miss	strong
ALIENS	6	58	0	31.0015	1400	6	0.00985895	0.0152814	7	1	0.142857	0.000130944	0.0133142	11600	LIENS	branch miss	strong
OCHER	5	36	0	26.9386	800	5	0.0190138	0.0199958	5	2	0.4	1.03144e-08	4.10987e-06	11520	CHER	branch miss	strong
RATLIN	6	41	0	24.7763	1400	6	0.0136355	0.0188719	5	1	0.2	0.000106338	0.011299	11480	RAT	branch miss	strong
EARNT	5	117	0	78.8987	800	5	0.00624807	0.00714621	25	3	0.12	3.19501e-07	9.0395e-05	11232	EARN	branch miss	strong
LOATHE	6	24	0	13.2733	1400	6	0.0221016	0.0333516	6	2	0.333333	5.94032e-05	0.00701324	11200	LOATH	branch miss	strong
EDITOR	6	55	0	32.1351	1400	6	0.0103656	0.0147698	7	1	0.142857	0.000207935	0.0193056	11000	EDIT	branch miss	strong
ARENE	5	116	0	78.3999	800	5	0.00630029	0.00719056	17	2	0.117647	4.94893e-07	0.000126375	10917.6	ARE	branch miss	strong
VALET	5	27	0	19.3243	800	5	0.0245979	0.0271496	6	3	0.5	7.45058e-09	3.09782e-06	10800	VALE	branch miss	strong
TARSEL	6	54	0	33.4857	1400	6	0.0105462	0.0142031	7	1	0.142857	0.00024259	0.0218858	10800	TARS	branch miss	strong
INANE	5	67	0	41.2681	800	5	0.0106703	0.0133673	10	2	0.2	3.21388e-07	9.0395e-05	10720	NANE	branch miss	strong
BLART	5	31	0	20.2278	800	5	0.0217579	0.026044	5	2	0.4	1.32644e-07	4.09186e-05	9920	LAR	branch miss	strong
IDEAL	5	99	0	65.3947	800	5	0.00734375	0.00857899	8	1	0.125	1.81467e-06	0.000403574	9900	DEAL	branch miss	strong
METRO	5	74	0	51.824	800	5	0.00970828	0.0107437	12	2	0.166667	1.38225e-06	0.000322402	9866.67	MET	branch miss	strong
ESNE	4	307	0	233.768	400	4	0.00362887	0.00373777	50	4	0.08	7.63595e-12	6.08521e-09	9824		true gap	strong
SCOTER	6	35	0	24.2011	1400	6	0.0157671	0.0192907	5	1	0.2	0.000405648	0.0337323	9800	SCOT	branch miss	strong
DEAIRS	6	55	0	34.3161	1400	6	0.0103656	0.0138758	8	1	0.125	0.000646313	0.0479123	9625	AIRS	branch miss	strong
SNIRTS	6	48	0	27.9697	1400	6	0.0117778	0.016842	7	1	0.142857	0.000611722	0.0460622	9600		true gap	strong
BATONS	6	17	0	9.62445	1400	6	0.029693	0.0440798	5	2	0.4	0.000169267	0.0163505	9520	TONS	branch miss	strong
NORTH	5	77	0	51.5174	800	5	0.00934713	0.0108053	13	2	0.153846	2.59178e-06	0.0005633	9476.92	NOR	branch miss	strong
SELAH	5	88	0	67.476	800	5	0.00822521	0.00832183	15	2	0.133333	3.39613e-06	0.000636808	9386.67	SEL	branch miss	strong
LAREE	5	70	0	47.3298	800	5	0.0102356	0.0117233	12	2	0.166667	2.86624e-06	0.000583189	9333.33	LARE	branch miss	strong
IDLER	5	74	0	48.7757	800	5	0.00970828	0.0113892	13	2	0.153846	4.2781e-06	0.000757619	9107.69		true gap	strong
DREAR	5	72	0	49.5747	800	5	0.00996496	0.0112126	19	3	0.157895	4.23038e-06	0.000757619	9094.74	REAR	branch miss	strong
PLATEN	6	22	0	12.4483	1400	6	0.0238433	0.0352936	7	2	0.285714	0.000609794	0.0460622	8800	PLATE	branch miss	strong
EROSE	5	173	0	125.839	800	5	0.00426731	0.00452139	32	2	0.0625	1.41589e-05	0.00202092	8650	ROSE	branch miss	strong
NEAPS	5	48	0	33.1831	800	5	0.0145958	0.0164427	9	2	0.222222	5.76853e-06	0.000951112	8533.33		true gap	strong
ANIMAS	6	18	0	8.40561	1400	6	0.0283042	0.0493862	6	2	0.333333	0.000676639	0.0492913	8400	ANI	branch miss	strong
ETNA	4	382	0	280.001	400	4	0.0029252	0.00312676	57	3	0.0526316	1.07207e-09	4.88198e-07	8042.11		true gap	strong
THORN	5	45	0	31.1518	800	5	0.015496	0.0174514	9	2	0.222222	1.22602e-05	0.00177643	8000	HORN	branch miss	strong
ROTLS	5	69	0	51.6247	800	5	0.0103765	0.0107836	14	2	0.142857	2.40254e-05	0.00328501	7885.71	ROT	branch miss	strong
ESNES	5	108	0	80.2723	800	5	0.00675175	0.00702684	11	1	0.0909091	3.38524e-05	0.00449626	7854.55		true gap	strong
REAIS	5	205	0	135.292	800	5	0.00361283	0.00420999	42	2	0.047619	4.531e-05	0.00577732	7809.52	AIS	branch miss	strong
TAMIS	5	71	0	46.9962	800	5	0.0100985	0.0118032	15	2	0.133333	3.86811e-05	0.00499875	7573.33	AMIS	branch miss	strong
ICON	4	104	0	83.3643	400	4	0.0104007	0.0102605	11	2	0.181818	8.63737e-10	4.12996e-07	7563.64	CON	branch miss	strong
VEINS	5	28	0	18.1314	800	5	0.0238206	0.0287617	9	3	0.333333	1.1734e-05	0.00172634	7466.67	INS	branch miss	strong
TRIAC	5	59	0	40.5422	800	5	0.0120329	0.0135956	13	2	0.153846	5.24216e-05	0.0065105	7261.54	RIA	branch miss	strong
SEGAR	5	80	0	56.0134	800	5	0.00901189	0.00996728	9	1	0.111111	8.0872e-05	0.00909858	7111.11	SEG	branch miss	strong
DERAY	5	44	0	32.5378	800	5	0.0158212	0.0167502	5	1	0.2	5.44452e-05	0.00667512	7040	ERA	branch miss	strong
MICAS	5	22	0	14.1574	800	5	0.0293938	0.0358539	8	3	0.375	3.23117e-05	0.00435207	6600	MIC	branch miss	strong
ICONS	5	49	0	35.4096	800	5	0.0143186	0.0154629	6	1	0.166667	0.000131862	0.0133142	6533.33	CONS	branch miss	strong
MADRE	5	40	0	26.9302	800	5	0.0172712	0.0200016	5	1	0.2	0.000132923	0.0133142	6400	MAD	branch miss	strong
MERER	5	39	0	27.243	800	5	0.0176762	0.0197874	5	1	0.2	0.000166153	0.0162135	6240	MERE	branch miss	strong
IOTA	4	257	0	192.626	400	4	0.00432197	0.00452457	33	2	0.0606061	1.05165e-07	3.46792e-05	6230.3		true gap	strong
TECTA	5	46	0	31.6047	800	5	0.0151838	0.0172159	6	1	0.166667	0.000227857	0.0207524	6133.33	TEC	branch miss	strong
IDLES	5	84	0	62.1896	800	5	0.0086006	0.00900763	11	1	0.0909091	0.000333438	0.0288553	6109.09		true gap	strong
TRONC	5	42	0	29.0275	800	5	0.0165144	0.0186478	11	2	0.181818	0.000218621	0.0201027	6109.09	TRON	branch miss	strong
GENRE	5	38	0	24.297	800	5	0.0181007	0.0220076	10	2	0.2	0.000207692	0.0193056	6080	GEN	branch miss	strong
DONNA	5	19	0	13.2399	800	5	0.033288	0.0380183	5	2	0.4	6.0936e-05	0.00710647	6080	DON	branch miss	strong
ETNAS	5	172	0	115.312	800	5	0.0042916	0.00492728	23	1	0.0434783	0.000478094	0.0381001	5982.61	NAS	branch miss	strong
TUIS	4	89	0	70.521	400	4	0.0120642	0.0120572	12	2	0.166667	8.97158e-08	3.06412e-05	5933.33	TUI	branch miss	strong
RODEO	5	37	0	26.4325	800	5	0.018546	0.0203523	5	1	0.2	0.000259615	0.0232028	5920	RODE	branch miss	strong
SEWAR	5	44	0	33.1634	800	5	0.0158212	0.0164519	6	1	0.166667	0.000328114	0.0288553	5866.67	SEW	branch miss	strong
ELINT	5	117	0	74.5279	800	5	0.00624807	0.00755458	16	1	0.0625	0.000525581	0.0411978	5850	LINT	branch miss	strong
ITEMS	5	73	0	54.9709	800	5	0.00983495	0.0101498	10	1	0.1	0.000456776	0.0367071	5840	TEMS	branch miss	strong
DEASH	5	73	0	56.8509	800	5	0.00983495	0.00982533	10	1	0.1	0.000456776	0.0367071	5840	EAS	branch miss	strong
HEIDS	5	51	0	34.9939	800	5	0.0137945	0.0156369	7	1	0.142857	0.000385224	0.0323149	5828.57		true gap	strong
DEAIR	5	115	0	80.1928	800	5	0.0063534	0.00703364	16	1	0.0625	0.000597994	0.0460622	5750	AIR	branch miss	strong
GORSE	5	63	0	45.0659	800	5	0.0113107	0.0122877	9	1	0.111111	0.000598951	0.0460622	5600	GORS	branch miss	strong
RAPHE	5	33	0	25.4992	800	5	0.0205704	0.0210441	5	1	0.2	0.000633825	0.0473537	5280	RAP	branch miss	strong
TALC	4	108	0	79.7057	400	4	0.0100318	0.0107154	18	2	0.111111	2.98901e-06	0.000595498	4800		true gap	strong
SUBER	5	18	0	12.1952	800	5	0.0348259	0.0408244	6	2	0.333333	0.000676639	0.0492913	4800	SUB	branch miss	strong
