word	k	n	len	missesAfterLastFind	pts	forgone
SERAL	2.0	752	5	685	800	548000
STRAE	2.0	938	5	528	800	422400
SERAC	1.0	529	5	520	800	416000
NARIS	1.0	491	5	465	800	372000
SNIRT	1.0	476	5	439	800	351200
ARTEL	2.0	456	5	433	800	346400
ITAS	2.0	1315	4	851	400	340400
TENIAS	1.0	286	6	243	1400	340200
SEINER	1.0	280	6	231	1400	323400
REAIS	1.0	666	5	393	800	314400
TETRA	1.0	406	5	389	800	311200
TELIA	1.0	392	5	380	800	304000
ARTELS	2.0	224	6	213	1400	298200
EINE	2.0	915	4	706	400	282400
TRISTE	2.0	212	6	195	1400	273000
ARSENO	1.0	264	6	189	1400	264600
TETRAS	1.0	188	6	179	1400	250600
SIETH	1.0	313	5	306	800	244800
SONERI	1.0	216	6	174	1400	243600
SATEM	1.0	327	5	301	800	240800
LIANE	1.0	351	5	278	800	222400
TENIA	2.0	652	5	273	800	218400
REITER	1.0	161	6	153	1400	214200
AREIC	1.0	267	5	259	800	207200
TREMA	2.0	258	5	246	800	196800
TERAI	2.0	888	5	240	800	192000
INSTAR	1.0	261	6	135	1400	189000
REATA	2.0	407	5	228	800	182400
ONSETS	1.0	196	6	129	1400	180600
INIA	1.0	459	4	450	400	180000
DOEST	2.0	300	5	224	800	179200
LAREES	1.0	153	6	128	1400	179200
ERODES	1.0	129	6	127	1400	177800
EIDER	1.0	299	5	222	800	177600
TESTIS	1.0	144	6	126	1400	176400
RIDENT	1.0	134	6	126	1400	176400
ARENITE	1.0	151	7	97	1800	174600
STREEL	2.0	147	6	124	1400	173600
EOAN	1.0	558	4	431	400	172400
OMER	1.0	464	4	430	400	172000
ORLES	1.0	269	5	211	800	168800
LARNT	1.0	222	5	211	800	168800
ETEN	1.0	800	4	404	400	161600
LAREE	1.0	234	5	201	800	160800
OSIER	1.0	520	5	196	800	156800
ELAINS	1.0	152	6	112	1400	156800
SERAIS	1.0	284	6	112	1400	156800
ANESTRI	1.0	155	7	87	1800	156600
REATAS	1.0	201	6	110	1400	154000
ATOC	1.0	394	4	384	400	153600
TRESTS	1.0	127	6	109	1400	152600
TERAIS	1.0	424	6	108	1400	151200
ALIAS	1.0	211	5	185	800	148000
OARIER	1.0	111	6	105	1400	147000
HALSER	2.0	115	6	105	1400	147000
EROTIC	1.0	109	6	105	1400	147000
ETATS	1.0	498	5	182	800	145600
NEON	1.0	384	4	363	400	145200
GETAS	2.0	192	5	181	800	144800
TREASON	1.0	86	7	80	1800	144000
TERGA	1.0	180	5	179	800	143200
SETON	2.0	592	5	179	800	143200
TORAH	1.0	226	5	176	800	140800
DORISE	1.0	131	6	100	1400	140000
STELAI	1.0	268	6	100	1400	140000
NERAL	1.0	474	5	175	800	140000
SEMIE	1.0	174	5	172	800	137600
ENLIT	1.0	247	5	171	800	136800
RIANT	1.0	377	5	169	800	135200
IDEA	2.0	799	4	337	400	134800
EALING	1.0	99	6	96	1400	134400
ESILE	1.0	405	5	167	800	133600
ATLAS	1.0	196	5	167	800	133600
SHERO	1.0	309	5	166	800	132800
NEONS	1.0	177	5	165	800	132000
RESTEM	2.0	124	6	94	1400	131600
SEMINA	1.0	95	6	94	1400	131600
