pbi	mean	lo	hi	n	clusters	block
0	0.0621664	0.0543152	0.0721925	19110	1326	3
1	0.0890793	0.0778964	0.100715	12371	1181	3
2	0.109583	0.0953321	0.126469	9454	1092	3
3	0.142559	0.125911	0.157534	20118	1031	3
4	0.351648	0.332488	0.370484	208490	924	3
0	0.0557423	0.0531513	0.0588684	71095	5345	4
1	0.103315	0.0971101	0.110254	32880	3900	4
2	0.139491	0.130627	0.14695	22152	3351	4
3	0.173811	0.165742	0.182374	45049	3039	4
4	0.330977	0.322007	0.339536	230324	2402	4
0	0.0502448	0.0484287	0.052576	113564	11327	5
1	0.11614	0.109987	0.121511	35681	5425	5
2	0.166904	0.159226	0.174533	20371	3986	5
3	0.224195	0.215467	0.232089	34528	3282	5
4	0.385881	0.376385	0.396288	106336	2238	5
0	0.0536277	0.0517783	0.0551293	102130	17473	6
1	0.174707	0.168547	0.183663	19713	4852	6
2	0.240699	0.226233	0.250306	10698	3171	6
3	0.312356	0.301504	0.324552	16081	2367	6
4	0.426807	0.416583	0.438517	25590	1295	6
0	0.0503339	0.0489587	0.05177	92999	39297	7
1	0.229415	0.218103	0.240071	8125	3211	7
2	0.291165	0.274499	0.309073	3486	1466	7
3	0.367123	0.34691	0.384315	3729	828	7
4	0.453353	0.421812	0.479505	2058	268	7
