sizeB	mean	lo	hi	n	clusters	block	peer	stemB	tier
2	0.785289	0.782922	0.787698	108942	2862	sizeB			
3	0.632455	0.628861	0.636761	75441	2860	sizeB			
4-5	0.554739	0.551043	0.558599	127341	2851	sizeB			
6-9	0.44909	0.445236	0.452998	120958	2729	sizeB			
10+	0.356577	0.350238	0.363658	58683	1717	sizeB			
2						sizeB_peer	0.791606		
3						sizeB_peer	0.620072		
4-5						sizeB_peer	0.543528		
6-9						sizeB_peer	0.433024		
10+						sizeB_peer	0.329632		
	0.535174	0.531708	0.538208	371429	2862	stemB		4	
	0.649268	0.644317	0.654029	94086	2844	stemB		5	
	0.74166	0.734695	0.749486	22122	2317	stemB		6	
	0.771996	0.755329	0.788607	3728	868	stemB		7	
						stemB_peer	0.523866	4	
						stemB_peer	0.64146	5	
						stemB_peer	0.712373	6	
						stemB_peer	0.737482	7	
	0.665733	0.643369	0.686548	4996	77	tier			casual
	0.569079	0.565096	0.572405	457759	2680	tier			goodCasual
	0.535617	0.524846	0.548536	28610	105	tier			spam
						tier_peer	0.650417		casual
						tier_peer	0.556064		goodCasual
						tier_peer	0.537103		spam
