affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-S	85062	64624	1.17918e+07	0.759728	79513	59105	0.743338	1	1	-1.08099e+06
S-	22552	11310	8.1658e+06	0.501508	19203	10162	0.529188	8.48705e-09	1.79289e-06	474583
RE-	6310	2086	5.434e+06	0.330586	5481	1358	0.247765	1	1	-682017
-E	34098	25568	4.5034e+06	0.749839	31086	23537	0.757158	0.0151918	0.180804	129250
-T	18214	10920	4.4454e+06	0.599539	16263	9464	0.581934	0.999549	1	-177135
T-	11647	5410	4.2756e+06	0.464497	9478	4513	0.476155	0.045651	0.311078	94490.5
A-	7422	1461	4.2652e+06	0.196847	6807	1246	0.183047	0.98192	1	-75501.7
-ED	11685	7664	4.1802e+06	0.655884	11081	6751	0.609241	1	1	-615505
-ES	16800	12509	4.0588e+06	0.744583	15308	11203	0.73184	0.995275	1	-203804
-D	16176	10145	3.7372e+06	0.627164	14943	8828	0.590778	1	1	-434435
-ER	13484	10277	3.3516e+06	0.762163	12744	9651	0.757298	0.821678	1	-71915.6
-A	7950	1487	3.2992e+06	0.187044	7039	1424	0.202301	0.00922121	0.132067	61936
E-	4699	534	2.9e+06	0.113641	3993	570	0.14275	2.43801e-05	0.00187284	96448.5
-TS	6721	3842	2.6656e+06	0.571641	6070	3508	0.577924	0.236466	0.677333	38759.1
-N	7987	3800	2.4332e+06	0.475773	7180	3431	0.477855	0.39885	0.884589	9216.28
C-	5917	2864	2.4036e+06	0.484029	4774	2404	0.503561	0.0223121	0.213891	88612.3
DE-	2429	505	2.3294e+06	0.207904	2090	384	0.183732	0.97923	1	-71415
-R	14325	11096	2.1608e+06	0.77459	13784	10612	0.769878	0.826824	1	-53028
-AS	2756	495	2.0604e+06	0.179608	2424	450	0.185644	0.287322	0.75871	15153.8
-O	4548	788	2.0432e+06	0.173263	4131	689	0.166788	0.788638	1	-15870.9
-Y	3195	430	1.9918e+06	0.134585	2971	439	0.147762	0.0686659	0.374155	30690.5
-IES	2007	739	1.942e+06	0.368211	1752	349	0.199201	1	1	-527684
-I	5232	1288	1.9284e+06	0.246177	4583	903	0.197033	1	1	-125388
-ERS	4785	3636	1.7938e+06	0.759875	4585	3637	0.793239	5.36382e-05	0.00335624	253641
-IER	1695	601	1.7536e+06	0.354572	1522	330	0.21682	1	1	-381271
-ING	2963	1892	1.7406e+06	0.638542	2511	1466	0.583831	0.999983	1	-267219
G-	3872	1496	1.7292e+06	0.386364	3127	1227	0.392389	0.303619	0.777734	16762.2
-ST	2174	608	1.7232e+06	0.279669	2046	574	0.280547	0.474675	0.952733	2162.93
SE-	1871	222	1.716e+06	0.118653	1607	209	0.130056	0.15445	0.534877	21989.3
IN-	1305	74	1.7146e+06	0.056705	1225	65	0.0530612	0.656144	1	-6639.65
P-	4272	2152	1.6974e+06	0.503745	3249	1560	0.480148	0.9787	1	-75847.3
-IS	2306	387	1.6874e+06	0.167823	2015	295	0.146402	0.972992	1	-43561.9
D-	4180	1838	1.665e+06	0.439713	3252	1397	0.429582	0.808917	1	-29499.8
ST-	2716	1239	1.6582e+06	0.456186	1944	921	0.473765	0.117682	0.48679	52873.2
-RS	5525	4138	1.5748e+06	0.748959	5267	4062	0.771217	0.00340958	0.0702707	152296
UN-	1175	97	1.5138e+06	0.0825532	1044	48	0.045977	0.999749	1	-59963
B-	3822	1902	1.51e+06	0.497645	3087	1505	0.487528	0.798486	1	-29660.6
-OS	1966	383	1.5018e+06	0.194812	1716	309	0.18007	0.873322	1	-27534.9
-EST	1254	305	1.4822e+06	0.243222	1083	221	0.204063	0.988099	1	-77080.4
-AL	1795	312	1.4786e+06	0.173816	1646	227	0.13791	0.998103	1	-64350.9
-H	4280	1326	1.432e+06	0.309813	3631	1324	0.364638	1.31375e-07	1.8502e-05	109156
-EN	1868	453	1.4246e+06	0.242505	1698	313	0.184335	0.999988	1	-109501
O-	2529	331	1.4222e+06	0.130882	2180	236	0.108257	0.991315	1	-37136.5
-NS	2826	1445	1.3734e+06	0.511323	2484	1289	0.518921	0.290222	0.761608	20922.5
-SE	3090	1485	1.3656e+06	0.480583	2877	1362	0.47341	0.710311	1	-18607.5
-L	4909	2584	1.3482e+06	0.52638	4503	2291	0.508772	0.956161	1	-45890.5
EN-	993	76	1.3424e+06	0.0765358	996	81	0.0813253	0.346016	0.831185	6979.33
SA-	1527	249	1.3194e+06	0.163065	1377	204	0.148148	0.865682	1	-23625
-TER	2735	1879	1.278e+06	0.68702	2416	1688	0.698675	0.182831	0.587423	46246.2
-IE	1671	569	1.241e+06	0.340515	1486	301	0.202557	1	1	-270424
F-	2834	1187	1.24e+06	0.418843	2119	963	0.45446	0.00617077	0.108631	72872.4
R-	5688	3943	1.1588e+06	0.693214	3546	2343	0.660745	0.999433	1	-125461
I-	1932	158	1.1308e+06	0.0817805	1775	137	0.0771831	0.697307	1	-5555.55
AR-	1182	119	1.1228e+06	0.100677	934	58	0.0620985	0.999271	1	-48655
-IN	1625	511	1.0746e+06	0.314462	1454	428	0.29436	0.886759	1	-30598
-ET	1867	755	1.066e+06	0.404392	1631	493	0.302269	1	1	-189419
RA-	1313	325	1.0628e+06	0.247525	1288	301	0.233696	0.795276	1	-19457.5
-TED	1782	1062	1.044e+06	0.59596	1596	888	0.556391	0.989942	1	-101929
-ON	1206	131	1.034e+06	0.108624	1122	135	0.120321	0.187683	0.595141	13545.5
H-	3394	1766	1.0054e+06	0.52033	2071	1285	0.620473	2.37546e-13	2.00727e-10	216470
TA-	1399	357	1.0004e+06	0.255182	1283	324	0.252533	0.562557	1	-3582.71
-EL	1182	207	990400	0.175127	1112	191	0.171763	0.584205	1	-4048.62
N-	2917	1323	936200	0.453548	1871	793	0.423838	0.9783	1	-51714.4
-LS	1825	930	903600	0.509589	1620	805	0.496914	0.771161	1	-21791.7
-DS	2107	1141	876800	0.541528	1882	1029	0.546759	0.37028	0.85106	9590.7
-AR	1130	195	869400	0.172566	978	157	0.160532	0.769995	1	-12660.5
U-	1210	79	860400	0.0652893	1165	108	0.0927039	0.00657193	0.109894	24859.6
RO-	1171	350	844800	0.29889	969	234	0.241486	0.998498	1	-69010.8
-INE	729	174	824600	0.238683	650	158	0.243077	0.424458	0.909809	4746.18
TR-	1087	300	814600	0.275989	691	285	0.412446	1.19205e-09	3.35761e-07	154551
-TA	1081	125	811600	0.115634	903	122	0.135105	0.0954001	0.435746	17773.6
L-	4171	2887	805200	0.69216	2653	1745	0.657746	0.998501	1	-92787.6
SO-	996	263	793200	0.264056	822	160	0.194647	0.999755	1	-74281.5
-RE	1698	822	792400	0.484099	1513	791	0.522802	0.0142789	0.174155	57350.8
