affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-S	85062	64624	1.1792e+07	0.75973	79513	59105	0.74334	1	1	-1.081e+06
S-	22552	11310	8.1658e+06	0.50151	19203	10162	0.52919	8.4871e-09	1.7929e-06	4.7458e+05
RE-	6310	2086	5.434e+06	0.33059	5481	1358	0.24777	1	1	-6.8202e+05
-E	34098	25568	4.5034e+06	0.74984	31086	23537	0.75716	0.015192	0.1808	1.2925e+05
-T	18214	10920	4.4454e+06	0.59954	16263	9464	0.58193	0.99955	1	-1.7714e+05
T-	11647	5410	4.2756e+06	0.4645	9478	4513	0.47616	0.045651	0.31108	94491
A-	7422	1461	4.2652e+06	0.19685	6807	1246	0.18305	0.98192	1	-75502
-ED	11685	7664	4.1802e+06	0.65588	11081	6751	0.60924	1	1	-6.155e+05
-ES	16800	12509	4.0588e+06	0.74458	15308	11203	0.73184	0.99528	1	-2.038e+05
-D	16176	10145	3.7372e+06	0.62716	14943	8828	0.59078	1	1	-4.3443e+05
-ER	13484	10277	3.3516e+06	0.76216	12744	9651	0.7573	0.82168	1	-71916
-A	7950	1487	3.2992e+06	0.18704	7039	1424	0.2023	0.0092212	0.13207	61936
E-	4699	534	2.9e+06	0.11364	3993	570	0.14275	2.438e-05	0.0018728	96448
-TS	6721	3842	2.6656e+06	0.57164	6070	3508	0.57792	0.23647	0.67733	38759
-N	7987	3800	2.4332e+06	0.47577	7180	3431	0.47786	0.39885	0.88459	9216.3
C-	5917	2864	2.4036e+06	0.48403	4774	2404	0.50356	0.022312	0.21389	88612
DE-	2429	505	2.3294e+06	0.2079	2090	384	0.18373	0.97923	1	-71415
-R	14325	11096	2.1608e+06	0.77459	13784	10612	0.76988	0.82682	1	-53028
-AS	2756	495	2.0604e+06	0.17961	2424	450	0.18564	0.28732	0.75871	15154
-O	4548	788	2.0432e+06	0.17326	4131	689	0.16679	0.78864	1	-15871
-Y	3195	430	1.9918e+06	0.13459	2971	439	0.14776	0.068666	0.37415	30690
-IES	2007	739	1.942e+06	0.36821	1752	349	0.1992	1	1	-5.2768e+05
-I	5232	1288	1.9284e+06	0.24618	4583	903	0.19703	1	1	-1.2539e+05
-ERS	4785	3636	1.7938e+06	0.75987	4585	3637	0.79324	5.3638e-05	0.0033562	2.5364e+05
-IER	1695	601	1.7536e+06	0.35457	1522	330	0.21682	1	1	-3.8127e+05
-ING	2963	1892	1.7406e+06	0.63854	2511	1466	0.58383	0.99998	1	-2.6722e+05
G-	3872	1496	1.7292e+06	0.38636	3127	1227	0.39239	0.30362	0.77773	16762
-ST	2174	608	1.7232e+06	0.27967	2046	574	0.28055	0.47468	0.95273	2162.9
SE-	1871	222	1.716e+06	0.11865	1607	209	0.13006	0.15445	0.53488	21989
IN-	1305	74	1.7146e+06	0.056705	1225	65	0.053061	0.65614	1	-6639.7
P-	4272	2152	1.6974e+06	0.50375	3249	1560	0.48015	0.9787	1	-75847
-IS	2306	387	1.6874e+06	0.16782	2015	295	0.1464	0.97299	1	-43562
D-	4180	1838	1.665e+06	0.43971	3252	1397	0.42958	0.80892	1	-29500
ST-	2716	1239	1.6582e+06	0.45619	1944	921	0.47377	0.11768	0.48679	52873
-RS	5525	4138	1.5748e+06	0.74896	5267	4062	0.77122	0.0034096	0.070271	1.523e+05
UN-	1175	97	1.5138e+06	0.082553	1044	48	0.045977	0.99975	1	-59963
B-	3822	1902	1.51e+06	0.49765	3087	1505	0.48753	0.79849	1	-29661
-OS	1966	383	1.5018e+06	0.19481	1716	309	0.18007	0.87332	1	-27535
-EST	1254	305	1.4822e+06	0.24322	1083	221	0.20406	0.9881	1	-77080
-AL	1795	312	1.4786e+06	0.17382	1646	227	0.13791	0.9981	1	-64351
-H	4280	1326	1.432e+06	0.30981	3631	1324	0.36464	1.3138e-07	1.8502e-05	1.0916e+05
-EN	1868	453	1.4246e+06	0.24251	1698	313	0.18433	0.99999	1	-1.095e+05
O-	2529	331	1.4222e+06	0.13088	2180	236	0.10826	0.99132	1	-37136
-NS	2826	1445	1.3734e+06	0.51132	2484	1289	0.51892	0.29022	0.76161	20922
-SE	3090	1485	1.3656e+06	0.48058	2877	1362	0.47341	0.71031	1	-18607
-L	4909	2584	1.3482e+06	0.52638	4503	2291	0.50877	0.95616	1	-45890
EN-	993	76	1.3424e+06	0.076536	996	81	0.081325	0.34602	0.83118	6979.3
SA-	1527	249	1.3194e+06	0.16306	1377	204	0.14815	0.86568	1	-23625
-TER	2735	1879	1.278e+06	0.68702	2416	1688	0.69868	0.18283	0.58742	46246
-IE	1671	569	1.241e+06	0.34051	1486	301	0.20256	1	1	-2.7042e+05
F-	2834	1187	1.24e+06	0.41884	2119	963	0.45446	0.0061708	0.10863	72872
R-	5688	3943	1.1588e+06	0.69321	3546	2343	0.66074	0.99943	1	-1.2546e+05
I-	1932	158	1.1308e+06	0.081781	1775	137	0.077183	0.69731	1	-5555.5
AR-	1182	119	1.1228e+06	0.10068	934	58	0.062099	0.99927	1	-48655
-IN	1625	511	1.0746e+06	0.31446	1454	428	0.29436	0.88676	1	-30598
-ET	1867	755	1.066e+06	0.40439	1631	493	0.30227	1	1	-1.8942e+05
RA-	1313	325	1.0628e+06	0.24752	1288	301	0.2337	0.79528	1	-19458
-TED	1782	1062	1.044e+06	0.59596	1596	888	0.55639	0.98994	1	-1.0193e+05
-ON	1206	131	1.034e+06	0.10862	1122	135	0.12032	0.18768	0.59514	13545
H-	3394	1766	1.0054e+06	0.52033	2071	1285	0.62047	2.3755e-13	2.0073e-10	2.1647e+05
TA-	1399	357	1.0004e+06	0.25518	1283	324	0.25253	0.56256	1	-3582.7
-EL	1182	207	9.904e+05	0.17513	1112	191	0.17176	0.58421	1	-4048.6
N-	2917	1323	9.362e+05	0.45355	1871	793	0.42384	0.9783	1	-51714
-LS	1825	930	9.036e+05	0.50959	1620	805	0.49691	0.77116	1	-21792
