key	len	boards	present	found	foundByOpp	cellmateMissedPts	missedPts	completion
AERST	5	2845	13802	4603	4337	5760000	7359200	0.3335
AEST	4	3555	18607	5719	4471	3851600	5155200	0.3074
AELST	5	1531	6692	2137	2108	2556000	3644000	0.3193
AERS	4	3175	13513	3969	3140	2488000	3817600	0.2937
AELRS	5	1223	4433	1446	1366	1709600	2389600	0.3262
ARST	4	2293	9115	3176	2632	1684400	2375600	0.3484
EINST	5	1538	5203	1243	1110	1660000	3168000	0.2389
EIRST	5	1491	5000	1910	1752	1601600	2472000	0.382
EERST	5	1443	5246	1359	1289	1572000	3109600	0.2591
AEERST	6	810	2745	954	895	1442000	2507400	0.3475
EINRST	6	946	3090	740	833	1428000	3290000	0.2395
AELRST	6	865	2811	776	790	1388800	2849000	0.2761
ENST	4	2231	8776	2252	1981	1362400	2609600	0.2566
EORST	5	1179	4219	1453	1516	1353600	2212800	0.3444
AIRST	5	1322	4515	787	477	1295200	2982400	0.1743
AELR	4	1795	6720	2295	2128	1280000	1770000	0.3415
EORS	4	1942	7372	1712	1442	1248000	2264000	0.2322
AELT	4	1762	6279	2448	2209	1182400	1532400	0.3899
AERT	4	2361	7285	3352	3158	1179200	1573200	0.4601
DEORS	5	931	3477	1067	940	1172800	1928000	0.3069
AEPRS	5	790	3246	1045	1097	1157600	1760800	0.3219
AENS	4	2205	8093	1356	1276	1154800	2694800	0.1676
EINRS	5	1264	4071	975	1009	1148800	2476800	0.2395
AENST	5	1169	3674	1086	943	1142400	2070400	0.2956
AINST	5	1114	3627	863	764	1132800	2211200	0.2379
ACERS	5	725	2933	963	893	1130400	1576000	0.3283
AELS	4	1682	5944	2241	1995	1070400	1481200	0.377
EIRS	4	2146	7140	1492	1495	1020800	2259200	0.209
ENORS	5	1048	3600	547	731	996800	2442400	0.1519
ENOST	5	965	3074	872	1007	933600	1761600	0.2837
AESTT	5	769	2720	867	952	932800	1482400	0.3187
AIRS	4	1610	5674	1449	1078	915600	1690000	0.2554
ADER	4	1509	5276	1591	1537	911200	1474000	0.3016
ADERT	5	977	2912	911	971	876000	1600800	0.3128
DEIST	5	784	2648	707	616	856800	1552800	0.267
ADERS	5	899	2754	845	729	840000	1527200	0.3068
AELRT	5	957	2760	779	711	825600	1584800	0.2822
ERST	4	2608	7674	1711	1248	821600	2385200	0.223
AILR	4	1354	4906	1023	898	817200	1553200	0.2085
AENRS	5	1037	2989	810	829	780000	1743200	0.271
EENRST	6	552	1663	378	434	775600	1799000	0.2273
ADEST	5	837	2497	741	716	773600	1404800	0.2968
AET	3	4225	16076	4902	3622	766100	1117400	0.3049
ENORST	6	500	1465	477	548	736400	1383200	0.3256
EINRT	5	1111	3120	968	1044	728000	1721600	0.3103
EORSST	6	436	1431	266	297	704200	1631000	0.1859
ACERST	6	462	1387	579	606	684600	1131200	0.4174
EILST	5	731	2195	734	775	672000	1168800	0.3344
EILS	4	1543	4535	1038	776	666400	1398800	0.2289
ORST	4	1403	4409	1507	1243	652400	1160800	0.3418
EIRT	4	1550	4599	1978	1831	650400	1048400	0.4301
EENST	5	852	2608	690	779	644800	1534400	0.2646
AERSST	6	542	1422	470	539	642600	1332800	0.3305
AERRST	6	448	1363	455	442	639800	1271200	0.3338
AENT	4	1701	4508	1270	987	639200	1295200	0.2817
DEINS	5	750	2219	465	459	624000	1403200	0.2096
AERSTT	6	523	1442	438	541	620200	1405600	0.3037
AEPRT	5	524	1734	498	503	615200	988800	0.2872
ACERT	5	635	2043	839	893	605600	963200	0.4107
DEOR	4	1066	3752	806	842	597200	1178400	0.2148
DEERS	5	819	2393	497	578	587200	1516800	0.2077
DEIT	4	982	3459	1088	965	580800	948400	0.3145
AESST	5	723	2038	748	707	579200	1032000	0.367
DEILS	5	584	2041	304	249	573600	1389600	0.1489
AENR	4	1432	4048	1196	1056	560000	1140800	0.2955
AEELRS	6	390	1162	462	355	555800	980000	0.3976
ENOS	4	1382	4418	779	916	554800	1455600	0.1763
ADERST	6	492	1214	373	440	550200	1177400	0.3072
