season	mean	lo	hi	n	clusters	block	rate
2	0.242775	0.236522	0.24813	263491	16854	cohort	
3	0.278803	0.271726	0.285394	615385	18196	cohort	
4	0.245742	0.225841	0.262803	1644	1458	cohort	
6	0.274327	0.264778	0.282397	22218	8118	cohort	
7	0.258459	0.251572	0.264978	131990	14948	cohort	
8	0.274057	0.267596	0.27969	517101	17878	cohort	
9	0.283765	0.274217	0.291727	20672	7933	cohort	
10	0.272804	0.266092	0.279163	301169	17007	cohort	
2						control	0.207905
3						control	0.239364
4						control	0.211881
6						control	0.233118
7						control	0.221244
8						control	0.234774
9						control	0.239951
10						control	0.233965
