word	opportunities	found	missed	rate
ERS	17149	395	16754	0.02303
TES	12604	3539	9065	0.2808
ING	9617	1480	8137	0.1539
ATE	10195	2358	7837	0.2313
ATS	7823	307	7516	0.03924
RES	18183	11046	7137	0.6075
TED	7815	1082	6733	0.1385
INS	5752	285	5467	0.04955
ARS	7705	2318	5387	0.3008
ARE	10823	5788	5035	0.5348
EST	6164	1549	4615	0.2513
ITS	4619	71	4548	0.01537
ATES	4706	999	3707	0.2123
ONE	4418	728	3690	0.1648
RED	6761	3080	3681	0.4556
OSE	3858	224	3634	0.05806
ENS	3663	309	3354	0.08436
SER	5282	1932	3350	0.3658
NED	3648	390	3258	0.1069
ANS	3437	198	3239	0.05761
ORE	5436	2227	3209	0.4097
IRE	4501	1338	3163	0.2973
ANE	3823	743	3080	0.1943
ALE	4227	1230	2997	0.291
SED	3149	416	2733	0.1321
LED	3316	607	2709	0.1831
ARES	4850	2276	2574	0.4693
AIN	5480	3100	2380	0.5657
ALS	2435	114	2321	0.04682
EAR	8249	5968	2281	0.7235
IDE	2452	178	2274	0.07259
ONS	2198	102	2096	0.04641
ARED	2459	363	2096	0.1476
EAN	2571	503	2068	0.1956
OLE	2476	510	1966	0.206
INGS	1940	121	1819	0.06237
ADS	1853	54	1799	0.02914
ART	3452	1708	1744	0.4948
ALES	2103	492	1611	0.234
ONES	1809	235	1574	0.1299
ORES	2488	943	1545	0.379
ORS	1679	135	1544	0.08041
MES	2225	707	1518	0.3178
ERE	2078	739	1339	0.3556
IDS	1361	24	1337	0.01763
STED	1454	139	1315	0.0956
OES	1284	25	1259	0.01947
ONER	1393	138	1255	0.09907
IRES	1720	476	1244	0.2767
ENTS	1589	357	1232	0.2247
UTS	1246	17	1229	0.01364
ANES	1458	260	1198	0.1783
AME	2026	848	1178	0.4186
OOT	1217	55	1162	0.04519
EAT	5596	4440	1156	0.7934
ORT	1608	467	1141	0.2904
ELS	1190	56	1134	0.04706
GER	1601	473	1128	0.2954
ANT	5573	4457	1116	0.7997
ASTER	1622	524	1098	0.3231
EDS	1116	22	1094	0.01971
IDES	1149	57	1092	0.04961
PES	2020	929	1091	0.4599
EEN	1098	18	1080	0.01639
IRED	1126	82	1044	0.07282
HES	1607	592	1015	0.3684
ILL	1214	213	1001	0.1755
OLES	1262	267	995	0.2116
EARS	2934	1946	988	0.6633
OON	1022	41	981	0.04012
AND	1548	585	963	0.3779
AIL	2912	1968	944	0.6758
PER	1964	1025	939	0.5219
OPE	1078	148	930	0.1373
ERES	1308	397	911	0.3035
AIS	1046	138	908	0.1319
OSES	971	70	901	0.07209
ODS	898	12	886	0.01336
AINS	1758	874	884	0.4972
EANS	1022	139	883	0.136
ARD	1159	294	865	0.2537
ODE	1128	280	848	0.2482
EAS	5219	4385	834	0.8402
ARTS	1299	476	823	0.3664
ERN	912	109	803	0.1195
HER	1967	1205	762	0.6126
APE	1391	634	757	0.4558
ENE	847	92	755	0.1086
SERS	819	71	748	0.08669
EEL	771	27	744	0.03502
OOS	763	31	732	0.04063
ELL	808	95	713	0.1176
URE	882	223	659	0.2528
MED	861	205	656	0.2381
PED	874	250	624	0.286
AMES	824	201	623	0.2439
EATS	1860	1246	614	0.6699
ANTS	1283	670	613	0.5222
