len	pPresent	pTakenGivenFoundAndPresent	pTakenOpp	pairs	block	grid	tier	stemLen	curated	stems	membersPresent	membersFound	membersPresentIfStemFound	membersFoundIfStemFound	index	available	found
3	0.773	0.3132	0.3229	79090	m2												
4	0.5254	0.319	0.3269	128284	m2												
5	0.3318	0.3255	0.3493	76079	m2												
6	0.2035	0.3188	0.344	17570	m2												
7	0.1232	0.349	0.3352	2688	m2												
8	0.072	0.3241	0.3094	216	m2												
9	0.0563	0.4	0.1818	10	m2												
10	0.0589	0	0	0	m2												
11	0.1034	0	0	0	m2												
12	0	0	0	0	m2												
13	0	0	0	0	m2												
					m3	4x4	casual	3	False	2	0	0	0	0			
					m3	4x4	casual	3	True	3624	2.69233	1.00193	3.24341	1.58921			
					m3	4x4	casual	4	False	2178	0.443067	0.132691	0.608939	0.364525			
					m3	4x4	casual	4	True	2012	1.08946	0.399105	1.31898	0.720751			
					m3	4x4	casual	5	False	1736	0.221198	0.0437788	0.243191	0.132296			
					m3	4x4	casual	5	True	490	0.571429	0.134694	0.563452	0.269036			
					m3	4x4	casual	6	False	730	0.128767	0.0315068	0.1875	0.145833			
					m3	4x4	casual	6	True	104	0.307692	0.0288462	0.176471	0.0588235			
					m3	4x4	casual	7	False	207	0.144928	0.00966184	0.108108	0.0540541			
					m3	4x4	casual	7	True	19	0.263158	0.0526316	0.2	0.2			
					m3	4x4	goodCasual	3	False	26	0	0	0	0			
					m3	4x4	goodCasual	3	True	121883	5.25086	1.3858	6.57292	2.5819			
					m3	4x4	goodCasual	4	False	73311	0.658046	0.122233	0.933491	0.508412			
					m3	4x4	goodCasual	4	True	105155	1.99001	0.554077	2.51758	1.23658			
					m3	4x4	goodCasual	5	False	94644	0.371814	0.0733274	0.471908	0.291422			
					m3	4x4	goodCasual	5	True	38405	0.999792	0.26119	1.16903	0.625			
					m3	4x4	goodCasual	6	False	59013	0.236812	0.0399573	0.274415	0.189966			
					m3	4x4	goodCasual	6	True	10576	0.677761	0.15885	0.790479	0.481584			
					m3	4x4	goodCasual	7	False	25136	0.147995	0.0158339	0.144093	0.0975939			
					m3	4x4	goodCasual	7	True	2333	0.482212	0.0771539	0.526104	0.335341			
					m3	4x4	spam	3	False	3	0	0	0	0			
					m3	4x4	spam	3	True	9275	8.56571	1.64765	11.3915	3.59713			
					m3	4x4	spam	4	False	5202	0.881968	0.111111	1.37627	0.701881			
					m3	4x4	spam	4	True	10676	2.94961	0.597134	4.04273	1.73876			
					m3	4x4	spam	5	False	9811	0.509836	0.0832739	0.752532	0.449367			
					m3	4x4	spam	5	True	5272	1.41521	0.275228	1.82612	0.870159			
					m3	4x4	spam	6	False	7658	0.322277	0.0420475	0.367415	0.24522			
					m3	4x4	spam	6	True	1842	0.929425	0.178067	1.13846	0.64359			
					m3	4x4	spam	7	False	4271	0.187544	0.017092	0.167323	0.127953			
					m3	4x4	spam	7	True	481	0.700624	0.0686071	0.564356	0.29703			
					m3	5x5	casual	3	False	2	0	0	0	0			
					m3	5x5	casual	3	True	1445	3.51142	0.831834	4.72314	1.77066			
					m3	5x5	casual	4	False	869	0.52244	0.0747986	0.621622	0.302703			
					m3	5x5	casual	4	True	901	1.58047	0.406215	1.90939	0.912621			
					m3	5x5	casual	5	False	852	0.269953	0.0328638	0.329193	0.15528			
					m3	5x5	casual	5	True	284	0.823944	0.193662	0.755556	0.411111			
					m3	5x5	casual	6	False	466	0.195279	0.0300429	0.269841	0.222222			
					m3	5x5	casual	6	True	60	0.483333	0.0666667	0.454545	0.363636			
					m3	5x5	casual	7	False	191	0.0994764	0.0052356	0.12	0.04			
					m3	5x5	casual	7	True	16	0.5	0	0	0			
					m3	5x5	goodCasual	3	False	59	0	0	0	0			
					m3	5x5	goodCasual	3	True	133224	6.04577	0.941865	8.42292	2.45653			
					m3	5x5	goodCasual	4	False	88513	0.73065	0.0728594	1.12194	0.506939			
					m3	5x5	goodCasual	4	True	112683	2.40938	0.392517	3.22915	1.25928			
					m3	5x5	goodCasual	5	False	115672	0.416255	0.0429404	0.56062	0.292073			
					m3	5x5	goodCasual	5	True	43314	1.2598	0.183128	1.50138	0.62959			
					m3	5x5	goodCasual	6	False	80372	0.2715	0.0233415	0.329167	0.196622			
					m3	5x5	goodCasual	6	True	13391	0.858114	0.108431	1.0093	0.489588			
					m3	5x5	goodCasual	7	False	40030	0.173745	0.00699475	0.167876	0.0860818			
					m3	5x5	goodCasual	7	True	3676	0.630305	0.0375408	0.674419	0.341085			
					m1										4x4_casual	1.71759	0.872046
					m1										4x4_goodCasual	2.83714	1.2309
					m1										4x4_spam	4.13904	1.52611
					m1										5x5_casual	2.35687	0.958678
					m1										5x5_goodCasual	3.61983	1.19924
