letter	observed	v3	v1
E	0.0937129	0.098141	0.138563
S	0.0836304	0.0855017	0.121634
A	0.0786432	0.081536	0.0836414
T	0.0780851	0.0821184	0.0781676
R	0.0730078	0.0747535	0.0861341
I	0.0725037	0.0747252	0.0834554
N	0.0679306	0.068376	0.0649297
O	0.0670664	0.0695696	0.0548874
L	0.0488279	0.048382	0.0489385
D	0.0481257	0.046391	0.0345343
H	0.0462713	0.0456744	0.0182329
C	0.0342984	0.033062	0.0330229
U	0.0316517	0.0295245	0.0230927
M	0.0294012	0.0278841	0.0253042
G	0.0250441	0.0233427	0.0240165
P	0.024504	0.0236062	0.0285105
F	0.0196068	0.0168694	0.00745124
Y	0.0190126	0.0179686	0.00875454
B	0.0181304	0.0156319	0.0137792
W	0.0166181	0.0156896	0.00535489
V	0.00975838	0.00908522	0.00685027
K	0.00835404	0.00744785	0.00599257
X	0.00196248	0.00149685	0.00135023
Z	0.00167441	0.00139955	0.00197545
Q	0.00118829	0.000998304	0.000688965
J	0.000990242	0.000824143	0.000737602
