season	grid	boards	from_miningmath	from_nicole	from_both	first	last	medianPotential	medianPotentialFlux	longestP10	longestP90	longestMean	tvV3	noise95	fitsV3
1	4x4	6523	3215	3126	182	2025-11-21	2026-01-05	273000	272600	8	10	9.5338	0.015432	0.00872342	False
2	4x4	556	355	181	20	2026-01-05	2026-02-02	196100	196050	8	10	8.72482	0.0248003	0.0200026	False
2	5x5	575	376	172	27	2026-01-05	2026-02-02	375600	375600	8	11	9.43478	0.0218441	0.0120336	False
3	4x4	1871	1064	668	139	2026-02-02	2026-03-02	212900	212700	8	10	8.80118	0.016304	0.0119516	False
3	5x5	1126	612	415	99	2026-02-02	2026-03-02	393650	393600	8	11	9.5897	0.0185828	0.00858656	False
4	4x4	101	2	99	0	2026-03-02	2026-04-05	194600	194600	8	10	8.70297	0.0335204	0.042681	True
4	5x5	72	3	69	0	2026-03-02	2026-04-03	414950	414000	8	11	9.56944	0.0205609	0.0331216	True
5	4x4	6	0	6	0	2026-04-06	2026-04-19	224150	224150	8	9	8.66667	0.140842	0.172817	True
5	5x5	5	0	5	0	2026-04-06	2026-04-19	375500	374300	8.4	9.6	9	0.0937413	0.130846	True
6	4x4	159	47	112	0	2026-05-16	2026-06-01	203000	201900	8	10	8.77358	0.0284178	0.0354372	True
6	5x5	120	28	92	0	2026-05-16	2026-06-01	365800	364950	8	11.1	9.58333	0.0257013	0.0259173	True
7	4x4	400	227	156	17	2026-06-02	2026-07-05	213650	212850	8	10	8.815	0.0204063	0.0222266	True
7	5x5	255	141	105	9	2026-06-02	2026-07-05	433100	433100	9	11	9.64706	0.0153054	0.0177339	True
8	4x4	1331	844	371	116	2026-07-06	2026-08-03	225100	225100	8	10	8.8287	0.013774	0.0135291	False
8	5x5	847	492	287	68	2026-07-06	2026-08-03	440900	440400	9	11	9.78158	0.0126749	0.0100962	False
9	4x4	152	33	116	3	2026-08-03	2026-09-06	219050	219000	8	10	8.72368	0.0287879	0.0358627	True
9	5x5	110	26	84	0	2026-08-03	2026-09-06	429500	429050	8	11	9.78182	0.0207522	0.0285917	True
10	4x4	763	513	216	34	2026-09-08	2026-09-19	223100	223100	8	10	8.80603	0.0156408	0.0164332	True
10	5x5	462	323	120	19	2026-09-08	2026-09-19	443100	442500	9	11	9.85498	0.0118275	0.0135886	True
