b	mean	lo	hi	n	pot	scoreMean	block
0	0.285977	0.275223	0.29624	149	113100	31068.5	4x4
1	0.262188	0.2539	0.272508	149	143700	37453.7	4x4
2	0.257776	0.249453	0.26599	149	162900	41796	4x4
3	0.249738	0.242183	0.257517	150	178400	44626.7	4x4
4	0.233597	0.226538	0.240893	147	196700	45828.6	4x4
5	0.223647	0.216324	0.231139	149	214700	47881.9	4x4
6	0.219857	0.212344	0.227122	149	234200	51453	4x4
7	0.217739	0.211244	0.225295	149	254000	55228.2	4x4
8	0.207849	0.20216	0.213979	148	276800	57541.2	4x4
9	0.201803	0.195844	0.207098	149	306700	61651.7	4x4
10	0.190974	0.186383	0.195604	149	342300	65751	4x4
11	0.1622	0.157405	0.166568	149	421200	70443.6	4x4
0	0.163945	0.154557	0.175657	90	262100	41521.1	5x5
1	0.151486	0.145604	0.158347	90	311150	47123.3	5x5
2	0.148295	0.142388	0.155237	89	345100	51060.7	5x5
3	0.139594	0.133877	0.14583	90	372750	52012.2	5x5
4	0.132693	0.127557	0.138893	89	403100	53412.4	5x5
5	0.132726	0.127308	0.137235	90	425300	56683.3	5x5
6	0.127647	0.122908	0.132665	91	458200	58444	5x5
7	0.122565	0.118018	0.126469	88	490800	60006.8	5x5
8	0.120669	0.116054	0.124773	90	515750	62596.7	5x5
9	0.11388	0.109341	0.1185	89	560100	64076.4	5x5
10	0.105941	0.102666	0.109518	90	628500	66448.9	5x5
11	0.0925022	0.0890878	0.0958344	90	749950	70964.4	5x5
