grid	casual	goodCasual	spam	block	perCandidatePerMille	logLik	winnersSeeded	simLongestMean	simLongestGe8	simLongestGe10
4x4	0.149464	0.737128	0.113408	tiers						
5x5	0.0783169	0.892408	0.0292752	tiers						
4x4				seed	0	-2540.9	0	8.45366	0.898435	0.094161
4x4				seed	250	-2394.54	0.257437	8.71136	0.925288	0.194833
4x4				seed	500	-2404	0.499521	8.93689	0.944138	0.28774
4x4				seed	750	-2526.47	0.748643	9.20304	0.971984	0.390552
4x4				seed	1000	-3139.17	1	9.46002	0.99867	0.490359
5x5				seed	0	-1704.26	0	9.27873	0.993418	0.363878
5x5				seed	250	-1582.85	0.251968	9.67813	0.994662	0.503769
5x5				seed	500	-1623.81	0.506659	10.0685	0.996814	0.632623
5x5				seed	750	-1760.19	0.750083	10.44	0.997244	0.764022
5x5				seed	1000	-2396.59	1	10.8396	0.99867	0.894653
