potential_k	block
174	4x4
93.3	4x4
166.8	4x4
199	4x4
170.4	4x4
200.3	4x4
165.9	4x4
252.8	4x4
221.9	4x4
154.3	4x4
160.6	4x4
143.7	4x4
228	4x4
311.7	4x4
368.3	4x4
188.2	4x4
186.3	4x4
177.2	4x4
362	4x4
319.9	4x4
212.5	4x4
136.8	4x4
187.3	4x4
280.6	4x4
205.9	4x4
260.4	4x4
231.7	4x4
74.5	4x4
181.1	4x4
132.1	4x4
222.3	4x4
177.8	4x4
349.8	4x4
457.9	4x4
249.2	4x4
98	4x4
205.5	4x4
158.4	4x4
185.9	4x4
270.8	4x4
105.8	4x4
142.1	4x4
173.6	4x4
289.1	4x4
212.1	4x4
127.6	4x4
300.4	4x4
344.7	4x4
117.5	4x4
477	4x4
323.9	4x4
225.8	4x4
158.6	4x4
243.6	4x4
213.3	4x4
267.3	4x4
177.5	4x4
428.4	4x4
367	4x4
499.8	4x4
133.3	4x4
330.2	4x4
269.4	4x4
261.5	4x4
205.5	4x4
141.3	4x4
212	4x4
141.9	4x4
156.3	4x4
310.9	4x4
330.4	4x4
257	4x4
161	4x4
168.6	4x4
136.5	4x4
131.2	4x4
165.3	4x4
310	4x4
452.9	4x4
101.1	4x4
149	4x4
313.1	4x4
193.3	4x4
113.4	4x4
254.4	4x4
343	4x4
230.1	4x4
344.3	4x4
175.1	4x4
228.8	4x4
194.9	4x4
260	4x4
410.6	4x4
214.2	4x4
315.5	4x4
218.7	4x4
288.9	4x4
251.5	4x4
178.7	4x4
232.5	4x4
139.5	4x4
164.3	4x4
150.2	4x4
272	4x4
258.6	4x4
381.5	4x4
229.3	4x4
237.2	4x4
470.4	4x4
162.5	4x4
290.3	4x4
167.8	4x4
166.9	4x4
157.5	4x4
205.8	4x4
180.9	4x4
138.3	4x4
169.5	4x4
226.9	4x4
266.4	4x4
317.8	4x4
340.3	4x4
128.1	4x4
133.9	4x4
344.8	4x4
165.5	4x4
177.5	4x4
204.8	4x4
163.1	4x4
400.3	4x4
187.2	4x4
154.8	4x4
134.1	4x4
377	4x4
155.4	4x4
242	4x4
154.4	4x4
249.8	4x4
278.6	4x4
431.9	4x4
189.1	4x4
271.8	4x4
282.9	4x4
240.6	4x4
396.5	4x4
398.4	4x4
314.4	4x4
153	4x4
203.9	4x4
249.2	4x4
332.4	4x4
287	4x4
143.5	4x4
149.5	4x4
234.9	4x4
342.3	4x4
214.7	4x4
115.1	4x4
150.5	4x4
132.5	4x4
361.9	4x4
309	4x4
227.4	4x4
172	4x4
191.6	4x4
246.5	4x4
170.4	4x4
159	4x4
162.8	4x4
164.3	4x4
317.1	4x4
251.1	4x4
194.5	4x4
165.6	4x4
190.8	4x4
176	4x4
153	4x4
293.6	4x4
175.7	4x4
160.7	4x4
157.5	4x4
179.3	4x4
536.8	4x4
82.1	4x4
104.8	4x4
113.5	4x4
151.7	4x4
144.8	4x4
184.4	4x4
244.9	4x4
151	4x4
319	4x4
216.6	4x4
170.5	4x4
227.6	4x4
152.9	4x4
145	4x4
203.9	4x4
168.1	4x4
317.9	4x4
135.9	4x4
314	4x4
205	4x4
206.7	4x4
193.2	4x4
303.1	4x4
311.2	4x4
218.9	4x4
392.4	4x4
175.9	4x4
198.9	4x4
125.3	4x4
407.3	4x4
147.4	4x4
271.5	4x4
300.6	4x4
212.3	4x4
165.4	4x4
267.6	4x4
417.4	4x4
123.2	4x4
84.5	4x4
358.3	4x4
286.6	4x4
243.1	4x4
202.7	4x4
128.7	4x4
229.3	4x4
232.6	4x4
279.8	4x4
404.1	4x4
164.3	4x4
296	4x4
490.7	4x4
333.3	4x4
231.7	4x4
203.1	4x4
276.8	4x4
189.6	4x4
98.5	4x4
183.7	4x4
236.8	4x4
283.2	4x4
275.8	4x4
288.8	4x4
359.4	4x4
172.7	4x4
173.4	4x4
112.8	4x4
272.5	4x4
278.5	4x4
240.6	4x4
319.4	4x4
218.8	4x4
202.5	4x4
219.2	4x4
147.3	4x4
217.2	4x4
167.9	4x4
384.4	4x4
226.2	4x4
148.5	4x4
235.9	4x4
192.9	4x4
228.3	4x4
217.3	4x4
307.4	4x4
240.5	4x4
186.7	4x4
122.1	4x4
329.1	4x4
374.5	4x4
296.4	4x4
523.6	4x4
345.9	4x4
193	4x4
117.2	4x4
156.2	4x4
217	4x4
172.6	4x4
247.6	4x4
153.6	4x4
119.2	4x4
187.4	4x4
95.8	4x4
258.2	4x4
141.1	4x4
169.9	4x4
156.5	4x4
163.4	4x4
401.8	4x4
163.1	4x4
168.4	4x4
488.2	4x4
74.4	4x4
397	4x4
324.9	4x4
207.1	4x4
281.9	4x4
307.7	4x4
193.6	4x4
240	4x4
166.8	4x4
356.4	4x4
121.5	4x4
397.6	4x4
138.5	4x4
285.1	4x4
178	4x4
176.7	4x4
223	4x4
201.2	4x4
218	4x4
287.5	4x4
184.6	4x4
273	4x4
200.1	4x4
400.8	4x4
153.8	4x4
352	4x4
159.4	4x4
363.8	4x4
268.5	4x4
274	4x4
208	4x4
142.2	4x4
199.8	4x4
221.2	4x4
226.7	4x4
236.1	4x4
146.4	4x4
172.4	4x4
457.2	4x4
149.6	4x4
283.5	4x4
256.1	4x4
167.6	4x4
258.9	4x4
240	4x4
189	4x4
359.9	4x4
125.9	4x4
457.8	4x4
290.1	4x4
226.5	4x4
205.2	4x4
301.9	4x4
286.8	4x4
228.7	4x4
211.8	4x4
321.9	4x4
193.2	4x4
188.7	4x4
278.4	4x4
176.2	4x4
308.8	4x4
231.9	4x4
286.4	4x4
220.5	4x4
263.2	4x4
323.9	4x4
121.8	4x4
89.3	4x4
119.7	4x4
220.4	4x4
224.4	4x4
209.9	4x4
227.6	4x4
322.6	4x4
184.5	4x4
211.9	4x4
332.9	4x4
132.2	4x4
222.8	4x4
325.6	4x4
208.1	4x4
376.5	4x4
247.6	4x4
150.7	4x4
280.3	4x4
162.9	4x4
346.7	4x4
112.2	4x4
122.5	4x4
150.6	4x4
148.9	4x4
166.5	4x4
358	4x4
137.2	4x4
180.2	4x4
231.8	4x4
338.4	4x4
230.7	4x4
220.2	4x4
452.2	4x4
145.3	4x4
152	4x4
190.2	4x4
293.4	4x4
294.9	4x4
258.8	4x4
245.2	4x4
309.6	4x4
278.8	4x4
102.8	4x4
164.5	4x4
209	4x4
280.7	4x4
197.6	4x4
136.1	4x4
207.2	4x4
227	4x4
255.5	4x4
177.2	4x4
169.9	4x4
338	4x4
202.8	4x4
171.6	4x4
263.5	4x4
247.3	4x4
121.5	4x4
175.8	4x4
191.9	4x4
185.8	4x4
122.9	4x4
206.1	4x4
386.1	4x4
363.7	4x4
240	4x4
284.9	4x4
337.1	4x4
264.4	4x4
187	4x4
155.9	4x4
200.8	4x4
240.6	4x4
372.3	4x4
109.8	4x4
103.2	4x4
189.3	4x4
246.9	4x4
