set	length	ame	lo	hi
train	n3	-0.00102907	-0.00445044	0.00369286
train	n4	0.0109674	0.00783645	0.0149335
train	n5	0.00771543	0.00384289	0.0118297
train	n6	0.0130096	0.00757792	0.0178151
train	n7p	0.0310314	0.0258253	0.0384048
test	n3	0.00241636	-0.00410254	0.00799713
test	n4	0.0118196	0.00633484	0.0188624
test	n5	0.0102052	0.00448015	0.0160259
test	n6	0.0213523	0.0142834	0.02894
test	n7p	0.0338652	0.0255884	0.0425804
pooled	n3	-0.00205411	-0.00384685	-7.54504e-05
pooled	n4	0.00952856	0.00771439	0.0115702
pooled	n5	0.00557101	0.00373886	0.00732512
pooled	n6	0.0152204	0.0127319	0.0178366
pooled	n7p	0.0243942	0.021037	0.0278486
