word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
STARE	343	174.304	185	5	800	1267	669	768	274400	139444	0.528019	0.606156	79200	AERST	13	STAR
TARES	328	156.984	164	5	800	1335	685	728	262400	125587	0.513109	0.545318	34400	AERST	13	TARE
ASTER	250	134.692	155	5	800	1184	219	322	200000	107754	0.184966	0.271959	82400	AERST	13	
STORE	244	125.687	144	5	800	752	292	410	195200	100550	0.388298	0.545213	94400	EORST	7	TORE
NITER	233	125.05	140	5	800	930	379	429	186400	100040	0.407527	0.46129	40000	EINRT	5	NITE
TARE	500	244.456	247	4	400	2169	1150	1180	200000	97782.3	0.530198	0.54403	12000	AERT	4	TAR
NITES	232	121.177	131	5	800	969	385	418	185600	96941.8	0.397317	0.431373	26400	EINST	8	NITE
RATES	239	119.622	119	5	800	1241	788	752	191200	95697.6	0.634972	0.605963	-28800	AERST	13	RATE
STARES	129	65.5941	75	6	1400	456	245	293	180600	91831.7	0.537281	0.642544	67200	AERSST	7	STARE
TASER	218	113.632	131	5	800	1110	548	476	174400	90905.8	0.493694	0.428829	-57600	AERST	13	TASE
STIRE	220	111.944	122	5	800	885	343	389	176000	89554.9	0.387571	0.439548	36800	EIRST	7	STIR
NITERS	118	63.3744	71	6	1400	451	195	222	165200	88724.2	0.432373	0.492239	37800	EINRST	10	NITER
STEAR	213	108.375	115	5	800	1120	571	549	170400	86699.9	0.509821	0.490179	-17600	AERST	13	TEAR
RITES	204	103.178	108	5	800	864	427	436	163200	82542.6	0.494213	0.50463	7200	EIRST	7	RITE
SATE	398	203.982	210	4	400	1922	731	730	159200	81592.7	0.380333	0.379813	-400	AEST	10	SAT
STAR	401	203.645	215	4	400	1781	962	1003	160400	81458.1	0.540146	0.563167	16400	ARST	6	TAR
REST	398	202.116	192	4	400	2466	1068	860	159200	80846.4	0.43309	0.348743	-83200	ERST	4	RES
INTER	172	100.682	116	5	800	767	257	286	137600	80545.9	0.335072	0.372881	23200	EINRT	5	
NITE	384	200.043	215	4	400	1539	664	754	153600	80017.2	0.431449	0.489929	36000	EINT	3	NIT
RATE	390	199.678	202	4	400	2043	1311	1267	156000	79871.3	0.641703	0.620166	-17600	AERT	4	RAT
INTERS	94	56.2831	67	6	1400	375	118	147	131600	78796.3	0.314667	0.392	40600	EINRST	10	INTER
TIRES	191	97.9171	102	5	800	958	525	506	152800	78333.7	0.548017	0.528184	-15200	EIRST	7	TIRE
TORES	190	97.6604	110	5	800	851	460	473	152000	78128.3	0.540541	0.555817	10400	EORST	7	TORE
STORES	103	54.5775	67	6	1400	275	95	160	144200	76408.6	0.345455	0.581818	91000	EORSST	9	STORE
TINES	178	93.4019	97	5	800	967	596	552	142400	74721.5	0.616339	0.570838	-35200	EINST	8	TINE
STARED	102	53.0266	64	6	1400	411	206	231	142800	74237.3	0.501217	0.562044	35000	ADERST	6	STARE
SEAR	369	180.445	187	4	400	1983	973	908	147600	72178.2	0.490671	0.457892	-26000	AERS	7	SEA
TEAR	357	179.342	199	4	400	1909	1086	988	142800	71736.9	0.568884	0.517548	-39200	AERT	4	TEA
RENTS	171	89.5604	96	5	800	756	361	375	136800	71648.3	0.477513	0.496032	11200	ENRST	4	RENT
TASE	347	176.98	186	4	400	1805	917	784	138800	70792	0.508033	0.434349	-53200	AEST	10	TAS
NOTER	169	88.3139	100	5	800	570	254	316	135200	70651.1	0.445614	0.554386	49600	ENORT	5	NOTE
STANE	180	88.3019	99	5	800	753	259	301	144000	70641.5	0.343958	0.399734	33600	AENST	6	TANE
SEAT	350	176.483	177	4	400	1899	888	787	140000	70593.2	0.467615	0.414429	-40400	AEST	10	SEA
NOTES	171	87.8272	99	5	800	592	252	298	136800	70261.8	0.425676	0.503378	36800	ENOST	6	NOTE
STERE	168	86.2883	92	5	800	790	133	216	134400	69030.7	0.168354	0.273418	66400	EERST	9	ERE
LARES	176	86.2158	95	5	800	752	416	394	140800	68972.7	0.553191	0.523936	-17600	AELRS	9	LARE
ORATES	83	49.2301	56	6	1400	443	83	106	116200	68922.1	0.187359	0.239278	32200	AEORST	4	ORATE
TASTER	93	49.2186	63	6	1400	351	170	208	130200	68906	0.48433	0.592593	53200	AERSTT	7	TASTE
RATER	163	85.6595	97	5	800	699	376	380	130400	68527.6	0.537911	0.543634	3200	AERRT	4	RATE
EATERS	87	48.8184	62	6	1400	411	187	195	121800	68345.8	0.454988	0.474453	11200	AEERST	9	EATER
SATES	165	84.1365	82	5	800	763	241	266	132000	67309.2	0.315858	0.348624	20000	AESST	6	SATE
RASTER	90	47.3054	62	6	1400	357	165	170	126000	66227.5	0.462185	0.47619	7000	AERRST	8	ASTER
SIRES	159	82.6758	83	5	800	577	226	278	127200	66140.6	0.391681	0.481802	41600	EIRSS	3	SIRE
RASE	334	164.487	179	4	400	1834	793	669	133600	65794.8	0.432388	0.364776	-49600	AERS	7	RAS
TEARS	161	81.5133	86	5	800	906	553	482	128800	65210.6	0.610375	0.532009	-56800	AERST	13	TEAR
EASTER	85	46.5481	59	6	1400	400	185	174	119000	65167.4	0.4625	0.435	-15400	AEERST	9	ASTER
STONE	156	81.4493	102	5	800	547	283	353	124800	65159.4	0.517367	0.645338	56000	ENOST	6	TONE
SEARE	163	81.4408	87	5	800	821	311	313	130400	65152.6	0.378806	0.381242	1600	AEERS	4	SEAR
RINSE	151	81.0595	92	5	800	606	158	223	120800	64847.6	0.260726	0.367987	52000	EINRS	7	RINS
ROTES	153	80.7633	82	5	800	758	400	384	122400	64610.7	0.527704	0.506596	-12800	EORST	7	ROTE
SIRE	317	161.477	167	4	400	1599	635	634	126800	64591	0.397123	0.396498	-400	EIRS	5	SIR
EATER	150	80.7083	87	5	800	817	371	341	120000	64566.7	0.4541	0.417381	-24000	AEERT	3	EAT
ASTERS	84	45.9928	54	6	1400	365	70	113	117600	64389.9	0.191781	0.309589	60200	AERSST	7	ASTER
STEAL	157	79.7958	94	5	800	680	282	321	125600	63836.7	0.414706	0.472059	31200	AELST	12	TEAL
TARED	158	79.6794	89	5	800	755	238	240	126400	63743.5	0.315232	0.317881	1600	ADERT	6	TARE
RONES	152	78.8229	86	5	800	621	256	302	121600	63058.3	0.412238	0.486312	36800	ENORS	7	RONE
STIRES	88	44.717	48	6	1400	313	113	147	123200	62603.8	0.361022	0.469649	47600	EIRSST	5	STIRE
HATERS	89	44.3954	55	6	1400	267	138	180	124600	62153.6	0.516854	0.674157	58800	AEHRST	3	HATER
RENT	304	155.004	157	4	400	1426	669	674	121600	62001.5	0.469144	0.472651	2000	ENRT	2	REN
REAST	147	77.3109	77	5	800	1036	354	252	117600	61848.7	0.341699	0.243243	-81600	AERST	13	EAST
NITRES	81	44.1315	53	6	1400	427	145	154	113400	61784.1	0.339578	0.360656	12600	EINRST	10	NITRE
NOTERS	81	43.8796	50	6	1400	298	141	164	113400	61431.5	0.473154	0.550336	32200	ENORST	8	NOTER
RITE	309	152.57	142	4	400	1388	676	695	123600	61028	0.487032	0.50072	7600	EIRT	4	RIT
ORATE	133	76.0914	80	5	800	762	152	176	106400	60873.1	0.199475	0.230971	19200	AEORT	3	RATE
SEATER	87	43.3589	44	6	1400	423	192	197	121800	60702.5	0.453901	0.465721	7000	AEERST	9	EATER
STATER	82	43.3317	51	6	1400	323	164	196	114800	60664.3	0.50774	0.606811	44800	AERSTT	7	STATE
SNORE	141	75.5852	82	5	800	518	73	173	112800	60468.1	0.140927	0.333977	80000	ENORS	7	NOR
RINES	150	75.1438	75	5	800	763	401	384	120000	60115	0.525557	0.503277	-13600	EINRS	7	RINE
TIRE	297	150.164	156	4	400	1566	839	779	118800	60065.7	0.53576	0.497446	-24000	EIRT	4	IRE
SINE	284	149.52	160	4	400	1531	782	671	113600	59808.2	0.510777	0.438276	-44400	EINS	3	SIN
TALES	152	74.648	82	5	800	675	368	350	121600	59718.4	0.545185	0.518519	-14400	AELST	12	TALE
RISE	289	148.428	139	4	400	1509	520	517	115600	59371.1	0.344599	0.342611	-1200	EIRS	5	
SLATER	83	42.4039	47	6	1400	336	163	183	116200	59365.4	0.485119	0.544643	28000	AELRST	12	SLATE
TIERS	143	73.9651	72	5	800	830	320	246	114400	59172.1	0.385542	0.296386	-59200	EIRST	7	TIER
SLATE	141	73.8834	78	5	800	577	280	320	112800	59106.7	0.485269	0.554593	32000	AELST	12	SLAT
SNARE	151	73.6254	74	5	800	689	121	193	120800	58900.3	0.175617	0.280116	57600	AENRS	6	SNAR
NESTER	77	41.8544	48	6	1400	375	115	119	107800	58596.1	0.306667	0.317333	5600	EENRST	9	ESTER
NARES	144	72.863	79	5	800	924	144	179	115200	58290.4	0.155844	0.193723	28000	AENRS	6	NARE
STANES	83	41.5486	47	6	1400	290	90	134	116200	58168.1	0.310345	0.462069	61600	AENSST	5	STANE
RALES	143	72.4122	74	5	800	643	249	265	114400	57929.8	0.387247	0.412131	12800	AELRS	9	RALE
TASTE	139	72.3348	89	5	800	551	260	298	111200	57867.8	0.471869	0.540835	30400	AESTT	6	TAS
STEER	144	72.2439	87	5	800	569	239	282	115200	57795.1	0.420035	0.495606	34400	EERST	9	TEER
ARES	279	144.442	151	4	400	2480	920	514	111600	57776.8	0.370968	0.207258	-162400	AERS	7	ARE
RETS	288	144.296	135	4	400	2460	704	446	115200	57718.5	0.286179	0.181301	-103200	ERST	4	RET
TONES	144	72.1098	84	5	800	654	410	437	115200	57687.8	0.626911	0.668196	21600	ENOST	6	TONE
STAIN	136	72.0947	70	5	800	639	290	302	108800	57675.8	0.453834	0.472613	9600	AINST	8	TAIN
ERASE	122	71.9677	83	5	800	868	13	122	97600	57574.2	0.014977	0.140553	87200	AEERS	4	ERAS
SORE	281	143.189	143	4	400	1426	607	581	112400	57275.5	0.425666	0.407433	-10400	EORS	6	ORE
TEAS	281	142.48	153	4	400	1742	824	635	112400	56991.9	0.47302	0.364524	-75600	AEST	10	TEA
TORE	280	142.228	161	4	400	1347	717	725	112000	56891.3	0.532294	0.538233	3200	EORT	2	TOR
STEARE	85	40.6042	49	6	1400	460	208	196	119000	56845.9	0.452174	0.426087	-16800	AEERST	9	STEAR
STONES	80	40.337	52	6	1400	228	96	146	112000	56471.8	0.421053	0.640351	70000	ENOSST	6	STONE
ENTERS	72	40.2583	44	6	1400	286	105	122	100800	56361.7	0.367133	0.426573	23800	EENRST	9	ENTER
ARETS	124	70.3564	83	5	800	1367	242	151	99200	56285.1	0.17703	0.110461	-72800	AERST	13	ARET
TALER	133	70.3439	85	5	800	602	259	255	106400	56275.1	0.430233	0.423588	-3200	AELRT	6	TALE
STEAN	132	70.2519	81	5	800	799	305	269	105600	56201.5	0.381727	0.336671	-28800	AENST	6	TEA
RATERS	81	40.0705	51	6	1400	313	176	190	113400	56098.7	0.5623	0.607029	19600	AERRST	8	RATER
RATS	282	140.045	127	4	400	1781	721	521	112800	56018	0.404829	0.292532	-80000	ARST	6	RAT
NEST	269	139.968	148	4	400	1809	506	442	107600	55987.2	0.279713	0.244334	-25600	ENST	6	EST
STALE	135	69.9196	87	5	800	648	326	335	108000	55935.6	0.503086	0.516975	7200	AELST	12	TALE
TINE	276	139.666	145	4	400	1540	968	905	110400	55866.6	0.628571	0.587662	-25200	EINT	3	TIN
TRINES	70	39.5459	49	6	1400	367	176	170	98000	55364.3	0.479564	0.463215	-8400	EINRST	10	TRINE
TRAIN	130	68.8672	85	5	800	582	229	261	104000	55093.8	0.393471	0.448454	25600	AINRT	3	RAIN
NEATS	133	68.8549	66	5	800	786	228	211	106400	55083.9	0.290076	0.268448	-13600	AENST	6	NEAT
NITRE	124	68.8486	85	5	800	725	236	238	99200	55078.9	0.325517	0.328276	1600	EINRT	5	NIT
STERES	75	39.2309	48	6	1400	303	59	98	105000	54923.3	0.194719	0.323432	54600	EERSST	6	STERE
TRONES	71	38.9897	47	6	1400	279	86	114	99400	54585.6	0.308244	0.408602	39200	ENORST	8	TRONE
SEATS	135	68.105	72	5	800	680	278	278	108000	54484	0.408824	0.408824	0	AESST	6	SEAT
HEATS	141	67.863	77	5	800	461	169	230	112800	54290.4	0.366594	0.498915	48800	AEHST	6	HEAT
TRIES	135	67.799	63	5	800	807	208	213	108000	54239.2	0.257745	0.263941	4000	EIRST	7	TRIE
TASERS	78	38.7191	46	6	1400	287	117	140	109200	54206.7	0.407666	0.487805	32200	AERSST	7	TASER
LASTER	82	38.4898	43	6	1400	359	216	223	114800	53885.8	0.601671	0.62117	9800	AELRST	12	ASTER
ENTER	120	67.3006	71	5	800	564	203	204	96000	53840.5	0.359929	0.361702	800	EENRT	4	
REINS	123	67.1853	75	5	800	736	128	156	98400	53748.2	0.173913	0.211957	22400	EINRS	7	REIN
SITES	127	67.0795	74	5	800	621	297	268	101600	53663.6	0.478261	0.431562	-23200	EISST	2	SITE
SEAL	262	133.875	149	4	400	1280	548	539	104800	53550	0.428125	0.421094	-3600	AELS	6	SEA
HATER	139	66.6418	72	5	800	516	282	317	111200	53313.4	0.546512	0.614341	28000	AEHRT	5	HATE
TENS	260	132.831	141	4	400	1465	475	455	104000	53132.4	0.324232	0.31058	-8000	ENST	6	TEN
NOTE	254	132.62	144	4	400	960	430	518	101600	53047.9	0.447917	0.539583	35200	ENOT	2	NOT
SITE	272	132.471	130	4	400	1625	815	641	108800	52988.2	0.501538	0.394462	-69600	EIST	3	SIT
NATES	134	65.7959	65	5	800	900	170	175	107200	52636.7	0.188889	0.194444	4000	AENST	6	ATES
DEAR	263	131.03	140	4	400	1138	493	541	105200	52412	0.433216	0.475395	19200	ADER	6	EAR
TILER	127	65.4884	74	5	800	463	227	267	101600	52390.8	0.490281	0.576674	32000	EILRT	4	TILE
SORES	125	65.4508	63	5	800	555	251	246	100000	52360.6	0.452252	0.443243	-4000	EORSS	2	SORE
TIER	249	130.862	134	4	400	1655	612	443	99600	52344.8	0.369789	0.267674	-67600	EIRT	4	TIE
TRINE	121	65.3573	76	5	800	620	269	262	96800	52285.8	0.433871	0.422581	-5600	EINRT	5	TRIN
NEARS	128	65.0444	64	5	800	679	263	222	102400	52035.5	0.387334	0.326951	-32800	AENRS	6	NEAR
ERAS	243	129.835	135	4	400	2080	152	263	97200	51934.1	0.0730769	0.126442	44400	AERS	7	ERA
SENT	248	129.312	125	4	400	1526	578	526	99200	51724.6	0.378768	0.344692	-20800	ENST	6	SEN
DARES	127	64.6542	70	5	800	594	293	303	101600	51723.4	0.493266	0.510101	8000	ADERS	7	DARE
TALERS	70	36.8809	42	6	1400	287	121	130	98000	51633.3	0.421603	0.452962	12600	AELRST	12	TALER
ELATER	69	36.7326	51	6	1400	283	69	95	96600	51425.6	0.243816	0.335689	36400	AEELRT	2	ELATE
ELATES	69	36.4633	48	6	1400	298	78	99	96600	51048.6	0.261745	0.332215	29400	AEELST	4	ELATE
RAISE	116	63.6743	67	5	800	699	339	266	92800	50939.5	0.484979	0.380544	-58400	AEIRS	5	RAIS
RAST	254	127.238	121	4	400	1572	809	617	101600	50895	0.514631	0.392494	-76800	ARST	6	RAS
STEN	254	126.881	149	4	400	1756	413	394	101600	50752.5	0.235194	0.224374	-7600	ENST	6	TEN
RINE	257	126.221	121	4	400	1272	648	627	102800	50488.2	0.509434	0.492925	-8400	EINR	2	RIN
STIR	257	126.116	133	4	400	1247	398	442	102800	50446.5	0.319166	0.354451	17600	IRST	2	
STRINE	65	36.009	44	6	1400	342	70	94	91000	50412.6	0.204678	0.274854	33600	EINRST	10	TRINE
RANTS	126	62.8128	65	5	800	551	282	301	100800	50250.3	0.511797	0.546279	15200	ANRST	4	RANT
TRONE	115	62.7629	73	5	800	463	129	178	92000	50210.4	0.278618	0.384449	39200	ENORT	5	TRON
STARER	73	35.7744	45	6	1400	254	107	132	102200	50084.1	0.42126	0.519685	35000	AERRST	8	STARE
LANES	123	62.5441	65	5	800	515	256	251	98400	50035.3	0.497087	0.487379	-4000	AELNS	5	LANE
LASER	125	62.532	72	5	800	668	357	301	100000	50025.6	0.534431	0.450599	-44800	AELRS	9	LASE
STEARS	66	35.7299	41	6	1400	341	175	179	92400	50021.8	0.513196	0.524927	5600	AERSST	7	STEAR
EASER	121	62.4659	75	5	800	654	334	280	96800	49972.8	0.510703	0.428135	-43200	AEERS	4	EASE
RAINE	118	62.3549	70	5	800	632	310	293	94400	49883.9	0.490506	0.463608	-13600	AEINR	1	RAIN
ELATE	116	62.1721	76	5	800	537	141	176	92800	49737.7	0.26257	0.327747	28000	AEELT	2	LATE
STONER	70	35.4709	49	6	1400	304	172	179	98000	49659.2	0.565789	0.588816	9800	ENORST	8	STONE
REIN	230	123.638	127	4	400	1534	235	287	92000	49455.3	0.153194	0.187093	20800	EINR	2	REI
TRAINS	67	35.1104	41	6	1400	259	101	136	93800	49154.5	0.389961	0.525097	49000	AINRST	4	TRAIN
NOSER	122	61.3707	77	5	800	611	189	196	97600	49096.6	0.309329	0.320786	5600	ENORS	7	NOSE
ESTER	114	61.304	63	5	800	932	246	167	91200	49043.2	0.263948	0.179185	-63200	EERST	9	EST
TEASE	115	61.2253	71	5	800	622	330	298	92000	48980.2	0.530547	0.4791	-25600	AEEST	2	TEAS
TATERS	67	34.9298	44	6	1400	290	161	182	93800	48901.7	0.555172	0.627586	29400	AERSTT	7	TATER
OATERS	62	34.8916	43	6	1400	346	106	92	86800	48848.2	0.306358	0.265896	-19600	AEORST	4	OATER
OATER	109	61.0482	70	5	800	662	217	175	87200	48838.5	0.327795	0.26435	-33600	AEORT	3	OAT
TATER	114	60.989	64	5	800	558	310	316	91200	48791.2	0.555556	0.566308	4800	AERTT	4	TATE
ARET	215	121.827	141	4	400	2314	347	253	86000	48730.7	0.149957	0.109334	-37600	AERT	4	ARE
SINES	122	60.8822	63	5	800	595	302	282	97600	48705.8	0.507563	0.47395	-16000	EINSS	5	SINE
