mb	mean	lo	hi	n	m	block
0	0.440991	0.432932	0.449462	763	-18500	raw
1	0.460071	0.451786	0.468296	741	-11200	raw
2	0.468318	0.460475	0.477202	763	-7400	raw
3	0.468199	0.460203	0.477037	756	-4900	raw
4	0.470076	0.460588	0.477517	745	-2600	raw
5	0.465271	0.458223	0.472361	759	-500	raw
6	0.463026	0.455404	0.470403	781	1500	raw
7	0.447804	0.440041	0.455889	736	3500	raw
8	0.431457	0.422571	0.439207	742	5800	raw
9	0.422773	0.416096	0.429974	753	8400	raw
10	0.405947	0.398712	0.412698	736	11900	raw
11	0.349403	0.340132	0.358085	747	18100	raw
0	1.11288	1.09871	1.12746	763	-18500	normalised
1	1.14391	1.13079	1.15954	741	-11200	normalised
2	1.13501	1.12206	1.15129	763	-7400	normalised
3	1.13414	1.11853	1.15024	756	-4900	normalised
4	1.14684	1.13419	1.16059	745	-2600	normalised
5	1.15054	1.1355	1.16657	759	-500	normalised
6	1.16504	1.15065	1.17822	781	1500	normalised
7	1.16744	1.15248	1.18349	736	3500	normalised
8	1.16672	1.15322	1.18212	742	5800	normalised
9	1.17265	1.15784	1.1886	753	8400	normalised
10	1.19368	1.17611	1.21164	736	11900	normalised
11	1.2071	1.18622	1.22646	706	18100	normalised
0	0.400435	0.392419	0.407592	763		expected
1	0.408832	0.400868	0.416435	741		expected
2	0.419137	0.411664	0.426475	763		expected
3	0.417741	0.410293	0.425837	756		expected
4	0.415884	0.409287	0.423492	745		expected
5	0.411133	0.403946	0.418593	759		expected
6	0.403521	0.396681	0.410578	781		expected
7	0.390982	0.384268	0.398066	736		expected
8	0.375759	0.368368	0.383339	742		expected
9	0.365626	0.359506	0.371257	753		expected
10	0.346691	0.340206	0.352558	736		expected
11	0.311248	0.305793	0.317557	706		expected
