oppName	games	wins	exp	var	overlap	oppOpen10	oppLongShare	z	p	q
Nicole	709	205	238.482	151.382	0.515078	4.25347	0.668768	-2.7213	0.00650259	0.12595
marchuzz	300	184	168.498	66.6389	0.446778	4.21739	0.69355	1.89901	0.0575635	0.255582
derek	300	99	119.38	69.404	0.451776	4.572	0.76932	-2.44627	0.0144344	0.160222
rafeh	276	130	129.848	63.3731	0.358029	4.62831	0.734165	0.0190417	0.984808	0.984808
Insurrection	249	94	106.515	56.9756	0.409202	4.43211	0.711593	-1.65801	0.0973154	0.351267
ravenclaw7218	244	97	98.4716	57.1502	0.473057	4.22263	0.692624	-0.194658	0.845661	0.912207
lark	236	89	98.2832	56.3641	0.464932	4.23008	0.711479	-1.23651	0.216268	0.537659
notanoob	204	132	118.307	43.9823	0.435239	4.00394	0.646078	2.06476	0.0389458	0.218251
Peter	196	122	113.028	44.1783	0.437704	4.10359	0.647188	1.34988	0.177053	0.517182
austin	178	90	92.274	42.254	0.418999	4.09774	0.717592	-0.349826	0.726469	0.842947
Lasagna	170	67	78.1761	40.7384	0.48714	4.07882	0.671289	-1.75101	0.0799444	0.305994
arthurh	153	60	63.8233	34.9882	0.495516	4.18092	0.689084	-0.646357	0.518048	0.737223
aronjvs	142	95	86.2798	32.7541	0.449438	4.00213	0.647211	1.52369	0.127587	0.416533
ShioRamen	141	91	87.4538	31.7401	0.397311	4.11773	0.735283	0.629444	0.529059	0.743238
tony	138	95	84.1173	30.8189	0.426295	4.21752	0.703517	1.96033	0.0499577	0.231054
C3Slayer	133	89	84.0446	29.3813	0.429862	4.07669	0.672525	0.914201	0.360611	0.711916
gas	127	51	52.5872	29.5504	0.543033	3.81732	0.579298	-0.291974	0.770307	0.85504
neel	126	55	59.7244	28.0045	0.395022	4.5128	0.747128	-0.892748	0.371992	0.711916
crypto_______	117	45	49.4747	25.0197	0.474011	4.27949	0.735516	-0.894591	0.371006	0.711916
kluo11	113	13	28.3659	20.259	0.493792	4.34985	0.728881	-3.41389	0.000640414	0.035543
Polarity	108	47	47.9909	25.2499	0.436217	4.16481	0.689573	-0.197191	0.843678	0.912207
Player_v699z0	107	84	71.7801	23.2092	0.441357	3.96887	0.676295	2.53652	0.0111961	0.138086
Etjam	106	74	72.2917	22.5312	0.438095	4.08019	0.676722	0.359884	0.718934	0.842947
rem	103	57	62.1201	23.2119	0.459673	4.17087	0.642819	-1.06274	0.287901	0.608532
aaratrik17	102	68	62.1314	22.8853	0.396679	4.14216	0.712363	1.22675	0.219916	0.537659
Barlo	99	71	60.5524	23.0683	0.472744	4.37071	0.695237	2.17524	0.029612	0.218251
R1J2L3	95	36	42.6894	22.9983	0.405092	4.56848	0.738462	-1.39489	0.16305	0.48915
whytea	92	57	53.2524	21.2122	0.426788	4.10326	0.70627	0.813689	0.415823	0.731654
yoj	91	49	46.8445	21.5373	0.462392	4.13516	0.711293	0.464474	0.642308	0.810184
rysefx	86	68	57.1296	17.4809	0.394137	4.17381	0.647219	2.59995	0.00932371	0.138086
Pramsu	85	44	47.109	19.7882	0.431787	4.12588	0.725073	-0.698897	0.484616	0.731968
cupcakes	81	63	56.4937	16.541	0.420494	4.3284	0.682759	1.59975	0.109655	0.36884
DavidLaid25	80	36	34.4807	18.7535	0.492997	3.98375	0.654707	0.350845	0.725705	0.842947
jack	79	47	42.8993	18.6955	0.37777	4.21519	0.719674	0.9484	0.342926	0.692087
Luvity	76	59	56.0235	14.5401	0.464947	4.05921	0.625283	0.7806	0.435038	0.731654
melancholanie	76	63	54.7764	15.0351	0.476692	3.85132	0.584082	2.12085	0.0339341	0.218251
dickypp	70	21	25.7332	15.4461	0.493277	4.17143	0.684009	-1.20433	0.228462	0.539558
Loll	65	29	26.4035	15.2029	0.217071	5.36578	0.988435	0.665929	0.505456	0.731968
kuvo	65	47	42.987	14.0044	0.504506	4.02154	0.568885	1.07235	0.283565	0.608532
subZer0	62	54	41.7658	12.8054	0.400819	4.07742	0.650921	3.41885	0.000628852	0.035543
potatoduck	60	43	38.2437	13.2267	0.499111	3.88	0.605726	1.3078	0.190942	0.528535
snom	58	28	25.0346	13.639	0.444616	4.26111	0.727631	0.802958	0.421999	0.731654
aidan	58	15	19.3244	12.2958	0.435854	4.48421	0.760484	-1.23323	0.217491	0.537659
anders	57	27	29.1525	13.1158	0.423247	4.37544	0.7195	-0.594356	0.552274	0.743238
Player_730e9s	57	20	17.6471	11.9616	0.382226	4.46316	0.603211	0.680303	0.496313	0.731968
sophia	56	17	19.4765	12.2959	0.499389	4.27857	0.695297	-0.706255	0.480029	0.731968
miscillianeous	54	16	16.0803	11.2416	0.503302	4.15741	0.723191	-0.023964	0.980881	0.984808
J0HNNY	53	36	35.5259	11.5244	0.464031	3.96981	0.634091	0.139661	0.888928	0.924756
supernova	53	41	39.1234	10.1456	0.409048	3.90566	0.596744	0.589159	0.555755	0.743238
