potD	mean	lo	hi	n	block	grid	tier	eloDiffB	hourUtc	dow
0	0.528177	0.495194	0.563813	905	potD					
1	0.567297	0.536824	0.596944	899	potD					
2	0.508889	0.477115	0.540345	900	potD					
3	0.533627	0.502116	0.568132	907	potD					
4	0.52067	0.487941	0.553966	895	potD					
5	0.491131	0.458156	0.520924	902	potD					
6	0.504983	0.473502	0.536339	903	potD					
7	0.496107	0.463944	0.52859	899	potD					
8	0.505556	0.47646	0.53709	900	potD					
9	0.504994	0.471887	0.536939	901	potD					
	0.515683	0.503809	0.528531	6791	grid	4x4				
	0.517568	0.496078	0.538549	2220	grid	5x5				
	0.454545	0.354411	0.565217	77	tier		casual			
	0.532138	0.511863	0.550166	2676	tier		goodCasual			
	0.528846	0.422627	0.62097	104	tier		spam			
	0.820449	0.800371	0.837613	1604	eloDiffB			(-1000, -150]		
	0.689349	0.664274	0.714615	1352	eloDiffB			(-150, -75]		
	0.59431	0.561489	0.627304	949	eloDiffB			(-75, -25]		
	0.508629	0.474808	0.539993	985	eloDiffB			(-25, 25]		
	0.411523	0.384738	0.439746	1215	eloDiffB			(25, 75]		
	0.329097	0.305418	0.353856	1495	eloDiffB			(75, 150]		
	0.19685	0.174439	0.21993	1270	eloDiffB			(150, 1000]		
	0.526667	0.479425	0.565849	450	hourUtc				0	
	0.535	0.484373	0.589009	400	hourUtc				1	
	0.563107	0.51773	0.609379	412	hourUtc				2	
	0.588469	0.548327	0.636407	503	hourUtc				3	
	0.514735	0.470201	0.557345	509	hourUtc				4	
	0.508227	0.468747	0.549738	547	hourUtc				5	
	0.539615	0.498997	0.591511	467	hourUtc				6	
	0.628676	0.57249	0.680311	272	hourUtc				7	
	0.516667	0.445012	0.586973	180	hourUtc				8	
	0.537313	0.426425	0.666667	67	hourUtc				9	
	0.321739	0.243805	0.414112	115	hourUtc				10	
	0.544118	0.421854	0.666667	68	hourUtc				11	
	0.522388	0.397009	0.644085	67	hourUtc				12	
	0.519608	0.41283	0.607843	102	hourUtc				13	
	0.560976	0.484621	0.637025	164	hourUtc				14	
	0.411765	0.344637	0.473273	221	hourUtc				15	
	0.511468	0.461173	0.557622	436	hourUtc				16	
	0.521201	0.476586	0.561886	566	hourUtc				17	
	0.493631	0.453443	0.532048	628	hourUtc				18	
	0.489112	0.450155	0.524159	597	hourUtc				19	
	0.465875	0.429784	0.504452	674	hourUtc				20	
	0.502016	0.463301	0.544955	496	hourUtc				21	
	0.532051	0.492485	0.576775	624	hourUtc				22	
	0.493274	0.449766	0.543067	446	hourUtc				23	
	0.521363	0.499436	0.544912	1849	dow					0
	0.513774	0.485223	0.540008	1452	dow					1
	0.515593	0.485245	0.543968	962	dow					2
	0.50888	0.483562	0.535092	1295	dow					3
	0.524112	0.497297	0.547931	1576	dow					4
	0.494798	0.45955	0.525971	865	dow					5
	0.525692	0.494929	0.555883	1012	dow					6
