gapB	mean	lo	hi	n	block
<1 min	0.000438717	-0.00816791	0.00765571	7839	open10
1-3 min	0.024767	-0.0130879	0.0665726	319	open10
3-20 min	0.0175812	-0.0196664	0.0552366	307	open10
20 min-6 h	-0.0332756	-0.0654139	-0.00402321	368	open10
>6 h	-0.0218965	-0.0707435	0.0254144	189	open10
<1 min	142.913	-96.994	373.331	7846	score
1-3 min	389.984	-714.659	1585.32	319	score
3-20 min	-136.03	-1199.21	983.091	308	score
20 min-6 h	-1389.69	-2559.58	-76.2947	370	score
>6 h	-3598.31	-5315.08	-2057.96	190	score
