posB	mean	lo	hi	n	block
1-5	-206.669	-912.205	524.446	880	score
6-10	865.368	162.149	1584.61	880	score
11-20	194.32	-254.599	670.764	1760	score
21-30	444.11	-120.435	982.528	1319	score
31-40	571.3	-150.544	1239.02	726	score
41+	1644.27	887.458	2494.62	596	score
1-5	0.539773	0.510077	0.57103	880	win
6-10	0.547727	0.510702	0.581902	880	win
11-20	0.535511	0.512893	0.56018	1760	win
21-30	0.514784	0.491177	0.54233	1319	win
31-40	0.50551	0.464523	0.541557	726	win
41+	0.50755	0.468897	0.548508	596	win
