posB	mean	lo	hi	n	block
1	-1632.69	-2561.59	-810.619	640	yourScore_res
2	-1284.24	-2186.31	-430.176	509	yourScore_res
3	87.3636	-988.167	1034.9	446	yourScore_res
4	-716.11	-1721.36	292.845	421	yourScore_res
5	339.942	-681.148	1268.28	399	yourScore_res
6	-176.376	-1133.24	786.055	378	yourScore_res
7	597.143	-584.753	1680.46	365	yourScore_res
8	251.247	-967.119	1578.6	350	yourScore_res
9	837.325	-336.027	1997.14	332	yourScore_res
10	-336.925	-1453.62	710.617	306	yourScore_res
11	-531.496	-1801.9	767.002	286	yourScore_res
12	339.716	23.6206	646.382	4602	yourScore_res
1	-0.873956	-1.97645	0.243896	637	nWords_res
2	-0.620554	-1.75163	0.706691	508	nWords_res
3	0.2259	-1.17555	1.33083	445	nWords_res
4	-0.831206	-2.13586	0.548277	421	nWords_res
5	-0.372166	-1.62821	0.97913	399	nWords_res
6	-0.759225	-2.19721	0.521015	378	nWords_res
7	0.407917	-1.05968	1.7573	364	nWords_res
8	-0.174228	-1.58593	1.33392	349	nWords_res
9	-1.08272	-2.49184	0.317721	332	nWords_res
10	-0.244083	-1.6475	1.32532	305	nWords_res
11	-0.444705	-1.85619	0.979167	285	nWords_res
12	0.441265	0.0387654	0.824525	4600	nWords_res
1	-0.0125114	-0.0196523	-0.00548333	637	longShare_res
2	-0.00948642	-0.0180578	-0.00228364	508	longShare_res
3	-0.00129758	-0.00990942	0.00722038	445	longShare_res
4	-0.00103275	-0.0101445	0.00723279	421	longShare_res
5	0.00558664	-0.00182187	0.0139423	399	longShare_res
6	0.00313958	-0.00617187	0.0120137	378	longShare_res
7	0.00333211	-0.0057212	0.0136184	364	longShare_res
8	0.00347212	-0.00550485	0.0142415	349	longShare_res
9	0.0155818	0.00629951	0.025129	332	longShare_res
10	-0.00157438	-0.0114071	0.00949048	305	longShare_res
11	-0.00373556	-0.0135566	0.00660427	285	longShare_res
12	0.000941791	-0.00179494	0.00361404	4600	longShare_res
1	0.501563	0.462986	0.535822	640	S
2	0.549116	0.503967	0.589552	509	S
3	0.5213	0.478704	0.576436	446	S
4	0.561758	0.513404	0.614055	421	S
5	0.52381	0.477442	0.577781	399	S
6	0.535714	0.487318	0.579945	378	S
7	0.564384	0.510205	0.610449	365	S
8	0.5	0.451171	0.552573	350	S
9	0.475904	0.423074	0.52881	332	S
10	0.529412	0.484066	0.578182	306	S
11	0.472028	0.408914	0.534892	286	S
12	0.50967	0.495909	0.523	4602	S
