hourUtc	mean	lo	hi	n	block	dow
0	-195.139	-1148.94	780.533	453	hourUtc	
1	457.297	-745.415	1570.71	400	hourUtc	
2	513.477	-482.451	1458.88	413	hourUtc	
3	-1606.17	-2547.42	-725.908	503	hourUtc	
4	-1512.66	-2354.51	-597.375	511	hourUtc	
5	1722.77	850.188	2594.82	548	hourUtc	
6	631.121	-239.778	1702.75	468	hourUtc	
7	360.147	-754.195	1438.62	272	hourUtc	
8	-1698.85	-3203.38	-314.287	180	hourUtc	
9	-3029.68	-5076.85	-833.542	67	hourUtc	
10	-3042.58	-4770.39	-1429.73	115	hourUtc	
11	-2364.28	-4411.27	-371.29	68	hourUtc	
12	-3706.17	-5864.63	-1624.67	67	hourUtc	
13	318.542	-1639.22	2303.4	102	hourUtc	
14	38.2592	-1349.27	1504.84	168	hourUtc	
15	-3365.43	-4710.16	-1974.4	221	hourUtc	
16	-853.166	-2028.01	192.954	438	hourUtc	
17	912.351	-23.7073	1781.03	566	hourUtc	
18	2485.56	1772.8	3172.52	632	hourUtc	
19	1028.87	134.396	1941.41	597	hourUtc	
20	-646.343	-1448.55	220.193	676	hourUtc	
21	240.133	-633.888	1112.78	497	hourUtc	
22	-343.181	-1060.16	444.782	625	hourUtc	
23	254.466	-763.715	1167.02	447	hourUtc	
	864.112	399.937	1298.91	1855	dow	0
	55.4986	-481.09	620.523	1458	dow	1
	208.098	-444.024	880.275	964	dow	2
	449.428	-144.343	1002.32	1296	dow	3
	420.044	-96.2996	904.631	1580	dow	4
	-2388.75	-3054.68	-1685.4	867	dow	5
	-1044.91	-1699.28	-418.388	1014	dow	6
