word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
SERAI	5	800	927	3	927	22	0.0134844	0.00323625	289	1	0.00346021	162	0.037037	217	0.0506912	False	True	0.747405	0	0.017301	0.235294	0.718447	0	0.00970874	0.271845	RAI	RAI		0.55354	44.3904	0.532504	43.4476	free	RAI
TERAI	5	800	888	2	888	12	0.00788288	0.00225225	264	1	0.00378788	170	0.0352941	211	0.0331754	False	True	0.689394	0	0.0113636	0.299242	0.635135	0	0.00675676	0.358108	RAI	RAI		0.511427	37.4218	0.472041	36.9424	free	RAI
EARST	5	800	827	2	827	20	0.0133011	0.00241838	222	1	0.0045045	158	0.0443038	195	0.0666667	False	True	0.738739	0	0.175676	0.0855856	0.651753	0	0.245466	0.102781	EARS	EARS	STARE,STEAR,RATES,TEARS,TARES	0.547702	33.6726	0.484779	35.3254	free	EARS
SIREN	5	800	652	30	652	94	0.095092	0.0460123	216	10	0.0462963	129	0.139535	168	0.190476	False	True	0.810185	0	0.0509259	0.138889	0.763804	0	0.0751534	0.161043	SIRE	REN	RINES	0.599192	33.3475	0.565604	29.9999	free	REN
TINEA	5	800	627	3	627	27	0.0239234	0.00478469	196	1	0.00510204	119	0.0672269	147	0.0612245	False	True	0.821429	0	0	0.178571	0.799043	0	0	0.200957	TINE	TINE		0.607206	32.9529	0.590962	32.5467	free	TINE
TERAIS	6	1400	424	1	424	10	0.0129717	0.00235849	117	1	0.00854701	84	0.047619	95	0.0421053	False	True	0.777778	0	0.025641	0.196581	0.733491	0	0.0471698	0.21934	RAIS	RAI		0.577024	32.5014	0.544931	35.651	free	RAI
IRATE	5	800	846	34	846	84	0.06974	0.0401891	239	23	0.0962343	166	0.120482	200	0.14	False	True	0.778243	0	0	0.221757	0.764775	0	0.00118203	0.234043	RATE	RATE		0.575868	32.0091	0.566099	39.3996	free	RATE
TERAS	5	800	1217	23	1217	46	0.0283484	0.0188989	322	10	0.0310559	245	0.0367347	258	0.0813953	False	True	0.503106	0	0.375776	0.121118	0.533279	0.00164339	0.345111	0.119967	RAS	RAS	STARE,STEAR,RATES,TEARS,TARES	0.377283	31.1303	0.399641	41.0328	free	RAS
SITAR	5	800	719	28	719	17	0.0312935	0.038943	211	6	0.028436	137	0.0364964	195	0.0307692	False	True	0.748815	0	0.0995261	0.151659	0.766342	0	0.0667594	0.166898	SIT	SIT	RAITS	0.554797	31.0121	0.567423	33.6486	free	SIT
RETIA	5	800	815	28	815	27	0.0337423	0.0343558	237	5	0.021097	141	0.0283688	215	0.0418605	False	True	0.658228	0	0.0253165	0.316456	0.660123	0	0.00858896	0.331288	RET	RET		0.488851	30.955	0.490178	32.8975	free	RET
RESTO	5	800	866	70	866	57	0.0733256	0.0808314	266	21	0.0789474	151	0.0662252	205	0.107317	False	True	0.665414	0	0.146617	0.18797	0.625866	0.00230947	0.15358	0.218245	REST	RES	TORES,ROTES,TORSE	0.494411	30.8588	0.466505	29.5766	free	RES
SERIN	5	800	864	61	864	94	0.0896991	0.0706019	265	27	0.101887	176	0.153409	231	0.181818	False	True	0.686792	0	0.045283	0.267925	0.701389	0	0.0416667	0.256944	RIN	RIN	RINES	0.509636	30.172	0.520217	34.4005	free	RIN
TREST	5	800	755	14	755	33	0.0311258	0.018543	202	3	0.0148515	152	0.0197368	178	0.0505618	False	True	0.737624	0	0.00990099	0.252475	0.721854	0	0.013245	0.264901	REST	RES		0.546421	29.9831	0.534987	34.5287	free	RES
ERASE	5	800	868	13	868	122	0.077765	0.014977	243	2	0.00823045	169	0.236686	205	0.278049	False	True	0.600823	0	0.17284	0.226337	0.611751	0	0.156682	0.231567	RASE	RAS	EASER	0.447615	29.8137	0.455499	33.8608	free	RAS
TINEAS	6	1400	308	3	308	12	0.0243506	0.00974026	94	1	0.0106383	59	0.0847458	75	0.04	False	True	0.87234	0	0	0.12766	0.87987	0	0	0.12013	TINE	TINE		0.645483	29.1608	0.650928	30.6044	free	TINE
ESTRIN	6	1400	342	0	342	12	0.0175439	0	101	0	0	65	0.0615385	71	0.028169	False	True	0.792079	0	0.049505	0.158416	0.733918	0	0.0760234	0.190058	TRIN	RIN		0.587288	28.9852	0.545148	28.8927	free	RIN
SATIRE	6	1400	378	29	378	32	0.0806878	0.0767196	101	7	0.0693069	77	0.103896	106	0.0754717	False	True	0.881188	0	0.00990099	0.108911	0.84127	0	0.0132275	0.145503	TIRE	TIRE		0.651849	28.7509	0.622974	31.9989	free	TIRE
SERAIS	6	1400	284	1	284	7	0.0140845	0.00352113	92	0	0	51	0.0392157	61	0.0491803	False	True	0.858696	0	0	0.141304	0.795775	0	0	0.204225	RAIS	RAI	RAISES	0.635617	28.575	0.590119	25.8171	free	RAI
TINAS	5	800	574	26	574	41	0.0583624	0.0452962	186	9	0.0483871	97	0.103093	155	0.103226	False	True	0.77957	0.0107527	0.0913978	0.11828	0.775261	0.0121951	0.102787	0.109756	TIN	TIN	TAINS	0.580688	27.6462	0.578076	27.0813	free	TIN
TARSI	5	800	564	6	564	5	0.00975177	0.0106383	173	1	0.00578035	105	0.00952381	143	0.00699301	False	True	0.780347	0	0.0462428	0.17341	0.719858	0	0.0567376	0.223404	TARS	TAR	RAITS	0.577527	27.6194	0.533663	26.1223	free	TAR
SERAIL	6	1400	263	0	263	6	0.0114068	0	90	0	0	47	0.0212766	61	0.0655738	False	True	0.844444	0	0.0111111	0.144444	0.813688	0	0.0152091	0.171103	RAIL	RAI	SAILER,RAILES	0.625276	27.4991	0.603024	24.5775	free	RAI
RATEL	5	800	575	7	575	42	0.0426087	0.0121739	160	1	0.00625	113	0.115044	135	0.140741	False	True	0.8	0	0.0875	0.1125	0.805217	0	0.0921739	0.102609	RATE	RATE	LATER	0.591906	26.1654	0.595705	29.7127	free	RATE
SERINE	6	1400	303	3	303	23	0.0429043	0.00990099	88	1	0.0113636	74	0.121622	85	0.129412	False	True	0.784091	0	0.0340909	0.181818	0.759076	0	0.0264026	0.214521	RINE	RINE		0.581562	24.5195	0.563498	25.9947	free	RINE
NESTOR	6	1400	301	14	301	8	0.0365449	0.0465116	91	4	0.043956	45	0.0222222	72	0.0138889	False	True	0.802198	0	0.043956	0.153846	0.717608	0	0.0697674	0.212625	TOR	TOR	TONERS,STONER	0.594623	24.4869	0.533374	22.7102	free	TOR
SETON	5	800	592	2	592	14	0.0135135	0.00337838	181	1	0.00552486	111	0.018018	154	0.038961	False	True	0.657459	0	0.171271	0.171271	0.70777	0	0.140203	0.152027	TON	TON	TONES,STONE	0.488708	24.4206	0.525129	27.3523	free	TON
ASTARE	6	1400	297	0	297	3	0.00505051	0	75	0	0	62	0	70	0.0142857	False	True	0.866667	0	0	0.133333	0.801347	0	0	0.198653	STARE	STARE		0.64138	23.5061	0.594149	27.3464	free	STARE
TSORES	6	1400	246	1	246	1	0.00406504	0.00406504	79	1	0.0126582	56	0	58	0.0172414	False	True	0.835443	0	0.0506329	0.113924	0.776423	0	0.0731707	0.150407	SORES	RES	TORSES	0.61864	23.3932	0.575891	21.7995	free	RES
ARENA	5	800	487	0	487	0	0	0	155	0	0	83	0	122	0	False	False	0.722581	0	0	0.277419	0.73306	0	0	0.26694	ARE	REN		0.535477	23.176	0.543081	23.4209	free	REN
ARTIES	6	1400	412	48	412	15	0.0764563	0.116505	114	20	0.175439	80	0.05	90	0.0555556	False	True	0.789474	0.0263158	0	0.184211	0.660194	0.0194175	0.0194175	0.300971	TIES	TIE		0.590621	23.1285	0.495753	24.2141	free	TIE
DREST	5	800	582	3	582	6	0.00773196	0.00515464	168	3	0.0178571	116	0.0172414	145	0.0137931	False	True	0.678571	0	0	0.321429	0.609966	0	0	0.390034	REST	RES		0.503541	22.7839	0.453757	23.1203	free	RES
REEST	5	800	572	18	572	60	0.0681818	0.0314685	168	6	0.0357143	104	0.134615	122	0.196721	False	True	0.702381	0	0.172619	0.125	0.622378	0	0.176573	0.201049	REES	REE		0.52131	22.7798	0.463267	21.8719	free	REE
ELITES	6	1400	231	3	231	3	0.012987	0.012987	71	0	0	50	0.02	54	0.0185185	False	True	0.887324	0	0	0.112676	0.818182	0	0	0.181818	LITES	LITES		0.656317	22.7707	0.606322	21.2403	free	LITES
SETAE	5	800	800	7	800	6	0.008125	0.00875	215	2	0.00930233	144	0.00694444	178	0.0168539	False	True	0.516279	0	0.0930233	0.390698	0.50125	0	0.10375	0.395	SET		TEASE	0.386038	22.6173	0.375162	25.9579	free	SET
SENATE	6	1400	304	14	304	16	0.0493421	0.0460526	91	5	0.0549451	64	0.046875	63	0.0634921	False	True	0.758242	0	0.043956	0.197802	0.694079	0	0.0427632	0.263158	SEN			0.562839	22.5849	0.516447	22.1607	free	SEN
TISANE	6	1400	242	0	242	1	0.00206612	0	79	0	0	34	0	67	0	False	True	0.78481	0	0	0.21519	0.768595	0	0	0.231405	SANE	SAN		0.582191	22.4748	0.570466	21.3941	free	SAN
RANIS	5	800	549	49	549	39	0.0801457	0.0892532	185	17	0.0918919	99	0.0606061	134	0.0820896	False	True	0.708108	0	0.0810811	0.210811	0.712204	0	0.0801457	0.20765	RAN	RAN	RAINS	0.525206	22.3841	0.528175	21.3388	free	RAN
ETATS	5	800	498	1	498	18	0.0190763	0.00200803	131	0	0	81	0.0617284	105	0.0761905	False	True	0.80916	0	0.122137	0.0687023	0.787149	0	0.110442	0.10241	TAT	TAT	TATES,STATE	0.598652	21.8983	0.582645	25.6061	free	TAT
SAREE	5	800	426	2	426	9	0.0129108	0.00469484	121	1	0.00826446	82	0.0487805	110	0.0272727	False	True	0.876033	0	0.0495868	0.0743802	0.816901	0	0.0516432	0.131455	SAR	REE	EASER	0.646972	21.5801	0.604068	22.6109	free	REE
