len	consonant	vowel	ratio	block	letter	mean	size
3	0.334417	0.116599	0.348665	suppression			
4	0.252038	0.0926596	0.367642	suppression			
5	0.210357	0.0718653	0.341634	suppression			
6	0.166217	0.0593339	0.356967	suppression			
7	0.120992	0.0280778	0.232063	suppression			
8	0.0617578	0.0159496	0.25826	suppression			
				byFirstLetter	A	0.190824	959
				byFirstLetter	B	0.0311284	514
				byFirstLetter	C	0.0478528	815
				byFirstLetter	D	0.0585242	786
				byFirstLetter	E	0.231193	545
				byFirstLetter	F	0.0195531	358
				byFirstLetter	G	0.0512249	449
				byFirstLetter	H	0.0430108	558
				byFirstLetter	I	0.279152	283
				byFirstLetter	K	0.0583333	120
				byFirstLetter	L	0.0668414	763
				byFirstLetter	M	0.0504323	694
				byFirstLetter	N	0.166667	492
				byFirstLetter	O	0.22093	430
				byFirstLetter	P	0.0574555	731
				byFirstLetter	Q	0	1
				byFirstLetter	R	0.0515464	1164
				byFirstLetter	S	0.0787129	2020
				byFirstLetter	T	0.0902022	1286
				byFirstLetter	U	0.314286	175
				byFirstLetter	V	0.0633803	142
				byFirstLetter	W	0.0229008	262
				byFirstLetter	X	0	1
				byFirstLetter	Y	0.144231	104
				byFirstLetter	Z	0	8
