metric	subject	peer	diff	lo	hi	pT	pWilcoxon	n
score	50274.8	55612.9	-5338.08	-5997.44	-4724.59	1.23409e-49	5.89007e-46	730
words	91.5945	100.305	-8.71096	-9.55254	-7.88714	5.41505e-73	2.14104e-66	730
meanLen	4.21547	4.23696	-0.0214923	-0.0356314	-0.00908827	0.00172076	0.0151608	730
open10	3.90726	4.25055	-0.343288	-0.375718	-0.309794	6.11733e-74	2.72696e-64	730
open15	3.95918	4.27425	-0.315068	-0.344236	-0.283628	2.59365e-78	8.84364e-67	730
pts15	6462.47	8461.23	-1998.77	-2188.65	-1804.07	4.65212e-76	1.26687e-66	730
capture	0.185276	0.202875	-0.0175994	-0.0199169	-0.0153483	1.20487e-42	5.00703e-42	730
share3	0.30159	0.291454	0.0101365	0.00653206	0.0139067	3.94756e-08	2.4791e-08	730
share4	0.350139	0.349311	0.000828562	-0.00258614	0.00429497	0.633046	0.833466	730
share5	0.219319	0.229122	-0.00980336	-0.0129724	-0.00676162	1.26212e-09	4.84374e-08	730
share6	0.0949612	0.0967322	-0.00177103	-0.00488795	0.00093989	0.220033	0.352285	730
share7	0.0339904	0.0333811	0.000609319	-0.00161682	0.00281716	0.599137	0.248949	730
