gid	dOpen	margin	dN
4	0.2	-1700	-6
6	-0.466667	-19100	-30
49	-0.0666667	-5700	-17
70	-1.26667	-29200	-35
71	-0.0666667	-7400	-15
75	-0.0666667	3300	-28
76	0.133333	-3600	-10
77	-0.466667	-2000	-26
78	0.266667	-12500	-26
113	-0.0666667	-3400	-8
118	-0.4	-8100	-21
123	-0.2	-20900	-8
124	-0.733333	-8700	-22
126	-0.0666667	700	-16
127	-0.0666667	-12100	-42
128	-0.6	-13800	-6
129	0.466667	2300	-9
130	-0.266667	1200	-4
131	0.0666667	1600	-8
132	0	-18100	-17
133	-0.4	-23300	-35
142	0.0666667	-4600	-19
146	-0.733333	-15000	-22
148	-0.333333	-15200	-30
263	-0.333333	-15300	-24
264	0	-4600	-5
266	-0.6	-900	-22
267	-0.4	-4600	-4
268	-0.333333	-9900	-26
283	-1.26667	-33500	-22
299	-0.0666667	-7100	-16
300	-0.933333	-22700	-26
309	-0.6	-14100	-10
312	0.4	2200	-1
315	-0.866667	-9900	-6
322	-0.266667	-4100	-12
324	-0.533333	-14200	-16
329	0.133333	-8800	-30
733	0	-8800	-16
735	0.0666667	200	-9
740	-0.733333	-37400	-32
741	-0.266667	-29600	-27
801	-1.06667	-16700	-13
804	-0.133333	-900	-17
861	0.266667	-500	1
930	0.0666667	-10900	-31
935	0.333333	-10000	-20
966	-0.733333	-15400	-21
1037	-0.333333	-12300	-10
1040	-0.4	-4500	-6
1042	-0.266667	-2800	-8
1043	-0.2	-24800	-40
1071	-0.866667	-27500	-30
1072	-0.4	-5300	-6
1073	-0.6	-15200	-17
1075	-0.4	-19300	-17
1086	-0.2	-11700	-3
1099	-0.2	-17500	-14
1100	-0.0666667	-5300	-19
1101	-1.26667	-19000	-25
1102	-0.466667	-3000	-10
1103	-0.533333	-11300	-21
1104	0.0666667	-1300	-3
1106	-0.266667	-6600	-13
1159	-0.266667	-5500	-25
1163	-0.266667	-12300	-19
1176	-0.266667	-3600	-4
1177	-0.2	-13600	-11
1178	-1.13333	-1200	2
1183	-0.466667	-16300	-25
1187	-0.266667	-19900	-15
1276	-0.6	-3700	-2
1287	-0.333333	-24100	-28
1288	-0.6	-29700	-6
1290	-0.133333	-19600	-24
1292	-0.666667	-11700	-12
1293	-0.466667	-19100	-26
1314	0.0666667	-25100	-20
1325	-0.666667	-13300	-9
1552	-0.533333	-8800	-11
1565	-0.733333	-23400	-6
1566	-0.4	100	-13
1567	-0.333333	-3900	-3
1568	1.06667	300	0
1569	-0.933333	-4200	-2
1585	-0.4	-5000	0
1587	-0.4	-5600	-12
1589	-0.8	-19500	-16
1590	-0.466667	-15900	-17
1592	-0.533333	-29900	-9
1593	-0.266667	-11800	-15
1594	-0.733333	-6400	1
1595	0.2	-30100	-23
1596	0	-16400	-26
1600	-1.13333	-13300	-19
1607	-0.0666667	-100	-3
1611	-0.2	-6100	0
1636	-0.2	-1700	-4
1637	-0.4	-17200	-11
1638	-0.6	-6800	-4
1640	-0.4	-2900	-7
1654	-0.133333	3800	5
1662	-1.06667	-23600	-12
1717	-0.466667	-10600	-23
1721	-1.06667	-6600	-12
1825	-0.6	-7800	-7
1847	-0.666667	-13900	-13
2187	-1.46667	-16300	1
2188	-0.733333	-14600	-16
2235	-0.4	-100	-11
2236	-0.733333	-19500	-11
2272	-0.266667	-10900	-5
2279	0	1900	0
2280	-0.266667	4800	-16
2284	-0.4	-11900	-15
2285	-0.266667	-12200	-20
2286	-0.266667	-15700	-21
2377	-0.666667	1400	-5
2527	-0.6	-5000	8
2531	-0.2	-2800	-11
2536	-0.266667	-10100	-13
2537	0.133333	-4900	-9
2539	-0.533333	-28900	-59
2541	-0.2	-4000	-1
2542	-0.666667	-8000	-13
2544	-0.8	-12500	-4
2545	-0.266667	-11700	-15
2556	-0.466667	-4000	-11
2557	-0.733333	-9300	-7
2558	-0.133333	-15900	-12
2648	-0.466667	-6800	-5
2650	-0.133333	-5300	-10
2652	-0.6	-10800	1
2653	-0.2	-5600	-27
2654	-0.533333	-9700	-15
2672	-1	17200	61
2700	-0.333333	-18300	-17
2704	0.4	-9000	3
2705	-0.866667	-15300	-2
2706	-0.8	-2600	-5
2707	-0.333333	-9900	-26
2712	-0.733333	-15400	-18
2755	-1.6	-16400	1
2756	-0.0666667	-20100	-17
2759	-0.666667	-7100	8
2761	0.266667	-5900	-14
2763	0.333333	-6700	-8
2764	-0.8	-15500	-14
2773	-0.0666667	-9000	-9
2775	-0.866667	-1900	-18
2776	0.466667	-7000	9
2777	-0.333333	-2900	9
2778	-0.8	-7400	-4
2779	-0.6	-32000	-9
2781	-0.8	-7800	-19
2788	0.4	-11100	-15
2789	-0.133333	400	-5
2790	-0.2	3800	7
2791	-0.266667	-12000	-7
2792	0.0666667	-9400	-14
2793	-0.333333	-4700	4
2801	-0.133333	-6800	-5
2802	-0.6	-18800	-20
2871	-0.733333	-17200	3
3161	0.0666667	6400	-5
3163	0	-2300	-11
3166	-0.4	-11700	5
3168	-0.266667	-3400	-5
3171	-0.6	1000	-5
3177	-0.8	-18500	-14
3221	-0.866667	-7400	-2
3226	-1	-7500	-11
3262	-0.533333	-1100	3
3269	-1.13333	5100	14
3271	-0.466667	-18200	-10
3281	-0.0666667	3200	1
3287	-1.2	-13200	-11
3288	0.133333	300	1
3289	-0.2	-1700	5
3290	-0.8	-18400	-18
3299	-0.666667	-7100	-6
3536	-0.733333	-6600	-22
3537	0.133333	5100	-3
3645	-0.6	-5900	-10
3651	-0.533333	-5500	7
3653	-0.333333	-26200	-10
3654	-0.866667	-2500	8
3655	-0.6	-7600	6
3657	-0.333333	1300	6
3658	-0.666667	-3800	-13
3660	-0.6	-9900	-5
3703	-0.666667	2800	-6
3704	-0.8	-5000	3
3705	0.666667	-10400	-38
3835	-1.2	-18900	-9
3836	0	4400	1
3837	0.533333	3600	-8
3971	-0.466667	1100	-12
3974	0.333333	-7200	1
3978	-0.333333	-2100	-11
3979	0	8100	-2
3980	0.133333	-13000	-34
3991	-0.8	-37700	-37
3993	-0.666667	-16300	-7
3994	-0.533333	10300	2
3995	0.666667	-13700	-17
3997	-0.533333	5100	2
3998	-0.266667	-3600	-20
4012	-0.666667	-30100	-39
4014	-0.0666667	3200	3
4015	-0.4	-8500	-32
4019	-0.733333	-8300	-24
4070	-1.46667	-35700	-13
4097	0.2	2700	0
4099	-0.266667	-6000	-12
4119	0.133333	1400	0
4124	-0.2	-3800	-13
4126	-0.6	-17100	-3
4128	-0.733333	-8000	-11
4132	-1.46667	-2200	1
4143	0.133333	-10100	-27
4145	-0.333333	-11200	-12
4146	-0.466667	-14400	-25
4155	-0.733333	-6200	-8
4156	0.466667	2700	-1
4160	-0.266667	-4000	-19
4161	-0.666667	-13800	-5
4171	-0.6	-4100	-8
4206	0	3800	-3
4230	-0.466667	-12200	-14
4232	0	-300	0
4248	-0.6	-16600	-11
4257	0.333333	6800	-6
4261	-0.333333	-9000	-23
4263	0.333333	-6600	9
4280	-0.0666667	-20600	-45
4294	-0.8	2100	5
4296	-0.6	-6100	-6
4313	-0.4	-6100	-8
4315	-0.133333	-2800	-6
4316	0.266667	-700	-10
4317	-0.666667	9800	17
4318	-0.733333	-14600	-9
4319	0.4	-20500	-30
4338	-0.933333	-3800	5
4340	-0.333333	-13200	-33
4504	-1.46667	11700	-9
4519	-0.0666667	5100	14
4538	-0.6	-7900	-26
4539	-0.6	1100	-9
4541	-0.133333	-1500	-7
4542	0.0666667	-5300	-6
4543	-0.6	-12500	-12
4544	-0.133333	-9100	-8
4545	-1.2	-5200	-8
4546	-0.333333	-5500	-19
4547	-0.133333	700	3
4549	-0.666667	-6200	10
4550	-0.466667	-6900	-2
4551	-0.533333	-5800	-7
4552	-0.533333	-21300	-9
4553	0	500	6
4554	-0.133333	-7300	-4
4555	-0.866667	-20700	-7
4556	-0.2	-5700	-2
4557	-0.6	-16500	-10
4558	-0.133333	-2000	-2
4559	-0.333333	6700	-21
4562	-0.333333	-13600	-10
4564	-0.266667	1000	-6
4586	-0.4	-8900	-20
4588	-0.333333	-1800	-9
4596	-0.866667	-15000	-8
4599	0.4	-11200	-3
4603	-0.533333	-15100	-15
4605	-0.4	-13300	-21
4612	0	-13900	-7
4613	-0.466667	-10400	-13
4649	0.6	-13200	-21
4686	-0.0666667	-8700	-21
4689	-0.0666667	-2100	1
4690	-0.266667	-17000	-29
4694	0	-11400	-2
4730	-0.133333	-700	-11
4771	-0.533333	9700	12
4772	0.266667	600	-20
4773	-0.0666667	-4500	-1
4774	-0.6	-1800	-8
4778	-0.466667	-11600	-3
4780	-0.333333	-3900	-8
4781	-0.533333	-10200	-11
4825	0.133333	-6900	-11
4827	-1.33333	-9500	-1
4828	-0.266667	-10900	-14
4829	0.0666667	800	-10
4830	0.0666667	-1200	-10
4831	0.0666667	3000	1
4833	-0.2	6900	12
4834	0.0666667	-24300	-5
4835	-0.733333	-5100	0
4836	0	-1600	2
4837	0.266667	-600	-11
4838	-0.266667	-6300	-20
4839	-0.133333	-3000	-9
4840	-0.266667	-4000	-14
4861	0.133333	-11100	-23
4862	-0.466667	-5700	-22
4863	-0.533333	-400	-10
4864	-0.866667	-10000	-11
4866	0.133333	100	-10
4869	-0.6	-3300	-1
4871	-0.6	-10900	-6
4901	-0.466667	-3400	-37
4914	0.133333	-21300	-36
4929	-0.866667	-9800	-3
4937	-1.06667	-2400	-10
4938	-0.533333	8600	6
4939	-0.6	-8200	-23
4959	-0.8	-28900	-15
4962	0.2	-6300	-14
4963	-1	-500	-16
4967	-0.133333	-7100	-17
4977	-0.466667	-6400	6
4978	0	-1200	-11
4984	-0.266667	-16100	-8
4985	-0.133333	1800	1
4988	0.133333	2400	-18
4992	-0.0666667	-8900	-25
4999	-0.533333	-11900	-30
5043	-0.8	-10400	-13
5045	-0.933333	2700	-3
5055	-0.2	-8700	-3
5057	-0.533333	-4200	-13
5058	-0.333333	-3600	20
5059	-0.0666667	200	-3
5124	0.133333	3000	-13
5128	-0.0666667	-12300	-29
5140	-0.133333	6900	2
5141	-0.0666667	-7400	-13
5142	-0.266667	-100	-7
5143	-0.333333	-9000	-37
5144	-0.0666667	-15900	-13
5145	-0.266667	-7200	9
5146	-0.533333	-6600	-12
5153	-0.533333	-7600	-16
5189	0	-17600	-15
5193	-0.933333	4500	5
5194	-0.133333	-9100	-10
5202	0.0666667	15800	8
5204	-0.466667	-2700	-16
5205	0.333333	-4200	-16
5210	-0.133333	4700	0
5226	-0.0666667	-18600	-10
5251	-0.8	-16000	-16
5256	-0.266667	-5700	-4
5259	-0.8	-8400	-12
5260	0	-4500	-5
5262	0.6	9300	-1
5266	0.133333	300	4
5267	-0.466667	-5800	11
5269	0.2	-7800	-17
5275	-0.933333	-6100	4
5319	0.266667	9600	-3
5442	0	100	-7
5445	-0.2	-2800	-5
5447	-0.666667	-500	-5
5449	-0.266667	-3200	-2
5451	-0.0666667	3300	-2
5454	-0.266667	-4200	-6
5596	-0.266667	400	5
5597	-0.4	-500	-2
5602	0	-13000	-19
5634	0.133333	-8200	-19
5637	-0.333333	3500	12
5638	0	-6300	-13
5644	-0.2	-1300	-12
5672	-0.666667	-2600	1
5673	-0.333333	-9900	-21
5675	0	-6200	-5
5682	-0.866667	1800	7
5688	0	-9700	-26
5695	0.266667	100	-7
5696	-0.133333	1700	-7
5714	-0.266667	7200	5
5715	-0.533333	1700	-10
5716	-0.0666667	700	-8
5718	-0.2	4000	3
5719	-0.333333	-11600	-2
5720	-0.333333	1800	-6
5722	-0.333333	-25800	-10
5728	-0.0666667	-7000	-26
5731	0	-3400	-15
5732	0.133333	-10300	-18
5733	0	2000	-23
5734	0.333333	2100	-6
5735	-0.666667	-15400	-8
5736	-0.4	10800	11
5737	-0.6	-15700	-12
5738	0.4	-3300	-10
5739	0.2	2800	11
5740	-0.333333	-17200	-24
5741	-0.8	200	-4
5748	-0.266667	1200	-2
5749	-0.6	-18100	-32
5757	-0.866667	-4700	-14
5758	0	1600	0
5765	0.4	-10600	-39
5770	0.133333	-7700	-10
5789	0.0666667	-1000	-4
5807	-0.0666667	-4400	-17
5826	-0.266667	2600	-2
5827	0.0666667	-7300	-13
5828	-0.4	-5700	-3
5829	-0.4	4500	-10
5830	-0.6	700	1
5831	0.0666667	-5000	-17
5832	0	-22200	-16
5833	-0.133333	5900	0
5834	-1	-19600	-22
5835	-0.266667	100	0
5836	-0.466667	-34800	-25
5837	0.133333	-10400	-21
5842	-0.0666667	2100	-1
5845	0.2	-5400	-21
5847	-0.133333	-4100	-11
5848	0.0666667	-4900	-10
5850	-0.4	10800	1
5861	-0.133333	-7700	-15
5881	-0.666667	-3500	-12
5897	0.133333	-12200	-25
5898	0	6100	-20
5900	-0.133333	-3100	-1
5902	0.2	-400	-3
5903	-0.4	900	8
5904	0.333333	-3300	-20
5905	-0.0666667	-1200	-8
5907	-0.8	-4800	-5
5908	-0.466667	-8700	-7
5909	-1.2	300	-10
5910	-0.666667	-20700	-16
5911	-0.466667	7600	-2
5913	-0.2	11300	12
5914	-0.466667	-14400	-30
5915	-0.933333	-200	-2
5919	-0.266667	9300	4
5956	-0.533333	-10700	-10
5957	-0.2	8200	6
5958	-0.666667	-8800	-1
5959	-0.2	-4300	-11
5960	0.466667	-17600	-46
5961	-0.8	-2500	-9
5962	-0.2	-5600	1
5963	-0.466667	-3100	-23
5964	0.133333	2800	-2
5965	-0.6	-6600	-16
5966	-0.466667	1100	-3
5968	-0.133333	-2500	-1
5981	-0.266667	2300	-9
5982	0.0666667	-3400	-2
5983	-0.866667	10200	8
6026	-0.4	-7900	-7
6027	-0.133333	1100	3
6029	-0.6	4000	7
6030	-0.866667	-16700	-3
6083	-0.866667	-2300	-13
6330	-0.333333	1900	-1
6334	-0.6	-9900	-18
6336	-0.466667	-3800	-13
6337	-0.133333	5200	-13
6338	0.0666667	-5800	3
6341	0.2	-10300	0
6381	-0.533333	400	3
6382	0.0666667	10800	0
6468	-0.333333	-3200	-11
6469	-0.533333	-10300	-16
6470	-0.0666667	-10900	-19
6471	-0.933333	-14300	-17
6472	-0.6	3000	-11
6475	-0.133333	-11800	-22
6476	-0.733333	-11200	-27
6478	-0.266667	-13300	-27
6520	0.0666667	-600	-2
6523	-1	-12700	-6
6524	0	-9200	-25
6525	-0.333333	7600	5
6527	0.266667	5500	0
6529	-0.4	-17000	-22
6530	-0.333333	-27700	-25
6531	0.2	-5200	-10
6533	-0.533333	-7100	2
6534	-0.466667	-4500	-13
6708	-0.533333	-3100	-13
6709	-0.133333	-2300	-12
6710	-1.06667	-3900	-13
6712	-1.26667	-16900	-11
6717	-0.133333	-5900	-9
6718	-0.133333	-4100	-4
6721	0.0666667	1100	7
6722	-0.533333	-24300	-11
6723	-0.733333	-11300	-2
6741	0.4	3500	-17
6747	0.133333	-7000	-28
6748	0.266667	-3700	-13
6752	-0.6	-16400	-9
6754	0.0666667	-10200	11
6756	-0.2	-5700	-4
6762	-0.133333	200	-9
6766	0.6	8300	-18
6773	-0.333333	-100	-5
