word	len	pts	boards	subjectFound	peerFound	subjectOnly	peerOnly	rateSubjectElsewhere	ratePeerElsewhere	netPtsToPeer	netPtsPerGame	side
ERASE	5	800	57	0	29	0	29	0.0170624	0.434243	23200	31.7808	peerOnly
SORTES	6	1400	18	0	11	0	11	0.0756126	0.301673	15400	21.0959	peerOnly
SNEERS	6	1400	14	0	10	0	10	0.0755921	0.569655	14000	19.1781	peerOnly
TRACE	5	800	23	0	16	0	16	0.146775	0.558949	12800	17.5342	peerOnly
LAREE	5	800	20	0	14	0	14	0.00878029	0.431213	11200	15.3425	peerOnly
INNERS	6	1400	12	0	8	0	8	0.0490666	0.370072	11200	15.3425	peerOnly
ERNE	4	400	60	0	27	0	27	0.0173436	0.397257	10800	14.7945	peerOnly
ERNES	5	800	28	0	13	0	13	0.00829362	0.45242	10400	14.2466	peerOnly
ERASES	6	1400	15	0	7	0	7	0.023552	0.450491	9800	13.4247	peerOnly
LAREES	6	1400	9	0	7	0	7	0.0114792	0.429536	9800	13.4247	peerOnly
TRACER	6	1400	7	0	7	0	7	0.116993	0.532763	9800	13.4247	peerOnly
TRACES	6	1400	14	0	7	0	7	0.1716	0.574609	9800	13.4247	peerOnly
HALSE	5	800	17	0	12	0	12	0.0487629	0.424767	9600	13.1507	peerOnly
SLANDER	7	1800	5	0	5	0	5	0.395286	0.684605	9000	12.3288	peerOnly
RENAILS	7	1800	7	0	5	0	5	0.256502	0.397001	9000	12.3288	peerOnly
EARST	5	800	67	0	11	0	11	0.00382076	0.170873	8800	12.0548	peerOnly
LEEAR	5	800	23	0	11	0	11	0.014258	0.331847	8800	12.0548	peerOnly
INNER	5	800	22	0	11	0	11	0.0396573	0.384225	8800	12.0548	peerOnly
ERASER	6	1400	17	0	6	0	6	0.00750173	0.332368	8400	11.5068	peerOnly
TRICES	6	1400	8	0	6	0	6	0.167132	0.549644	8400	11.5068	peerOnly
ERASED	6	1400	16	0	6	0	6	0.0241966	0.368937	8400	11.5068	peerOnly
MAIRES	6	1400	8	0	6	0	6	0.0991703	0.544687	8400	11.5068	peerOnly
MATRES	6	1400	20	0	6	0	6	0.0167308	0.411784	8400	11.5068	peerOnly
TEEND	5	800	21	0	10	0	10	0.00552625	0.420509	8000	10.9589	peerOnly
REAMING	7	1800	5	0	4	0	4	0.285338	0.524335	7200	9.86301	peerOnly
ESTER	5	800	81	31	0	31	0	0.252246	0.00869518	-24800	-33.9726	subjectOnly
ESTERS	6	1400	30	14	0	14	0	0.256578	0.00818909	-19600	-26.8493	subjectOnly
LATENS	6	1400	24	12	0	12	0	0.379867	0.0612755	-16800	-23.0137	subjectOnly
RETIE	5	800	51	14	0	14	0	0.204612	0.0419643	-11200	-15.3425	subjectOnly
RENIES	6	1400	20	7	0	7	0	0.176266	0.00408994	-9800	-13.4247	subjectOnly
ARTIS	5	800	63	12	0	12	0	0.134139	0.011405	-9600	-13.1507	subjectOnly
DEAREST	7	1800	6	4	0	4	0	0.299271	0.0133151	-7200	-9.86301	subjectOnly
ATONIES	7	1800	8	4	0	4	0	0.179779	0.00521464	-7200	-9.86301	subjectOnly
DORTERS	7	1800	11	4	0	4	0	0.271489	0.0342388	-7200	-9.86301	subjectOnly
TANNIE	6	1400	8	5	0	5	0	0.31851	0.218032	-7000	-9.58904	subjectOnly
TRAPSE	6	1400	14	5	0	5	0	0.290004	0.0228271	-7000	-9.58904	subjectOnly
DIREST	6	1400	26	5	0	5	0	0.152674	0.0048033	-7000	-9.58904	subjectOnly
DORSEL	6	1400	14	5	0	5	0	0.156139	0.0409589	-7000	-9.58904	subjectOnly
ALLIES	6	1400	13	5	0	5	0	0.4272	0.116978	-7000	-9.58904	subjectOnly
AIRTED	6	1400	20	5	0	5	0	0.216259	0.01087	-7000	-9.58904	subjectOnly
RENIED	6	1400	11	5	0	5	0	0.113843	0.00779403	-7000	-9.58904	subjectOnly
RETASTES	8	2200	6	3	0	3	0	0.168846	0.062523	-6600	-9.0411	subjectOnly
OATEN	5	800	37	8	0	8	0	0.146553	0.0032244	-6400	-8.76712	subjectOnly
ASSET	5	800	30	8	0	8	0	0.21799	0.012969	-6400	-8.76712	subjectOnly
SITAR	5	800	68	8	0	8	0	0.0318946	0.00837423	-6400	-8.76712	subjectOnly
MASERS	6	1400	8	4	0	4	0	0.241227	0.119273	-5600	-7.67123	subjectOnly
COINER	6	1400	7	4	0	4	0	0.151654	0.420782	-5600	-7.67123	subjectOnly
RATTEN	6	1400	10	4	0	4	0	0.207257	0.103106	-5600	-7.67123	subjectOnly
RELLIE	6	1400	7	4	0	4	0	0.175236	0.0380452	-5600	-7.67123	subjectOnly
TASSET	6	1400	10	4	0	4	0	0.129343	0.0101996	-5600	-7.67123	subjectOnly
