word	len	pts	boards	subjectFound	peerFound	subjectOnly	peerOnly	rateSubjectElsewhere	ratePeerElsewhere	netPtsToPeer	netPtsPerGame
ERASE	5	800	57	0	29	0	29	0.017062	0.43424	23200	31.781
STARE	5	800	97	46	73	8	35	0.531	0.68568	21600	29.589
ERAS	4	400	156	9	63	6	60	0.074699	0.34386	21600	29.589
ARET	4	400	165	25	76	12	63	0.15003	0.42615	20400	27.945
ARETS	5	800	100	21	43	12	34	0.17447	0.39152	17600	24.11
REEST	5	800	41	2	23	1	22	0.031573	0.49893	16800	23.014
STARES	6	1400	45	19	31	4	16	0.54498	0.66232	16800	23.014
REIST	5	800	79	10	31	7	28	0.069221	0.3995	16800	23.014
NOTERS	6	1400	26	9	21	0	12	0.4791	0.59179	16800	23.014
SNEER	5	800	34	2	22	0	20	0.11467	0.56851	16000	21.918
SERA	4	400	192	9	49	5	45	0.038888	0.18547	16000	21.918
SNIDER	6	1400	20	1	12	0	11	0.08728	0.48247	15400	21.096
SORTES	6	1400	18	0	11	0	11	0.075613	0.30167	15400	21.096
ROATES	6	1400	29	8	19	3	14	0.39335	0.47423	15400	21.096
IRONES	6	1400	24	1	12	0	11	0.012968	0.47234	15400	21.096
REAST	5	800	72	21	39	6	24	0.34425	0.51444	14400	19.726
SNEERS	6	1400	14	0	10	0	10	0.075592	0.56965	14000	19.178
ASTERS	6	1400	39	8	18	4	14	0.18946	0.25704	14000	19.178
TASER	5	800	92	39	56	13	30	0.49846	0.50816	13600	18.63
ARETE	5	800	40	1	18	0	17	0.11904	0.40596	13600	18.63
RENTS	5	800	68	29	45	11	27	0.48041	0.63555	12800	17.534
TRACE	5	800	23	0	16	0	16	0.14678	0.55895	12800	17.534
RINSE	5	800	49	15	31	4	20	0.25609	0.55524	12800	17.534
NOTER	5	800	49	23	39	6	22	0.44092	0.60967	12800	17.534
IRONE	5	800	36	1	17	0	16	0.0079211	0.44962	12800	17.534
TASTER	6	1400	33	18	27	2	11	0.47279	0.57889	12600	17.26
ORATES	6	1400	41	5	14	3	12	0.19339	0.33841	12600	17.26
SNIDE	5	800	32	2	17	0	15	0.10234	0.59872	12000	16.438
REINS	5	800	64	12	27	6	21	0.17271	0.38873	12000	16.438
TASTE	5	800	48	25	40	3	18	0.46442	0.57432	12000	16.438
TERNE	5	800	38	3	18	1	16	0.12782	0.40023	12000	16.438
RISER	5	800	47	4	19	2	17	0.23564	0.32882	12000	16.438
HALERS	6	1400	17	5	13	2	10	0.20956	0.46624	11200	15.342
ARETES	6	1400	27	1	9	1	9	0.11365	0.41428	11200	15.342
LAREE	5	800	20	0	14	0	14	0.0087803	0.43121	11200	15.342
SNORE	5	800	50	7	21	3	17	0.14149	0.51167	11200	15.342
TRAILS	6	1400	15	4	12	0	8	0.23226	0.64256	11200	15.342
SNEE	4	400	57	4	32	1	29	0.13439	0.53163	11200	15.342
DOREES	6	1400	12	1	9	0	8	0.037644	0.72995	11200	15.342
INNERS	6	1400	12	0	8	0	8	0.049067	0.37007	11200	15.342
SAINT	5	800	41	3	17	2	16	0.18185	0.37882	11200	15.342
TENES	5	800	46	14	28	5	19	0.34269	0.49885	11200	15.342
SETA	4	400	190	9	37	6	34	0.037468	0.25133	11200	15.342
STIRES	6	1400	27	11	19	1	9	0.35296	0.61684	11200	15.342
TESTERS	7	1800	15	7	13	0	6	0.43905	0.45073	10800	14.795
REIN	4	400	129	17	44	11	38	0.15544	0.31379	10800	14.795
ERNE	4	400	60	0	27	0	27	0.017344	0.39726	10800	14.795
NITE	4	400	134	69	95	14	40	0.42282	0.62549	10400	14.247
STEEL	5	800	31	6	19	1	14	0.29387	0.56543	10400	14.247
ARETT	5	800	29	1	14	0	13	0.020233	0.48441	10400	14.247
TEST	4	400	119	42	68	7	33	0.31507	0.48671	10400	14.247
SNARE	5	800	41	7	20	1	14	0.17599	0.4713	10400	14.247
STEAL	5	800	51	22	35	6	19	0.41155	0.58665	10400	14.247
REIS	4	400	144	15	41	11	37	0.08119	0.30239	10400	14.247
STAR	4	400	143	70	96	13	39	0.54362	0.64326	10400	14.247
ERNES	5	800	28	0	13	0	13	0.0082936	0.45242	10400	14.247
NETES	5	800	45	1	14	1	14	0.070198	0.22524	10400	14.247
NOTE	4	400	73	28	54	5	31	0.45198	0.64157	10400	14.247
NOSER	5	800	51	12	25	4	17	0.31491	0.39451	10400	14.247
REEN	4	400	68	12	37	4	29	0.20983	0.44205	10000	13.699
SORT	4	400	81	18	43	5	30	0.32915	0.43053	10000	13.699
NITRES	6	1400	46	21	28	4	11	0.32308	0.4262	9800	13.425
SCORER	6	1400	11	1	8	0	7	0.18806	0.45218	9800	13.425
TITERS	6	1400	14	4	11	0	7	0.48057	0.64268	9800	13.425
STERES	6	1400	27	2	9	2	9	0.20538	0.31113	9800	13.425
ERASES	6	1400	15	0	7	0	7	0.023552	0.45049	9800	13.425
STATER	6	1400	27	13	20	1	8	0.50402	0.61327	9800	13.425
LAREES	6	1400	9	0	7	0	7	0.011479	0.42954	9800	13.425
TRACER	6	1400	7	0	7	0	7	0.11699	0.53276	9800	13.425
TRACES	6	1400	14	0	7	0	7	0.1716	0.57461	9800	13.425
TERNES	6	1400	20	2	9	2	9	0.13969	0.41707	9800	13.425
ARETTS	6	1400	20	1	8	1	8	0.015144	0.52622	9800	13.425
HEARTS	6	1400	23	8	15	1	8	0.37788	0.53481	9800	13.425
