month	mean	lo	hi	n	block
2025-11	1237.18	1231.77	1243.03	741	eloAtStart
2025-12	1431.04	1429.2	1432.82	2181	eloAtStart
2026-01	1589.73	1576.61	1600.91	692	eloAtStart
2026-02	1850.67	1848.84	1852.58	1376	eloAtStart
2026-03	1754.63	1746.11	1763.62	199	eloAtStart
2026-04	1651.37	1629.41	1674.54	19	eloAtStart
2026-05	1535.65	1531.03	1540.45	204	eloAtStart
2026-06	1559.85	1554.82	1564.4	280	eloAtStart
2026-07	1597.14	1594.14	1600.23	636	eloAtStart
2026-08	1655.08	1646.03	1663.55	372	eloAtStart
2026-09	1540.83	1537.96	1543.76	433	eloAtStart
2025-11	1223.97	1212.48	1235.08	741	oppElo
2025-12	1396.84	1390.05	1403.02	2181	oppElo
2026-01	1555.28	1539.19	1571.33	692	oppElo
2026-02	1783.15	1776.89	1789.82	1376	oppElo
2026-03	1736.75	1715.61	1760.82	199	oppElo
2026-04	1670.9	1595.62	1747.34	12	oppElo
2026-05	1549.55	1528.8	1568.25	204	oppElo
2026-06	1525.85	1508.4	1544.17	280	oppElo
2026-07	1564.95	1557.21	1574.08	635	oppElo
2026-08	1612.48	1598.14	1626.49	372	oppElo
2026-09	1528.63	1515.93	1541	433	oppElo
2025-11	281532	275194	288105	741	potential
2025-12	280095	276703	283807	2181	potential
2026-01	300406	289390	312063	692	potential
2026-02	301342	292856	309955	1376	potential
2026-03	307536	287016	335465	199	potential
2026-04	279342	218051	343422	19	potential
2026-05	301599	277177	326589	204	potential
2026-06	319057	301454	338602	280	potential
2026-07	335672	324047	347695	636	potential
2026-08	321265	305332	335840	372	potential
2026-09	314780	299094	329101	433	potential
