bucket	mean	lo	hi	n	kind	block
2025-11	50014.4	49181.5	50933.5	741	raw	yourScore
2025-12	55202.1	54607.1	55805	2181	raw	yourScore
2026-01	52986.7	51783.7	54053.5	692	raw	yourScore
2026-02	53946.5	53201.2	54788.2	1376	raw	yourScore
2026-03	54344.2	52146.8	56428.7	199	raw	yourScore
2026-04	45031.6	39925.7	49972.4	19	raw	yourScore
2026-05	48489.2	46708.5	50429.6	204	raw	yourScore
2026-06	53475.7	51976.1	55085.4	280	raw	yourScore
2026-07	56450.5	55362.6	57542.2	636	raw	yourScore
2026-08	57715.6	56391.6	59399	372	raw	yourScore
2026-09	55897.9	54440.5	57462.1	433	raw	yourScore
2025-11	48473.3	47884.8	49046.9	741	controlled	yourScore_ctl
2025-12	53859.6	53521.1	54256.5	2181	controlled	yourScore_ctl
2026-01	53400.8	52736.4	54032.7	692	controlled	yourScore_ctl
2026-02	56205	55771.8	56658.4	1376	controlled	yourScore_ctl
2026-03	56190	54798.8	57436.2	199	controlled	yourScore_ctl
2026-04	48891.2	44938.5	52604.9	19	controlled	yourScore_ctl
2026-05	51323.1	50269	52428.3	204	controlled	yourScore_ctl
2026-06	53606.7	52542.2	54814.8	280	controlled	yourScore_ctl
2026-07	55717.5	54934.9	56501.7	636	controlled	yourScore_ctl
2026-08	57711	56737.1	58643.1	372	controlled	yourScore_ctl
2026-09	56101.2	55067.3	57115.2	433	controlled	yourScore_ctl
2025-11	49071.1	48060.1	50217.6	741	raw	oppScore
2025-12	54530.1	53910.1	55207.6	2181	raw	oppScore
2026-01	51850.6	50510.7	53130.5	692	raw	oppScore
2026-02	52266.4	51233	53303.5	1376	raw	oppScore
2026-03	52274.4	49774.9	54738.9	199	raw	oppScore
2026-04	47863.2	41947	53884.9	19	raw	oppScore
2026-05	48414.2	46258.8	50303.6	204	raw	oppScore
2026-06	52010.4	50241.1	53715.2	280	raw	oppScore
2026-07	54867.8	53487.2	56169.2	636	raw	oppScore
2026-08	56592.2	54867.8	58170	372	raw	oppScore
2026-09	55367.4	53785.1	56918.3	433	raw	oppScore
2025-11	47166.6	46273.8	48081.7	741	controlled	oppScore_ctl
2025-12	52831.4	52295.6	53286.1	2181	controlled	oppScore_ctl
2026-01	52266.8	51391.3	53266.4	692	controlled	oppScore_ctl
2026-02	54856.7	54073.8	55545.1	1376	controlled	oppScore_ctl
2026-03	54432.5	52647.9	56268.2	199	controlled	oppScore_ctl
2026-04	52136.2	47740.6	56356.6	19	controlled	oppScore_ctl
2026-05	51669.4	50099.8	53047.1	204	controlled	oppScore_ctl
2026-06	52385.9	50957.1	53773.4	280	controlled	oppScore_ctl
2026-07	54429.5	53502	55322.6	636	controlled	oppScore_ctl
2026-08	56835.9	55727.5	58127.2	372	controlled	oppScore_ctl
2026-09	55764.7	54488.9	56895	433	controlled	oppScore_ctl
2025-11	89.0823	88.2615	89.9052	741	raw	nWords
2025-12	94.1922	93.6214	94.7765	2180	raw	nWords
2026-01	93.1606	92.1871	94.0676	691	raw	nWords
2026-02	101.763	100.889	102.6	1375	raw	nWords
2026-03	101.538	99.5147	103.634	199	raw	nWords
2026-04	90.3158	84.7083	96.3008	19	raw	nWords
2026-05	93.5931	91.7263	95.5023	204	raw	nWords
2026-06	99.6523	98.2721	101.219	279	raw	nWords
2026-07	104.88	103.773	105.932	635	raw	nWords
2026-08	104.183	102.775	105.531	372	raw	nWords
2026-09	103.84	102.447	105.218	430	raw	nWords
2025-11	89.6958	88.8832	90.5014	741	controlled	nWords_ctl
2025-12	94.9417	94.55	95.4272	2180	controlled	nWords_ctl
2026-01	93.4605	92.5816	94.255	691	controlled	nWords_ctl
2026-02	101.855	101.225	102.408	1375	controlled	nWords_ctl
2026-03	101.429	99.8242	102.874	199	controlled	nWords_ctl
2026-04	91.2809	85.7931	96.5083	19	controlled	nWords_ctl
2026-05	93.7019	92.1677	95.2522	204	controlled	nWords_ctl
2026-06	98.5302	97.3338	99.7713	279	controlled	nWords_ctl
2026-07	102.782	101.832	103.655	635	controlled	nWords_ctl
2026-08	102.942	101.93	103.954	372	controlled	nWords_ctl
2026-09	103.06	101.978	104.038	430	controlled	nWords_ctl
2025-11	0.548583	0.514051	0.583463	741	raw	S
2025-12	0.547455	0.526114	0.567159	2181	raw	S
2026-01	0.558526	0.524914	0.594866	692	raw	S
2026-02	0.59702	0.56954	0.621914	1376	raw	S
2026-03	0.537688	0.467541	0.607754	199	raw	S
2026-04	0.473684	0.222222	0.727512	19	raw	S
2026-05	0.504902	0.437773	0.570465	204	raw	S
2026-06	0.5625	0.503576	0.621164	280	raw	S
2026-07	0.569969	0.528364	0.605582	636	raw	S
2026-08	0.571237	0.529888	0.621185	372	raw	S
2026-09	0.523095	0.476592	0.566392	433	raw	S
2025-11	0.61355	0.58365	0.643207	726	controlled	S_ctl
2025-12	0.552016	0.532822	0.573262	2173	controlled	S_ctl
2026-01	0.497368	0.465323	0.531842	677	controlled	S_ctl
2026-02	0.546823	0.519848	0.570704	1360	controlled	S_ctl
2026-03	0.585163	0.514394	0.65147	182	controlled	S_ctl
2026-04	0.637782	0.0935386	1.17966	4	controlled	S_ctl
2026-05	0.589802	0.515492	0.651816	192	controlled	S_ctl
2026-06	0.575544	0.518837	0.630626	262	controlled	S_ctl
2026-07	0.578281	0.545191	0.617691	613	controlled	S_ctl
2026-08	0.551911	0.504382	0.598999	360	controlled	S_ctl
2026-09	0.554707	0.512437	0.59674	409	controlled	S_ctl
