bucket	mean	lo	hi	n	kind	block
1	53958.3	53464.7	54459.8	3308	raw	yourScore
2	51221.2	49713.9	52823.7	400	raw	yourScore
3	54137.2	53329.9	54907.5	1321	raw	yourScore
4	53783.9	51247.7	56201.8	168	raw	yourScore
5	44563.6	39543.8	50023.3	11	raw	yourScore
6	48489.2	46751.1	50375.2	204	raw	yourScore
7	53215	51660.2	54899.4	287	raw	yourScore
8	57185.5	56234.6	58135.7	842	raw	yourScore
9	54555.2	52300.8	56672.1	203	raw	yourScore
10	56689.2	55238.7	58068.7	389	raw	yourScore
1	52645.5	52348.1	52972.8	3308	controlled	yourScore_ctl
2	53361.9	52650.8	54139.5	400	controlled	yourScore_ctl
3	56325.4	55866.8	56821.6	1321	controlled	yourScore_ctl
4	55669.2	54284.5	57257.8	168	controlled	yourScore_ctl
5	48589.8	43593.9	52553.5	11	controlled	yourScore_ctl
6	51323.1	50158.9	52403.6	204	controlled	yourScore_ctl
7	53357.5	52210.8	54487.3	287	controlled	yourScore_ctl
8	56584.6	55897.5	57230.5	842	controlled	yourScore_ctl
9	55343.1	53724.2	57058.4	203	controlled	yourScore_ctl
10	56591.4	55542.1	57635.6	389	controlled	yourScore_ctl
1	53178.4	52581.8	53771.2	3308	raw	oppScore
2	49607.2	47632.4	51160.6	400	raw	oppScore
3	52517.7	51639.1	53416.1	1321	raw	oppScore
4	52015.5	49250.4	54881.2	168	raw	oppScore
5	48327.3	41375.4	55357.8	11	raw	oppScore
6	48414.2	46436.1	50273.4	204	raw	oppScore
7	52029.3	50334.7	53735.4	287	raw	oppScore
8	55468.3	54452.4	56447	842	raw	oppScore
9	55493.1	53223	57587.4	203	raw	oppScore
10	55484.3	53742.9	57268.4	389	raw	oppScore
1	51510.4	51045.6	51990.5	3308	controlled	oppScore_ctl
2	52206.9	50928.5	53298.5	400	controlled	oppScore_ctl
3	55017.9	54264.9	55744.8	1321	controlled	oppScore_ctl
4	54233.8	52355.2	56147.9	168	controlled	oppScore_ctl
5	52812.1	46075.5	60209.4	11	controlled	oppScore_ctl
6	51669.4	50018	53386.9	204	controlled	oppScore_ctl
7	52427.5	51056.5	53732.9	287	controlled	oppScore_ctl
8	55132	54297.9	55986	842	controlled	oppScore_ctl
9	56583.2	54824.2	58337.7	203	controlled	oppScore_ctl
10	55578.6	54323.1	56908.8	389	controlled	oppScore_ctl
1	92.9694	92.5206	93.3986	3306	raw	nWords
2	93.93	92.442	95.2528	400	raw	nWords
3	102.016	101.092	102.832	1320	raw	nWords
4	101.125	98.8764	103.176	168	raw	nWords
5	90	81.8557	96.7531	11	raw	nWords
6	93.5931	91.6136	95.5833	204	raw	nWords
7	99.6702	98.0811	101.279	285	raw	nWords
8	105.185	104.15	106.127	842	raw	nWords
9	100.463	98.3802	102.551	201	raw	nWords
10	104.753	103.428	106.003	388	raw	nWords
1	93.7388	93.3243	94.0966	3306	controlled	nWords_ctl
2	93.1746	91.9669	94.2676	400	controlled	nWords_ctl
3	102.169	101.548	102.75	1320	controlled	nWords_ctl
4	100.942	99.2738	102.685	168	controlled	nWords_ctl
5	90.6738	83.7388	98.0183	11	controlled	nWords_ctl
6	93.7019	92.0132	95.2476	204	controlled	nWords_ctl
7	98.4949	97.125	99.708	285	controlled	nWords_ctl
8	103.362	102.63	104.064	842	controlled	nWords_ctl
9	99.636	98.2514	101.214	201	controlled	nWords_ctl
10	103.708	102.612	104.701	388	controlled	nWords_ctl
1	0.548368	0.531393	0.566164	3308	raw	S
2	0.57875	0.530501	0.626892	400	raw	S
3	0.59841	0.57334	0.625686	1321	raw	S
4	0.491071	0.423056	0.5649	168	raw	S
5	0.545455	0.221667	0.833333	11	raw	S
6	0.504902	0.431199	0.572464	204	raw	S
7	0.559233	0.5	0.613791	287	raw	S
8	0.574822	0.540421	0.606725	842	raw	S
9	0.53202	0.46596	0.596009	203	raw	S
10	0.530848	0.476181	0.583806	389	raw	S
1	0.567445	0.553819	0.582557	3280	controlled	S_ctl
2	0.435364	0.382787	0.492034	390	controlled	S_ctl
3	0.55058	0.525603	0.579559	1304	controlled	S_ctl
4	0.577361	0.497084	0.653804	148	controlled	S_ctl
5				0	controlled	S_ctl
6	0.589802	0.519182	0.65636	192	controlled	S_ctl
7	0.574858	0.520708	0.630501	266	controlled	S_ctl
8	0.559586	0.526162	0.586599	818	controlled	S_ctl
9	0.585169	0.524672	0.650275	195	controlled	S_ctl
10	0.564604	0.517565	0.612519	365	controlled	S_ctl
