month	3	4	5	6	7	finds
2025-11	0.276882	0.346629	0.243221	0.102378	0.0308893	66010
2025-12	0.265663	0.336682	0.247712	0.113447	0.0364957	205339
2026-01	0.281076	0.338258	0.238264	0.107637	0.0347656	64374
2026-02	0.299391	0.359159	0.2237	0.08947	0.0282796	139924
2026-03	0.295407	0.355686	0.229932	0.0913095	0.027665	20206
2026-04	0.318182	0.371212	0.208625	0.0821678	0.0198135	1716
2026-05	0.302833	0.366469	0.221547	0.084167	0.024983	19093
2026-06	0.292918	0.354063	0.233032	0.0906017	0.0293853	27803
2026-07	0.293983	0.35451	0.229118	0.0934098	0.0289794	66599
2026-08	0.284704	0.347301	0.237744	0.0999071	0.0303437	38756
2026-09	0.291908	0.354751	0.229133	0.0940852	0.0301225	44651
