month	mean	lo	hi	n
2025-11	-0.00620783	-0.0336879	0.0223665	741
2025-12	-0.048359	-0.0655566	-0.031642	2179
2026-01	-0.00342499	-0.0344008	0.0242617	691
2026-02	-0.0230545	-0.0449131	-0.0013297	1375
2026-03	-0.0140704	-0.0761421	0.0456438	199
2026-04	0.0701754	-0.148514	0.319527	19
2026-05	0.0373016	-0.021139	0.0976543	204
2026-06	-0.0219833	-0.0734486	0.0200042	279
2026-07	-0.0260367	-0.0551601	0.00652755	635
2026-08	-0.0663082	-0.112959	-0.0256944	372
2026-09	-0.0702326	-0.109583	-0.0289055	430
