decile	mean	lo	hi	n	clusters	block	pos
0	4.28234	4.2736	4.29064	71913	7125	decile_player	
1	4.32982	4.32056	4.33974	68385	7124	decile_player	
2	4.30229	4.29281	4.31232	69082	7124	decile_player	
3	4.29789	4.28734	4.30911	68395	7124	decile_player	
4	4.28857	4.27782	4.3007	67654	7124	decile_player	
5	4.25719	4.24607	4.26905	69808	7125	decile_player	
6	4.23218	4.21883	4.24392	69089	7124	decile_player	
7	4.20935	4.19664	4.22101	68388	7124	decile_player	
8	4.18873	4.17785	4.20007	69079	7124	decile_player	
9	4.15812	4.14701	4.16885	72678	7125	decile_player	
0	4.28466	4.27272	4.29818	63873	7106	decile_opponent	
1	4.4152	4.40184	4.42897	60306	7100	decile_opponent	
2	4.42873	4.41696	4.44174	60987	7100	decile_opponent	
3	4.42081	4.40839	4.43296	60352	7098	decile_opponent	
4	4.43226	4.41792	4.44569	59585	7099	decile_opponent	
5	4.41979	4.40742	4.43282	61707	7102	decile_opponent	
6	4.41306	4.40118	4.42673	61013	7098	decile_opponent	
7	4.41261	4.40096	4.42623	60326	7100	decile_opponent	
8	4.38883	4.37649	4.40252	60967	7100	decile_opponent	
9	4.38498	4.37292	4.39978	64603	7104	decile_opponent	
0	4.57904	4.54508	4.61053	10754	1066	decile_strong	
1	4.73597	4.70288	4.77109	10249	1066	decile_strong	
2	4.75249	4.71503	4.78882	10347	1066	decile_strong	
3	4.75276	4.71917	4.7911	10237	1066	decile_strong	
4	4.75456	4.71967	4.79013	10137	1066	decile_strong	
5	4.7009	4.66599	4.74558	10448	1066	decile_strong	
6	4.68333	4.64652	4.72365	10342	1066	decile_strong	
7	4.69908	4.66229	4.73957	10242	1066	decile_strong	
8	4.66535	4.62797	4.70538	10354	1066	decile_strong	
9	4.63762	4.60469	4.67091	10867	1066	decile_strong	
0	4.15417	4.1309	4.17842	11390	1371	decile_weak	
1	4.28448	4.2573	4.31406	10665	1365	decile_weak	
2	4.29369	4.26741	4.31906	10821	1365	decile_weak	
3	4.29928	4.27481	4.32963	10699	1363	decile_weak	
4	4.32063	4.29539	4.35073	10523	1364	decile_weak	
5	4.31647	4.29051	4.34328	10952	1367	decile_weak	
6	4.32523	4.29758	4.3553	10820	1363	decile_weak	
7	4.32925	4.30192	4.35917	10700	1365	decile_weak	
8	4.30762	4.28011	4.33459	10786	1365	decile_weak	
9	4.32419	4.29287	4.35367	11518	1369	decile_weak	
0	3.92697	3.91886	3.93376	82899	9023	decile_peer	
