pos	mean	lo	hi	n	clusters	block
0	4.2261	4.2031	4.24871	5555	5555	4x4_player
1	3.88569	3.86516	3.90817	5555	5555	4x4_player
2	4.29451	4.26427	4.32449	5555	5555	4x4_player
3	4.44671	4.4181	4.47522	5554	5554	4x4_player
4	4.34102	4.31126	4.37174	5554	5554	4x4_player
5	4.3511	4.32342	4.38174	5554	5554	4x4_player
6	4.34588	4.31935	4.37498	5554	5554	4x4_player
7	4.32283	4.29307	4.35171	5554	5554	4x4_player
8	4.33201	4.30057	4.35899	5554	5554	4x4_player
9	4.32139	4.29421	4.34566	5554	5554	4x4_player
10	4.34876	4.31526	4.37638	5554	5554	4x4_player
11	4.33903	4.31066	4.36887	5554	5554	4x4_player
12	4.33021	4.29835	4.35498	5554	5554	4x4_player
13	4.34552	4.31566	4.37402	5554	5554	4x4_player
14	4.31887	4.28998	4.34519	5554	5554	4x4_player
15	4.3421	4.31674	4.36578	5554	5554	4x4_player
16	4.31995	4.28806	4.34744	5554	5554	4x4_player
17	4.32949	4.3027	4.35867	5554	5554	4x4_player
18	4.31491	4.2848	4.34476	5554	5554	4x4_player
19	4.30974	4.28298	4.33887	5553	5553	4x4_player
20	4.30884	4.28044	4.34082	5553	5553	4x4_player
21	4.302	4.27336	4.33421	5553	5553	4x4_player
22	4.30926	4.2816	4.33951	5552	5552	4x4_player
23	4.33339	4.30138	4.36056	5552	5552	4x4_player
24	4.31844	4.2902	4.34774	5552	5552	4x4_player
0	3.95235	3.92841	3.97765	5540	5540	4x4_opponent
1	4.14621	4.12089	4.17036	5540	5540	4x4_opponent
2	4.30782	4.28	4.33328	5539	5539	4x4_opponent
3	4.37541	4.35001	4.40326	5538	5538	4x4_opponent
4	4.35536	4.3286	4.38306	5538	5538	4x4_opponent
5	4.38841	4.35892	4.41566	5538	5538	4x4_opponent
6	4.41603	4.38911	4.44321	5538	5538	4x4_opponent
7	4.42109	4.39388	4.44887	5538	5538	4x4_opponent
8	4.42341	4.39652	4.45166	5536	5536	4x4_opponent
