pos	mean	lo	hi	n	clusters	block
0	4.29099	4.26039	4.32346	3306	3306	1_player
1	3.92619	3.89771	3.96289	3306	3306	1_player
2	4.3167	4.27783	4.35498	3306	3306	1_player
3	4.48835	4.45354	4.52496	3305	3305	1_player
4	4.39395	4.35501	4.42975	3305	3305	1_player
5	4.37912	4.33848	4.41361	3305	3305	1_player
6	4.36188	4.32269	4.39529	3305	3305	1_player
7	4.36884	4.33434	4.40863	3305	3305	1_player
8	4.37337	4.33534	4.41239	3305	3305	1_player
9	4.35915	4.32222	4.39378	3305	3305	1_player
10	4.37731	4.33977	4.41547	3305	3305	1_player
11	4.38911	4.35537	4.42781	3305	3305	1_player
12	4.37943	4.34286	4.41656	3305	3305	1_player
13	4.39153	4.35722	4.43159	3305	3305	1_player
14	4.38396	4.34551	4.42324	3305	3305	1_player
15	4.40242	4.36865	4.4441	3305	3305	1_player
16	4.36672	4.32718	4.40808	3305	3305	1_player
17	4.39153	4.35593	4.43007	3305	3305	1_player
18	4.36884	4.33115	4.41143	3305	3305	1_player
19	4.3526	4.31282	4.38739	3304	3304	1_player
20	4.33717	4.29809	4.37675	3304	3304	1_player
21	4.33808	4.30028	4.37664	3304	3304	1_player
22	4.35422	4.31823	4.39653	3303	3303	1_player
23	4.38904	4.34841	4.42372	3303	3303	1_player
24	4.36936	4.3306	4.40518	3303	3303	1_player
0	3.98056	3.94965	4.00876	3293	3293	1_opponent
1	4.21196	4.17889	4.24675	3293	3293	1_opponent
2	4.36999	4.33354	4.40439	3292	3292	1_opponent
3	4.44228	4.40445	4.48068	3292	3292	1_opponent
4	4.38244	4.34469	4.41741	3292	3292	1_opponent
5	4.45535	4.41985	4.48742	3292	3292	1_opponent
6	4.47843	4.44309	4.51301	3292	3292	1_opponent
7	4.50395	4.46345	4.54539	3292	3292	1_opponent
8	4.49696	4.46334	4.53363	3290	3290	1_opponent
9	4.47447	4.43537	4.51216	3290	3290	1_opponent
10	4.4696	4.42686	4.50144	3290	3290	1_opponent
11	4.45988	4.42411	4.49511	3290	3290	1_opponent
12	4.49149	4.45233	4.53032	3290	3290	1_opponent
13	4.48298	4.4439	4.522	3290	3290	1_opponent
14	4.51702	4.48017	4.5586	3290	3290	1_opponent
15	4.54017	4.49955	4.57903	3286	3286	1_opponent
16	4.49817	4.46032	4.54065	3286	3286	1_opponent
17	4.49391	4.45368	4.53361	3286	3286	1_opponent
18	4.51431	4.47308	4.55165	3284	3284	1_opponent
19	4.47564	4.43952	4.51124	3284	3284	1_opponent
20	4.48584	4.44563	4.5247	3283	3283	1_opponent
21	4.49512	4.46079	4.53524	3282	3282	1_opponent
22	4.50975	4.47122	4.55015	3282	3282	1_opponent
23	4.51478	4.48332	4.55426	3281	3281	1_opponent
24	4.49558	4.4542	4.53456	3279	3279	1_opponent
0	4.30459	4.21891	4.39393	545	545	1_strong
1	4.44404	4.36589	4.53076	545	545	1_strong
2	4.62569	4.53622	4.70757	545	545	1_strong
3	4.70642	4.61494	4.80008	545	545	1_strong
4	4.73578	4.64767	4.82968	545	545	1_strong
5	4.77798	4.67645	4.86164	545	545	1_strong
6	4.78716	4.69156	4.88828	545	545	1_strong
7	4.85688	4.75722	4.94064	545	545	1_strong
8	4.86055	4.75693	4.9641	545	545	1_strong
9	4.8	4.70061	4.89528	545	545	1_strong
10	4.80367	4.70695	4.90506	545	545	1_strong
11	4.78899	4.70724	4.88768	545	545	1_strong
12	4.80734	4.70811	4.91244	545	545	1_strong
13	4.75413	4.65764	4.84339	545	545	1_strong
14	4.81468	4.70972	4.92142	545	545	1_strong
15	4.91927	4.82184	5.01815	545	545	1_strong
16	4.85321	4.75	4.95098	545	545	1_strong
17	4.93761	4.82996	5.03889	545	545	1_strong
18	4.92844	4.81989	5.03233	545	545	1_strong
19	4.81651	4.70586	4.9126	545	545	1_strong
20	4.85688	4.74438	4.95669	545	545	1_strong
21	4.87156	4.76572	4.97676	545	545	1_strong
