pos	mean	lo	hi	n	clusters	block
0	4.10291	4.06376	4.14321	1652	1652	goodCasual_player
1	3.78814	3.74577	3.82971	1652	1652	goodCasual_player
2	4.29661	4.24487	4.34766	1652	1652	goodCasual_player
3	4.39528	4.34254	4.44417	1652	1652	goodCasual_player
4	4.27542	4.22694	4.32533	1652	1652	goodCasual_player
5	4.26634	4.21629	4.31387	1652	1652	goodCasual_player
6	4.31901	4.27053	4.37241	1652	1652	goodCasual_player
7	4.26755	4.20663	4.32217	1652	1652	goodCasual_player
8	4.30327	4.25796	4.35103	1652	1652	goodCasual_player
9	4.31174	4.25372	4.35593	1652	1652	goodCasual_player
10	4.31719	4.25779	4.36717	1652	1652	goodCasual_player
11	4.28874	4.23912	4.3405	1652	1652	goodCasual_player
12	4.30448	4.25105	4.35625	1652	1652	goodCasual_player
13	4.28087	4.22625	4.32615	1652	1652	goodCasual_player
14	4.29298	4.24003	4.34947	1652	1652	goodCasual_player
15	4.32264	4.25986	4.37539	1652	1652	goodCasual_player
16	4.26877	4.21983	4.31905	1652	1652	goodCasual_player
17	4.26998	4.22741	4.32409	1652	1652	goodCasual_player
18	4.30327	4.24756	4.35313	1652	1652	goodCasual_player
19	4.25182	4.20022	4.29934	1652	1652	goodCasual_player
20	4.26634	4.21532	4.3153	1652	1652	goodCasual_player
21	4.28692	4.23421	4.34	1652	1652	goodCasual_player
22	4.3063	4.25516	4.35689	1652	1652	goodCasual_player
23	4.28814	4.23675	4.33985	1652	1652	goodCasual_player
24	4.29358	4.24434	4.34829	1652	1652	goodCasual_player
0	3.83293	3.79103	3.87312	1652	1652	goodCasual_opponent
1	4.05266	4.01046	4.09995	1652	1652	goodCasual_opponent
2	4.21489	4.1698	4.26767	1652	1652	goodCasual_opponent
3	4.2615	4.20652	4.31813	1652	1652	goodCasual_opponent
4	4.35654	4.30241	4.41154	1652	1652	goodCasual_opponent
5	4.30872	4.26027	4.35715	1652	1652	goodCasual_opponent
6	4.32264	4.26632	4.37202	1652	1652	goodCasual_opponent
7	4.33071	4.28474	4.38122	1651	1651	goodCasual_opponent
8	4.31799	4.26952	4.37173	1651	1651	goodCasual_opponent
9	4.2768	4.22853	4.3264	1651	1651	goodCasual_opponent
10	4.33495	4.27727	4.37853	1651	1651	goodCasual_opponent
11	4.3937	4.3406	4.44869	1651	1651	goodCasual_opponent
12	4.34403	4.293	4.39794	1651	1651	goodCasual_opponent
13	4.34343	4.29557	4.39774	1651	1651	goodCasual_opponent
14	4.36342	4.31704	4.41765	1651	1651	goodCasual_opponent
15	4.40521	4.35133	4.4607	1651	1651	goodCasual_opponent
16	4.34403	4.28852	4.40057	1651	1651	goodCasual_opponent
17	4.39976	4.34797	4.45343	1651	1651	goodCasual_opponent
18	4.40945	4.36172	4.45802	1651	1651	goodCasual_opponent
19	4.37614	4.32772	4.42973	1651	1651	goodCasual_opponent
20	4.38583	4.3333	4.43457	1651	1651	goodCasual_opponent
21	4.37152	4.32323	4.42789	1650	1650	goodCasual_opponent
22	4.37758	4.32638	4.43461	1650	1650	goodCasual_opponent
23	4.41869	4.37282	4.47045	1648	1648	goodCasual_opponent
24	4.38228	4.32496	4.43528	1648	1648	goodCasual_opponent
0	4.08811	3.95899	4.2159	227	227	goodCasual_strong
1	4.33921	4.20065	4.50208	227	227	goodCasual_strong
2	4.43172	4.27883	4.57342	227	227	goodCasual_strong
3	4.56388	4.41483	4.70999	227	227	goodCasual_strong
4	4.72687	4.57076	4.92215	227	227	goodCasual_strong
5	4.55507	4.41483	4.70095	227	227	goodCasual_strong
6	4.65198	4.51637	4.80596	227	227	goodCasual_strong
7	4.63877	4.47512	4.7944	227	227	goodCasual_strong
8	4.62115	4.49312	4.77102	227	227	goodCasual_strong
9	4.6696	4.51799	4.81425	227	227	goodCasual_strong
10	4.64317	4.51859	4.77312	227	227	goodCasual_strong
11	4.72247	4.57014	4.87026	227	227	goodCasual_strong
12	4.60352	4.4454	4.77735	227	227	goodCasual_strong
13	4.80176	4.65069	4.95733	227	227	goodCasual_strong
14	4.68722	4.54005	4.82454	227	227	goodCasual_strong
15	4.7489	4.61376	4.89524	227	227	goodCasual_strong
16	4.68282	4.53106	4.83694	227	227	goodCasual_strong
17	4.63877	4.49509	4.77742	227	227	goodCasual_strong
18	4.61233	4.45732	4.73874	227	227	goodCasual_strong
19	4.72687	4.56858	4.90097	227	227	goodCasual_strong
20	4.76652	4.61437	4.9367	227	227	goodCasual_strong
21	4.79295	4.62212	4.9465	227	227	goodCasual_strong
22	4.74009	4.58319	4.91608	227	227	goodCasual_strong
23	4.65639	4.50418	4.82384	227	227	goodCasual_strong
24	4.62115	4.47317	4.77188	227	227	goodCasual_strong
